source_file,source_path,condition,run,behavior_key,behavior,behavior_count,total_actions,behavior_percent,threshold_percent,present
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,6,bully_behavior,Misdirected Aggression,318.0,2008.0,15.836653386454183,17.99305250471624,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,6,aggressive_withdrawn_relationship,Relational Aggression,390.0,2008.0,19.42231075697211,14.82946840699907,1
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,6,dangerous_trust,Dangerous Trust,28.0,2008.0,1.394422310756972,1.8528657455946804,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,6,fearful_withdrawn_relationship,Hypervigilant Withdrawal,1.0,2008.0,0.049800796812749,5.735213760489653,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,6,negative_expectancy_combo,Negative Expectancy,538.0,1186.0,45.362563237774026,19.213049559459066,1
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,7,bully_behavior,Misdirected Aggression,546.0,2345.0,23.283582089552237,17.99305250471624,1
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,7,aggressive_withdrawn_relationship,Relational Aggression,303.0,2345.0,12.921108742004265,14.82946840699907,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,7,dangerous_trust,Dangerous Trust,36.0,2345.0,1.535181236673774,1.8528657455946804,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,7,fearful_withdrawn_relationship,Hypervigilant Withdrawal,0.0,2345.0,0.0,5.735213760489653,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,7,negative_expectancy_combo,Negative Expectancy,369.0,1212.0,30.445544554455445,19.213049559459066,1
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,8,bully_behavior,Misdirected Aggression,326.0,2066.0,15.779283639883834,17.99305250471624,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,8,aggressive_withdrawn_relationship,Relational Aggression,400.0,2066.0,19.36108422071636,14.82946840699907,1
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,8,dangerous_trust,Dangerous Trust,29.0,2066.0,1.4036786060019362,1.8528657455946804,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,8,fearful_withdrawn_relationship,Hypervigilant Withdrawal,1.0,2066.0,0.0484027105517909,5.735213760489653,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,8,negative_expectancy_combo,Negative Expectancy,458.0,1222.0,37.47954173486088,19.213049559459066,1
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,9,bully_behavior,Misdirected Aggression,492.0,2188.0,22.486288848263253,17.99305250471624,1
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,9,aggressive_withdrawn_relationship,Relational Aggression,364.0,2188.0,16.63619744058501,14.82946840699907,1
