source_file,condition,role,run,behavior_key,behavior,behavior_count,behavior_denominator,behavior_percent,threshold_percent,present
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,1,protective_behavior,Protective Behavior,0.0,1960.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,2,protective_behavior,Protective Behavior,0.0,1967.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,3,protective_behavior,Protective Behavior,0.0,1919.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,4,protective_behavior,Protective Behavior,0.0,1992.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,5,protective_behavior,Protective Behavior,0.0,1949.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,6,protective_behavior,Protective Behavior,0.0,1999.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,7,protective_behavior,Protective Behavior,0.0,1804.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,8,protective_behavior,Protective Behavior,0.0,1959.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,9,protective_behavior,Protective Behavior,0.0,1946.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,10,protective_behavior,Protective Behavior,0.0,1833.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,11,protective_behavior,Protective Behavior,0.0,2004.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,12,protective_behavior,Protective Behavior,0.0,1977.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,13,protective_behavior,Protective Behavior,0.0,1988.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,14,protective_behavior,Protective Behavior,0.0,1929.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,15,protective_behavior,Protective Behavior,0.0,1785.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,16,protective_behavior,Protective Behavior,0.0,1947.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,17,protective_behavior,Protective Behavior,0.0,1966.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,18,protective_behavior,Protective Behavior,0.0,1964.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,19,protective_behavior,Protective Behavior,0.0,1935.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,20,protective_behavior,Protective Behavior,0.0,1949.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,21,protective_behavior,Protective Behavior,0.0,1784.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,22,protective_behavior,Protective Behavior,0.0,1794.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,23,protective_behavior,Protective Behavior,0.0,1967.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,24,protective_behavior,Protective Behavior,0.0,1989.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,25,protective_behavior,Protective Behavior,0.0,1949.0,0.0,7.091133199926835,0
