source_file,condition,role,run,behavior,behavior_count,total_actions,percent_of_total_actions
multiple_runs_NB_LowThreat_Series_20260501_180717.csv,No ACE,NB,128,Hypervigilant Withdrawal,112.0,671.0,16.691505216095383
multiple_runs_NB_LowThreat_Series_20260501_180717.csv,No ACE,NB,129,Hypervigilant Withdrawal,29.0,735.0,3.9455782312925165
multiple_runs_NB_LowThreat_Series_20260501_180717.csv,No ACE,NB,130,Hypervigilant Withdrawal,256.0,628.0,40.76433121019109
multiple_runs_NB_LowThreat_Series_20260501_180717.csv,No ACE,NB,131,Hypervigilant Withdrawal,261.0,676.0,38.6094674556213
multiple_runs_NB_LowThreat_Series_20260501_180717.csv,No ACE,NB,132,Hypervigilant Withdrawal,27.0,753.0,3.5856573705179287
multiple_runs_NB_LowThreat_Series_20260501_180717.csv,No ACE,NB,133,Hypervigilant Withdrawal,99.0,720.0,13.750000000000002
multiple_runs_NB_LowThreat_Series_20260501_180717.csv,No ACE,NB,134,Hypervigilant Withdrawal,183.0,739.0,24.76319350473613
multiple_runs_NB_LowThreat_Series_20260501_180717.csv,No ACE,NB,135,Hypervigilant Withdrawal,270.0,709.0,38.081805359661494
multiple_runs_NB_LowThreat_Series_20260501_180717.csv,No ACE,NB,136,Hypervigilant Withdrawal,256.0,683.0,37.48169838945827
multiple_runs_NB_LowThreat_Series_20260501_180717.csv,No ACE,NB,137,Hypervigilant Withdrawal,302.0,635.0,47.55905511811024
multiple_runs_NB_LowThreat_Series_20260501_180717.csv,No ACE,NB,138,Hypervigilant Withdrawal,40.0,777.0,5.148005148005148
multiple_runs_NB_LowThreat_Series_20260501_180717.csv,No ACE,NB,139,Hypervigilant Withdrawal,289.0,739.0,39.106901217861974
multiple_runs_NB_LowThreat_Series_20260501_180717.csv,No ACE,NB,140,Hypervigilant Withdrawal,125.0,753.0,16.600265604249667
multiple_runs_NB_LowThreat_Series_20260501_180717.csv,No ACE,NB,141,Hypervigilant Withdrawal,252.0,622.0,40.51446945337621
multiple_runs_NB_LowThreat_Series_20260501_180717.csv,No ACE,NB,142,Hypervigilant Withdrawal,267.0,509.0,52.455795677799614
multiple_runs_NB_LowThreat_Series_20260501_180717.csv,No ACE,NB,143,Hypervigilant Withdrawal,102.0,724.0,14.088397790055248
multiple_runs_NB_LowThreat_Series_20260501_180717.csv,No ACE,NB,144,Hypervigilant Withdrawal,159.0,703.0,22.617354196301566
multiple_runs_NB_LowThreat_Series_20260501_180717.csv,No ACE,NB,145,Hypervigilant Withdrawal,95.0,681.0,13.950073421439061
multiple_runs_NB_LowThreat_Series_20260501_180717.csv,No ACE,NB,146,Hypervigilant Withdrawal,125.0,653.0,19.142419601837673
multiple_runs_NB_LowThreat_Series_20260501_180717.csv,No ACE,NB,147,Hypervigilant Withdrawal,75.0,689.0,10.88534107402032
multiple_runs_NB_LowThreat_Series_20260501_180717.csv,No ACE,NB,148,Hypervigilant Withdrawal,127.0,744.0,17.06989247311828
