agent_type,condition,source_file,Affiliative_pct,Internalizing_pct,Externalizing_pct
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,67.93066088840737,2.925243770314193,29.144095341278444
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,16.556836902800658,19.769357495881383,63.67380560131796
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,66.49104320337197,4.004214963119073,29.50474183350896
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,67.40812379110251,4.25531914893617,28.336557059961315
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,68.09338521400778,1.0700389105058365,30.836575875486382
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,4.377880184331797,21.274961597542244,74.34715821812597
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,71.8931475029036,2.9036004645760745,25.203252032520325
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,8.584005869405722,19.882611885546588,71.53338224504769
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,34.074074074074076,13.333333333333334,52.59259259259259
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,4.791666666666667,28.4375,66.77083333333333
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,6.5055762081784385,24.1635687732342,69.33085501858736
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,6.043437204910293,28.706326723323887,65.25023607176583
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,5.888324873096447,27.918781725888326,66.19289340101523
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,5.227492739593417,27.395934172313652,67.37657308809293
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,8.945969884853854,21.523472099202834,69.53055801594331
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,62.64150943396226,5.0,32.35849056603774
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,3.7064492216456637,21.57153446997776,74.72201630837657
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,6.322444678609063,29.083245521601686,64.59430979978926
