agent_type,allies_condition,n_runs,Affiliative_mean,Affiliative_std,Internalizing_mean,Internalizing_std,Externalizing_mean,Externalizing_std
DB,Standard Allies,206,21.059648343307558,6.286696734281585,0.657145491656255,0.6856730807756182,77.79776927183231,8.2105467465631
DB,Strong Allies,206,34.97202818549539,16.559634520840348,0.7514380335451118,0.8173028966052724,63.79109688775563,16.92993457164165
DB,Very Strong Allies,206,37.878669896516115,18.347392019098262,0.8229899016086203,0.9172827392681598,60.81290330867138,18.698685773559138
NB,Standard Allies,206,48.5977866190693,17.798643702531994,43.2934394188928,18.490147931710002,7.623337068834008,7.548137820473358
NB,Strong Allies,206,46.75171177419753,17.444769167571238,43.848436967965704,19.944734291096648,8.914414364632888,9.865996013010655
NB,Very Strong Allies,206,45.99897404851174,20.05662248762462,47.75845419605329,21.146578593388867,5.757134862231079,5.8752674461951155
