agent_type,condition,n_runs,Affiliative_mean,Affiliative_std,Internalizing_mean,Internalizing_std,Externalizing_mean,Externalizing_std
DB,No ACE,206,20.737734348423867,6.350952097565879,0.6822461077672161,0.6610030024842062,78.09458265060502,8.289016388040233
DB,Moderate,206,20.984233757211133,6.824406482262671,0.9829989829327607,0.8334314493306996,77.54733036665222,8.452112866992783
DB,ACE,206,25.287359592067563,26.456959350656792,17.48605845913162,10.342436949493804,56.74114505559693,17.919693015412783
NB,No ACE,206,49.07582058845099,16.91201824265389,43.51514899591235,16.705650271994422,6.92359352243279,6.13627738792272
NB,Moderate,206,48.791296472859464,16.38345013214068,44.670902335559994,16.874397001851737,6.05236429837667,5.23866564341918
NB,ACE,206,57.78140731522446,25.071555185771782,38.23797082480763,25.20380338080175,3.495184966764022,1.2776182212522365
