allies_condition,healthy_friendliness,community_trusting_vulnerability,protective_behavior,fearful_withdrawn_relationship,willingness_to_flee,learned_helplessness,bully_behavior,aggressive_withdrawn_relationship,dangerous_trust
Standard Allies (Moderate Threat),2.5823686553873553,0.3561887800534283,22.974176313446126,0.26714158504007124,0.6233303650934996,0.0,37.399821905609976,31.433659839715048,4.363312555654497
Standard Allies (Moderate Threat),21.532492725509215,0.3879728419010669,5.1406401551891365,0.0,0.6789524733268671,0.0,22.21144519883608,17.16779825412221,32.88069835111542
Standard Allies (Moderate Threat),7.0,0.0,22.153846153846153,0.0,0.23076923076923078,0.0,39.84615384615385,22.76923076923077,8.0
Standard Allies (Moderate Threat),15.004748338081672,0.0,4.083570750237417,0.0949667616334283,0.7597340930674265,0.0,26.210826210826212,23.45679012345679,30.389363722697055
Standard Allies (Moderate Threat),12.995391705069125,0.09216589861751152,15.944700460829493,0.2764976958525346,0.0,0.0,27.649769585253456,24.42396313364055,18.617511520737327
Standard Allies (Moderate Threat),15.950334288443171,0.28653295128939826,2.6743075453677174,0.0,0.28653295128939826,0.0,27.02960840496657,21.48997134670487,32.282712511938875
Standard Allies (Moderate Threat),0.0,0.0,25.957779515246287,0.0,1.2509773260359656,0.0,38.15480844409695,32.36903831118061,2.2673964034401877
Standard Allies (Moderate Threat),6.397562833206398,0.0,24.143183549124142,0.0,0.0,0.0,39.98476770753999,21.62985529322163,7.844630616907844
Standard Allies (Moderate Threat),2.774694783573807,0.4439511653718091,10.987791342952276,0.33296337402885684,0.0,0.0,40.95449500554939,42.28634850166482,2.2197558268590454
Standard Allies (Moderate Threat),1.3266998341625207,0.16583747927031509,25.953565505804313,0.0,1.5754560530679933,0.0,37.72802653399668,31.42620232172471,1.824212271973466
Standard Allies (Moderate Threat),2.1759697256385997,0.1892147587511826,15.2317880794702,0.0946073793755913,1.5137180700094608,0.0,43.140964995269634,36.04541154210028,1.608325449385052
Standard Allies (Moderate Threat),15.324927255092144,0.0,7.080504364694471,0.0,0.19398642095053345,0.0,29.485935984481085,23.569350145489814,24.34529582929195
Standard Allies (Moderate Threat),27.43091095189355,0.0,4.7082906857727735,0.1023541453428864,1.1258955987717503,0.0,19.447287615148415,14.431934493346981,32.75332650972364
Standard Allies (Moderate Threat),6.14359733530718,0.07401924500370097,19.09696521095485,0.0,0.5921539600296077,0.0,41.968911917098445,23.83419689119171,8.290155440414507
Standard Allies (Moderate Threat),14.620938628158845,0.27075812274368233,6.046931407942238,0.0,0.0,0.0,27.617328519855597,21.209386281588447,30.23465703971119
Standard Allies (Moderate Threat),1.0,0.2,20.3,0.1,2.1,0.0,40.6,34.6,1.1
Standard Allies (Moderate Threat),14.272030651340996,0.0,4.789272030651341,0.3831417624521073,0.19157088122605365,0.0,30.3639846743295,23.467432950191572,26.532567049808428
Standard Allies (Moderate Threat),0.3787878787878788,0.0,17.613636363636363,0.1893939393939394,2.462121212121212,0.0,39.86742424242424,37.02651515151515,2.462121212121212
Standard Allies (Moderate Threat),11.811023622047244,0.5249343832020997,5.424321959755031,0.0,0.5249343832020997,0.0,33.508311461067365,25.37182852143482,22.834645669291337
Standard Allies (Moderate Threat),1.9195612431444242,0.4570383912248629,15.26508226691042,0.2742230347349177,1.9195612431444242,0.0,42.96160877513711,36.19744058500914,1.0054844606946984
Standard Allies (Moderate Threat),0.0,0.2053388090349076,24.57221081451061,0.0,0.8898015058179329,0.0,46.40657084188912,26.967830253251197,0.9582477754962354
Standard Allies (Moderate Threat),2.9962546816479403,0.0,19.662921348314608,0.0,1.8726591760299625,0.0,40.168539325842694,33.89513108614232,1.404494382022472
Standard Allies (Moderate Threat),0.09633911368015415,0.09633911368015415,13.583815028901734,0.09633911368015415,1.1560693641618498,0.0,44.50867052023121,39.017341040462426,1.4450867052023122
Standard Allies (Moderate Threat),4.100227790432802,0.3416856492027335,9.79498861047836,0.0,0.11389521640091116,0.0,42.710706150341686,42.48291571753986,0.45558086560364464
Standard Allies (Moderate Threat),0.43072505384063176,0.3589375448671931,22.756640344580042,0.0,0.8614501076812635,0.0,45.44149318018665,27.207465900933236,2.9432878679109833
Standard Allies (Moderate Threat),10.628875110717448,0.0,11.95748449955713,0.0,0.0,0.0,28.87511071744907,24.53498671390611,24.00354295837024
Standard Allies (Moderate Threat),0.6415396952686447,0.0,28.789093825180434,0.48115477145148355,1.1226944667201284,0.0,36.086607858861264,31.515637530072173,1.36327185244587
Standard Allies (Moderate Threat),2.0535714285714284,0.35714285714285715,16.964285714285715,0.0,1.5178571428571428,0.0,39.375,33.57142857142857,6.160714285714286
Standard Allies (Moderate Threat),0.0,0.0,8.857808857808857,0.0,1.6317016317016317,0.0,39.16083916083916,46.96969696969697,3.37995337995338
Standard Allies (Moderate Threat),0.0,0.3058103975535168,17.125382262996943,0.6116207951070336,0.9174311926605505,0.0,40.97859327217125,38.53211009174312,1.529051987767584
Standard Allies (Moderate Threat),0.0,0.19821605550049554,12.487611496531219,0.29732408325074333,1.8830525272547076,0.0,40.33696729435084,41.72447968285431,3.072348860257681
Standard Allies (Moderate Threat),0.0,0.4319654427645788,14.578833693304535,0.0,0.8639308855291576,0.0,40.28077753779698,40.60475161987041,3.239740820734341
Standard Allies (Moderate Threat),6.042296072507553,0.3021148036253776,17.82477341389728,0.0,0.7552870090634441,0.0,41.842900302114806,24.546827794561935,8.685800604229607
Standard Allies (Moderate Threat),1.478352692713833,0.0,12.038014783526927,0.21119324181626187,1.2671594508975712,0.0,42.55543822597677,41.71066525871172,0.7391763463569165
Standard Allies (Moderate Threat),15.32258064516129,0.26881720430107525,8.064516129032258,0.0,0.8064516129032258,0.0,28.584229390681003,22.043010752688172,24.910394265232974
Standard Allies (Moderate Threat),5.916187345932621,0.0,16.76253081347576,0.0,0.4108463434675431,0.0,36.318816762530815,26.95152013147083,13.640098603122432
Standard Allies (Moderate Threat),17.156398104265403,0.0,1.7061611374407584,0.0947867298578199,1.4218009478672986,0.0,24.360189573459717,20.379146919431278,34.88151658767772
Standard Allies (Moderate Threat),8.897338403041825,0.0,18.403041825095055,0.0,0.0,0.0,40.91254752851711,20.0,11.787072243346008
Standard Allies (Moderate Threat),0.4681647940074906,0.18726591760299627,15.636704119850187,0.18726591760299627,1.404494382022472,0.0,43.164794007490634,37.359550561797754,1.591760299625468
Standard Allies (Moderate Threat),16.883116883116884,0.0,2.6973026973026974,0.1998001998001998,0.1998001998001998,0.0,27.872127872127873,21.57842157842158,30.56943056943057
Standard Allies (Moderate Threat),0.44052863436123346,0.44052863436123346,15.748898678414097,0.11013215859030837,1.9823788546255507,0.0,35.5726872246696,44.27312775330397,1.4317180616740088
Standard Allies (Moderate Threat),0.0,0.24154589371980675,30.917874396135264,0.0,0.24154589371980675,0.0,36.95652173913044,30.837359098228664,0.8051529790660226
Standard Allies (Moderate Threat),2.12298682284041,0.0,22.767203513909223,0.0,0.0,0.0,43.77745241581259,25.76866764275256,5.563689604685212
Standard Allies (Moderate Threat),11.102106969205835,0.0,5.26742301458671,0.0,0.9724473257698542,0.0,35.17017828200972,22.123176661264182,25.364667747163697
Standard Allies (Moderate Threat),0.0,0.8064516129032258,10.368663594470046,0.3456221198156682,2.7649769585253456,0.0,35.02304147465438,45.50691244239631,5.184331797235023
Standard Allies (Moderate Threat),15.289648622981955,0.0949667616334283,4.368471035137702,0.0,0.949667616334283,0.0,25.641025641025642,23.266856600189932,30.389363722697055
Standard Allies (Moderate Threat),0.1662510390689942,0.41562759767248547,23.524522028262677,0.0,1.1637572734829593,0.0,39.06899418121363,33.915211970074814,1.745635910224439
Standard Allies (Moderate Threat),17.314814814814813,0.18518518518518517,4.166666666666667,0.0,0.6481481481481481,0.0,24.90740740740741,19.814814814814813,32.96296296296296
Standard Allies (Moderate Threat),0.0,0.0,25.113858165256993,0.0,0.0,0.0,48.14573845152895,25.374105400130123,1.3662979830839297
Standard Allies (Moderate Threat),0.0,0.0,31.87702265372168,0.0,1.2135922330097086,0.0,35.59870550161812,31.22977346278317,0.08090614886731391
Standard Allies (Moderate Threat),5.802469135802469,0.0,12.716049382716049,0.12345679012345678,0.7407407407407407,0.0,33.82716049382716,43.20987654320987,3.580246913580247
Standard Allies (Moderate Threat),13.43402225755167,0.0,14.864864864864865,0.0,0.0,0.0,35.6120826709062,19.157392686804453,16.931637519872815
Standard Allies (Moderate Threat),2.0758122743682312,0.0,19.404332129963898,0.0,1.5342960288808665,0.0,37.90613718411552,32.581227436823106,6.498194945848375
Standard Allies (Moderate Threat),17.039922103213243,0.0,3.11587147030185,0.0,1.4605647517039921,0.0,24.537487828627068,19.863680623174293,33.98247322297955
Standard Allies (Moderate Threat),5.793829947328819,0.0,23.175319789315274,0.0,0.0,0.0,40.481565086531226,23.401053423626788,7.148231753197893
Standard Allies (Moderate Threat),10.452261306532664,0.10050251256281408,3.1155778894472363,0.10050251256281408,0.20100502512562815,0.0,29.547738693467338,28.542713567839197,27.939698492462313
Standard Allies (Moderate Threat),17.647058823529413,0.0,7.9411764705882355,0.09803921568627451,0.19607843137254902,0.0,23.823529411764707,19.313725490196077,30.980392156862745
Standard Allies (Moderate Threat),9.58036421219319,0.0,18.68566904196358,0.0,0.0,0.0,38.71733966745843,21.140142517814727,11.876484560570072
Standard Allies (Moderate Threat),0.0,0.0,23.583662714097496,0.0,1.1857707509881423,0.0,48.68247694334651,25.296442687747035,1.251646903820817
Standard Allies (Moderate Threat),0.411522633744856,0.0,23.292181069958847,0.1646090534979424,1.2345679012345678,0.0,40.90534979423868,32.016460905349795,1.9753086419753085
Standard Allies (Moderate Threat),6.101938262742283,0.3589375448671931,19.23905240488155,0.0,1.722900215362527,0.0,43.287867910983486,22.82842785355348,6.460875807609476
Standard Allies (Moderate Threat),9.637561779242175,0.0,10.131795716639209,0.0,0.32948929159802304,0.0,34.349258649093905,22.899505766062603,22.652388797364086
Standard Allies (Moderate Threat),0.15220700152207,0.76103500761035,21.61339421613394,0.0,0.532724505327245,0.0,46.34703196347032,29.680365296803654,0.91324200913242
Standard Allies (Moderate Threat),5.873261205564142,0.1545595054095827,17.15610510046368,0.0,0.0,0.0,37.635239567233384,24.72952086553323,14.451313755795981
Standard Allies (Moderate Threat),19.484240687679083,0.0,5.826170009551098,0.0,1.0506208213944603,0.0,25.787965616045845,18.911174785100286,28.939828080229226
Standard Allies (Moderate Threat),3.747323340471092,0.5353319057815846,13.704496788008566,0.4282655246252677,1.6059957173447537,0.0,41.220556745182016,37.79443254817987,0.9635974304068522
Standard Allies (Moderate Threat),24.193548387096776,0.08960573476702509,3.5842293906810037,0.0,0.6272401433691757,0.0,26.881720430107528,14.96415770609319,29.659498207885303
Standard Allies (Moderate Threat),8.569051580698835,0.0,17.970049916805323,0.0,0.16638935108153077,0.0,34.27620632279534,27.28785357737105,11.73044925124792
Standard Allies (Moderate Threat),2.5912838633686692,0.35335689045936397,12.48527679623086,0.0,0.4711425206124853,0.0,35.80683156654888,45.70082449941107,2.5912838633686692
Standard Allies (Moderate Threat),2.9561671763506627,0.2038735983690112,11.62079510703364,0.0,2.5484199796126403,0.0,41.08053007135576,39.24566768603466,2.344546381243629
Standard Allies (Moderate Threat),8.248587570621469,0.903954802259887,7.909604519774011,0.0,0.0,0.0,42.48587570621469,34.68926553672316,5.762711864406779
Standard Allies (Moderate Threat),6.277695716395864,0.0,12.850812407680944,0.0,0.29542097488921715,0.0,42.023633677991135,24.076809453471196,14.47562776957164
Standard Allies (Moderate Threat),0.08025682182985554,0.0,28.97271268057785,0.0,1.3643659711075442,0.0,35.87479935794543,31.781701444622794,1.926163723916533
Standard Allies (Moderate Threat),7.550200803212851,0.0,23.6144578313253,0.0,0.0,0.0,35.66265060240964,22.008032128514056,11.164658634538153
Standard Allies (Moderate Threat),6.553755522827688,0.0,17.15758468335788,0.0,0.22091310751104565,0.0,41.973490427098675,22.97496318114875,11.119293078055964
Standard Allies (Moderate Threat),12.94021294021294,0.0,9.90990990990991,0.0,0.0819000819000819,0.0,37.42833742833743,18.91891891891892,20.72072072072072
Standard Allies (Moderate Threat),1.2295081967213115,0.273224043715847,12.431693989071038,0.0,2.73224043715847,0.0,51.50273224043716,30.05464480874317,1.7759562841530054
Standard Allies (Moderate Threat),2.003338898163606,0.8347245409015025,17.02838063439065,0.0,1.5859766277128549,0.0,42.320534223706176,28.297161936560936,7.929883138564274
Standard Allies (Moderate Threat),8.288770053475936,0.0,18.627450980392158,0.0,0.8021390374331551,0.0,33.8680926916221,26.648841354723707,11.764705882352942
Standard Allies (Moderate Threat),0.8227374719521316,0.2243829468960359,19.596110695587136,0.14958863126402394,1.0471204188481675,0.0,46.522064323111444,30.740463724756918,0.8975317875841436
Standard Allies (Moderate Threat),0.0,0.1941747572815534,11.941747572815533,0.5825242718446602,1.4563106796116505,0.0,43.980582524271846,39.320388349514566,2.5242718446601944
Standard Allies (Moderate Threat),8.003442340791738,0.1721170395869191,7.056798623063683,0.25817555938037867,1.2908777969018932,0.0,31.841652323580035,26.247848537005165,25.129087779690188
Standard Allies (Moderate Threat),2.245088868101029,0.5612722170252572,15.434985968194574,0.2806361085126286,0.5612722170252572,0.0,42.75023386342376,36.295603367633305,1.8709073900841908
Standard Allies (Moderate Threat),7.013574660633484,0.0,17.94871794871795,0.0,0.30165912518853694,0.0,39.366515837104075,23.529411764705884,11.840120663650076
Standard Allies (Moderate Threat),0.0,0.0,28.12006319115324,0.0,1.4218009478672986,0.0,36.413902053712484,30.647709320695103,3.39652448657188
Standard Allies (Moderate Threat),0.26019080659150046,0.08673026886383348,19.774501300954032,0.0,1.4744145706851692,0.0,38.941890719861235,34.431916738941894,5.030355594102342
Standard Allies (Moderate Threat),8.52359208523592,0.0,19.710806697108065,0.0,0.0,0.0,39.49771689497717,21.765601217656013,10.502283105022832
Standard Allies (Moderate Threat),1.524390243902439,0.0,9.654471544715447,0.3048780487804878,0.508130081300813,0.0,45.020325203252035,39.22764227642276,3.7601626016260163
Standard Allies (Moderate Threat),2.863202545068929,0.21208907741251326,11.346765641569458,0.21208907741251326,0.4241781548250265,0.0,43.16012725344645,39.978791092258746,1.8027571580063626
Standard Allies (Moderate Threat),15.242290748898679,0.1762114537444934,2.8193832599118944,0.0,0.7929515418502202,0.0,31.18942731277533,20.52863436123348,29.251101321585903
Standard Allies (Moderate Threat),7.445887445887446,0.0,24.06926406926407,0.0,0.2597402597402597,0.0,32.900432900432904,27.01298701298701,8.311688311688311
Standard Allies (Moderate Threat),10.505836575875486,0.19455252918287938,17.023346303501945,0.0,0.6809338521400778,0.0,38.326848249027236,31.6147859922179,1.6536964980544746
