allies_condition,healthy_friendliness,community_trusting_vulnerability,protective_behavior,fearful_withdrawn_relationship,willingness_to_flee,learned_helplessness,bully_behavior,aggressive_withdrawn_relationship,dangerous_trust
ACE Standard Allies,13.215127424755336,0.0023844587891576194,14.44148455805488,0.029671646122593,2.2269039535482524,14.066041256879334,28.823464730541104,23.699125411862553,3.010359666242907
Standard Allies (Moderate Threat),6.129569050086229,0.16985804816341987,15.203248329789764,0.10651813838973063,0.8052552954862839,0.0,37.35119456895832,29.068800673783187,10.680119002139188
Strong Allies (Moderate Threat),20.324768219720028,0.19018178364982313,15.523572752406947,0.1745243798245471,0.9337087292470143,0.0,29.464243314787193,20.001515172549134,12.90204875461143
