source_file,source_path,agent_type,condition,run,selected_complex_total,total_expectancy,healthy_friendliness,healthy_friendliness_count,healthy_friendliness_denominator,protective_behavior,protective_behavior_count,protective_behavior_denominator,hopefulness,hopefulness_count,hopefulness_denominator,community_trusting_vulnerability,community_trusting_vulnerability_count,community_trusting_vulnerability_denominator,willingness_to_flee,willingness_to_flee_count,willingness_to_flee_denominator,fearful_withdrawn_relationship,fearful_withdrawn_relationship_count,fearful_withdrawn_relationship_denominator,bully_behavior,bully_behavior_count,bully_behavior_denominator,aggressive_withdrawn_relationship,aggressive_withdrawn_relationship_count,aggressive_withdrawn_relationship_denominator,dangerous_trust,dangerous_trust_count,dangerous_trust_denominator,cynical,cynical_count,cynical_denominator,learned_helplessness,learned_helplessness_count,learned_helplessness_denominator
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,11,1076.0,1202.0,1.858736059479554,20.0,1076.0,4.646840148698884,50.0,1076.0,65.3910149750416,786.0,1202.0,0.0,0.0,1076.0,2.973977695167286,32.0,1076.0,0.0,0.0,1076.0,29.739776951672862,320.0,1076.0,36.33828996282528,391.0,1076.0,3.2527881040892193,35.0,1076.0,34.60898502495841,416.0,1202.0,21.189591078066915,228.0,1076.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,12,1059.0,1192.0,1.2275731822474032,13.0,1059.0,4.815864022662889,51.0,1059.0,53.85906040268457,642.0,1192.0,0.0,0.0,1059.0,3.6827195467422094,39.0,1059.0,0.18885741265344666,2.0,1059.0,28.800755429650614,305.0,1059.0,33.6166194523135,356.0,1059.0,2.8328611898017,30.0,1059.0,46.14093959731543,550.0,1192.0,24.834749763928237,263.0,1059.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,13,985.0,1198.0,0.40609137055837563,4.0,985.0,5.4822335025380715,54.0,985.0,58.347245409015024,699.0,1198.0,0.0,0.0,985.0,2.9441624365482233,29.0,985.0,0.0,0.0,985.0,23.248730964467004,229.0,985.0,39.898477157360404,393.0,985.0,3.0456852791878175,30.0,985.0,41.652754590984976,499.0,1198.0,24.9746192893401,246.0,985.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,14,1033.0,1189.0,0.0968054211035818,1.0,1033.0,5.130687318489835,53.0,1033.0,57.5273338940286,684.0,1189.0,0.0,0.0,1033.0,2.1297192642787994,22.0,1033.0,0.0,0.0,1033.0,26.91190706679574,278.0,1033.0,37.173281703775416,384.0,1033.0,3.291384317521781,34.0,1033.0,42.472666105971406,505.0,1189.0,25.26621490803485,261.0,1033.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,15,1129.0,1201.0,1.5943312666076175,18.0,1129.0,7.351638618246235,83.0,1129.0,66.61115736885928,800.0,1201.0,0.0,0.0,1129.0,3.100088573959256,35.0,1129.0,0.0,0.0,1129.0,32.59521700620018,368.0,1129.0,33.65810451727192,380.0,1129.0,3.277236492471213,37.0,1129.0,33.38884263114071,401.0,1201.0,18.42338352524358,208.0,1129.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,16,1060.0,1197.0,34.52830188679245,366.0,1060.0,28.11320754716981,298.0,1060.0,74.68671679197995,894.0,1197.0,0.0,0.0,1060.0,1.6037735849056605,17.0,1060.0,0.0,0.0,1060.0,26.132075471698112,277.0,1060.0,2.9245283018867925,31.0,1060.0,3.30188679245283,35.0,1060.0,25.31328320802005,303.0,1197.0,3.3962264150943398,36.0,1060.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,17,1349.0,1189.0,0.9636767976278725,13.0,1349.0,2.742772424017791,37.0,1349.0,62.321278385197644,741.0,1189.0,0.0,0.0,1349.0,1.4825796886582654,20.0,1349.0,0.2223869532987398,3.0,1349.0,44.180874722016306,596.0,1349.0,29.20681986656783,394.0,1349.0,1.3343217197924389,18.0,1349.0,37.678721614802356,448.0,1189.0,19.866567828020756,268.0,1349.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,18,949.0,1189.0,0.6322444678609063,6.0,949.0,5.690200210748156,54.0,949.0,57.5273338940286,684.0,1189.0,0.0,0.0,949.0,2.73972602739726,26.0,949.0,0.0,0.0,949.0,20.758693361433085,197.0,949.0,41.30663856691254,392.0,949.0,2.528977871443625,24.0,949.0,42.472666105971406,505.0,1189.0,26.343519494204426,250.0,949.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,19,1012.0,1217.0,37.94466403162055,384.0,1012.0,31.126482213438734,315.0,1012.0,88.08545603944124,1072.0,1217.0,0.0,0.0,1012.0,1.383399209486166,14.0,1012.0,0.0,0.0,1012.0,23.418972332015812,237.0,1012.0,3.1620553359683794,32.0,1012.0,2.9644268774703555,30.0,1012.0,11.91454396055875,145.0,1217.0,0.0,0.0,1012.0
multiple_runs_DB_HighThreat_Series_20260501_214553.csv,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,DB,ACE,20,1020.0,1185.0,2.941176470588235,30.0,1020.0,5.196078431372549,53.0,1020.0,62.869198312236286,745.0,1185.0,0.0,0.0,1020.0,2.941176470588235,30.0,1020.0,0.0,0.0,1020.0,28.52941176470588,291.0,1020.0,35.78431372549019,365.0,1020.0,3.3333333333333335,34.0,1020.0,37.130801687763714,440.0,1185.0,21.274509803921568,217.0,1020.0
