agent_type,condition,behavior_key,behavior_label,category,denominator_type,n_runs,mean_pct,std_pct,sem_pct,min_pct,max_pct
DB,No ACE,healthy_friendliness,Healthy friendliness,adaptive,complex,200,4.672524913202275,4.776329980386576,0.3377375318315957,0.0,19.79648473635523
DB,No ACE,protective_behavior,Protective behavior,adaptive,complex,200,16.01093646643349,6.655920173373499,0.4706446289628742,1.3461538461538463,30.756302521008404
DB,No ACE,hopefulness,Positive expectancy,adaptive,expectancy,200,85.31535350402159,4.173355354798664,0.29510078716793253,71.92691029900332,96.3743676222597
DB,No ACE,community_trusting_vulnerability,Help-seeking,adaptive,complex,200,0.12024715418387855,0.17165685527538044,0.012137972640237929,0.0,0.8264462809917356
DB,No ACE,willingness_to_flee,Adaptive avoidance,adaptive,complex,200,0.5898064922484201,0.6296671714761832,0.044524192684136175,0.0,2.543068088597211
DB,No ACE,fearful_withdrawn_relationship,Hypervigilant withdrawal,maladaptive,complex,200,0.08473753770379934,0.1640604219608172,0.011600823689282022,0.0,0.9761388286334056
DB,No ACE,bully_behavior,Misdirected aggression,maladaptive,complex,200,39.04928176045726,5.531445800191353,0.3911322835081154,24.733268671193017,54.72027972027972
DB,No ACE,aggressive_withdrawn_relationship,Relational aggression,maladaptive,complex,200,30.783576031770313,6.236417616213648,0.44098131867359147,19.30164888457808,53.66748166259169
DB,No ACE,dangerous_trust,Dangerous trust,maladaptive,complex,200,8.68888964400056,8.106488067460962,0.5732152684109476,0.847457627118644,34.51923076923077
DB,No ACE,cynical,Negative expectancy,maladaptive,expectancy,200,14.684646495978411,4.173355354798664,0.29510078716793253,3.625632377740304,28.07308970099668
DB,No ACE,learned_helplessness,Learned helplessness,maladaptive,complex,200,0.0,0.0,0.0,0.0,0.0
DB,Moderate adversity,healthy_friendliness,Healthy friendliness,adaptive,complex,200,5.415107573702428,6.967184954309082,0.4926543726972838,0.0,34.77246207701283
DB,Moderate adversity,protective_behavior,Protective behavior,adaptive,complex,200,15.407811935708025,7.229584714043835,0.5112088376463002,1.1088709677419355,32.99406276505513
DB,Moderate adversity,hopefulness,Positive expectancy,adaptive,expectancy,200,85.25808005009661,4.674010430587026,0.33050244708047405,73.05439330543933,96.98492462311557
DB,Moderate adversity,community_trusting_vulnerability,Help-seeking,adaptive,complex,200,0.20485962749061162,0.22821543988777424,0.016137268511611607,0.0,1.3360739979445015
DB,Moderate adversity,willingness_to_flee,Adaptive avoidance,adaptive,complex,200,0.8573438895047277,0.7572022916831054,0.05354228751791179,0.0,3.3962264150943398
DB,Moderate adversity,fearful_withdrawn_relationship,Hypervigilant withdrawal,maladaptive,complex,200,0.12357023054547067,0.22307731271108366,0.015773948054687927,0.0,1.3270142180094786
DB,Moderate adversity,bully_behavior,Misdirected aggression,maladaptive,complex,200,38.28773537555039,6.796683786118027,0.4805981194744715,9.334889148191365,50.332225913621265
DB,Moderate adversity,aggressive_withdrawn_relationship,Relational aggression,maladaptive,complex,200,30.567932176773294,8.076729147980974,0.5711109950344393,7.459677419354839,55.24861878453039
DB,Moderate adversity,dangerous_trust,Dangerous trust,maladaptive,complex,200,9.13563919072506,10.3610521475435,0.7326370233755449,0.06609385327164573,40.524193548387096
