analysis_type,cluster,comparison,group_label,predictor,dependent_variables,statistic,value,num_df,den_df,f_value,p_value
within_condition_agents,maladaptive,No ACE,agent_type,agent_type,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical,Roy's greatest root,55.275098202585404,5.0,394.0,4355.67773836373,0.0
within_condition_agents,adaptive,Moderate adversity,agent_type,agent_type,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Wilks' lambda,0.019202817400759686,5.0,394.0,4024.764511157752,0.0
within_condition_agents,adaptive,Moderate adversity,agent_type,agent_type,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Pillai's trace,0.9807971825992403,5.0,394.0,4024.764511157752,0.0
within_condition_agents,adaptive,Moderate adversity,agent_type,agent_type,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Hotelling-Lawley trace,51.075691765961324,5.0,394.00000000000136,4024.7645111577517,0.0
within_condition_agents,adaptive,Moderate adversity,agent_type,agent_type,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Roy's greatest root,51.075691765961324,5.0,394.0,4024.764511157752,0.0
within_condition_agents,maladaptive,Moderate adversity,agent_type,agent_type,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical,Wilks' lambda,0.014327768261923501,5.0,394.0,5421.009779127536,0.0
within_condition_agents,maladaptive,Moderate adversity,agent_type,agent_type,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical,Pillai's trace,0.9856722317380765,5.0,394.0,5421.009779127535,0.0
within_condition_agents,maladaptive,Moderate adversity,agent_type,agent_type,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical,Hotelling-Lawley trace,68.79454034425807,5.0,394.00000000000136,5421.009779127535,0.0
within_condition_agents,maladaptive,Moderate adversity,agent_type,agent_type,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical,Roy's greatest root,68.79454034425807,5.0,394.0,5421.009779127536,0.0
within_condition_agents,adaptive,ACE,agent_type,agent_type,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Wilks' lambda,0.007225446987105033,5.0,394.0,10827.099682141632,0.0
within_condition_agents,adaptive,ACE,agent_type,agent_type,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Pillai's trace,0.992774553012895,5.0,394.0,10827.099682141632,0.0
within_condition_agents,adaptive,ACE,agent_type,agent_type,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Hotelling-Lawley trace,137.39974215915777,5.0,394.00000000000136,10827.09968214163,0.0
within_condition_agents,adaptive,ACE,agent_type,agent_type,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Roy's greatest root,137.39974215915777,5.0,394.0,10827.099682141632,0.0
within_condition_agents,maladaptive,ACE,agent_type,agent_type,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical|learned_helplessness,Wilks' lambda,0.11769242090472654,6.0,393.0,491.0354123612008,3.856592889633497e-179
within_condition_agents,maladaptive,ACE,agent_type,agent_type,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical|learned_helplessness,Pillai's trace,0.8823075790952735,6.0,393.0,491.0354123612009,3.856592889633497e-179
within_condition_agents,maladaptive,ACE,agent_type,agent_type,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical|learned_helplessness,Hotelling-Lawley trace,7.496723852842761,6.0,393.00000000000034,491.0354123612008,3.856592889632897e-179
within_condition_agents,maladaptive,ACE,agent_type,agent_type,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical|learned_helplessness,Roy's greatest root,7.496723852842761,6.0,393.0,491.0354123612008,3.856592889633497e-179
