Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_HighThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
22,396,81,94,601,69,343,26,33,545,0,481,485,534,205,259,0,0,0,0,0,379,26,3,301,41,3,28,30,742,205,1014.2134464740071,228.38398101530439,103.22454568805922,16.152846858747864,15.86961980715916,12.73560661241002
23,261,81,97,729,59,198,25,33,674,4,508,470,522,250,273,0,0,0,0,0,372,25,0,149,49,3,24,30,684,250,1081.026233805101,245.58705623010206,86.23985971279696,13.643390294206718,9.214480535008253,3.0686287675401482
24,816,146,105,112,68,756,86,55,47,0,485,483,532,144,253,0,0,0,0,0,379,33,27,680,53,9,25,46,800,144,979.5655685711616,230.07278280435244,102.31192757810804,15.573053172160554,9.70096044236509,3.4639001483983525
25,615,224,472,114,60,554,163,411,57,4,538,449,513,282,15,0,0,0,0,0,5,9,157,200,338,351,36,60,907,282,926.9160955125918,202.4815917825016,60.41093999114327,9.489462035919018,36.992313617573586,10.425733699085434
26,326,96,120,628,69,258,24,62,580,15,512,517,471,268,261,0,0,0,0,0,393,22,2,222,36,20,39,42,671,268,1004.1733022021846,213.95580408960078,97.60553389637249,15.583852939420725,17.950634623307156,14.820430733252929
27,528,96,455,340,69,468,28,405,277,2,518,491,491,185,12,0,0,0,1,0,63,20,82,147,321,333,36,72,995,185,631.2891090398145,172.36974203896042,76.75634746744791,12.030727407018277,25.968204617416283,5.4915700466886275
28,734,91,455,168,52,675,31,383,104,0,485,534,481,55,0,0,6,0,0,0,84,16,5,347,325,342,21,41,1138,55,553.2965866382629,156.69175499649256,72.69128842437172,12.025383820352618,86.573645924885,23.13982808172012
29,619,193,462,148,64,574,131,394,84,11,464,507,529,187,14,0,0,0,0,0,73,20,50,288,280,334,28,60,1007,187,761.0203457122523,186.50455269701206,73.6568728266399,11.862743521327587,56.687643505174414,20.278988423247068
30,393,89,164,534,60,341,19,96,473,2,504,520,476,204,260,0,2,0,0,0,356,17,15,286,54,49,26,47,727,204,985.1714521728439,218.55995813977486,74.41269376433455,11.3813594210255,53.87918122457096,40.17172941763487
31,650,94,263,275,67,589,40,203,219,5,476,493,531,237,151,0,9,0,0,0,262,25,81,472,117,130,43,73,819,237,966.5607916645515,202.25257455603904,100.85807811659538,14.423903593684589,24.889587560656828,7.71825047278773
