Run,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
84,166,0,0,19,31,53,0,6,307,0,0,0,337,23,29,1012,166
85,169,0,0,73,146,5,0,2,27,0,0,0,373,23,29,1006,169
86,202,0,0,8,15,121,0,0,321,0,0,0,284,18,34,1000,202
87,200,0,0,7,48,52,0,0,217,0,0,0,360,23,70,1011,200
88,225,0,0,11,166,6,0,0,24,0,0,0,408,34,74,991,225
89,193,0,0,17,6,84,0,1,338,0,0,1,298,17,17,1002,193
90,186,0,0,12,12,146,0,0,313,0,0,0,279,16,35,1011,186
91,208,0,0,0,11,32,0,0,343,0,0,0,358,23,55,1004,208
92,207,0,0,16,88,4,0,1,150,0,0,0,398,24,41,996,207
93,202,0,0,0,19,17,0,0,307,0,0,0,383,24,50,988,202
94,234,0,0,13,27,136,0,0,329,0,0,0,256,17,24,959,234
95,170,0,0,11,24,60,0,0,306,0,1,0,342,17,28,1031,170
96,184,0,0,15,0,103,0,1,345,0,1,0,270,25,39,1020,184
97,259,0,0,3,18,135,0,0,314,0,0,0,264,21,54,931,259
98,165,0,0,18,8,163,0,0,327,0,0,0,272,26,39,1034,165
99,213,0,0,27,123,9,0,11,91,0,0,0,373,18,19,981,213
100,176,0,0,6,9,49,0,0,350,0,0,0,323,25,43,1021,176
101,198,0,0,19,6,315,0,6,331,0,0,0,77,17,32,1001,198
102,239,0,0,16,6,333,0,8,323,0,0,0,66,25,26,947,239
103,185,0,0,38,168,2,0,1,43,0,0,1,387,21,48,1017,185
104,156,0,0,16,4,34,0,3,351,0,0,0,360,19,19,1051,156
105,166,0,0,7,23,44,0,0,302,0,0,0,323,29,64,1013,166
106,193,0,0,2,15,56,0,9,304,0,0,0,311,22,70,1015,193
107,221,0,0,0,15,78,0,0,358,0,0,0,318,23,53,972,221
108,156,0,0,58,151,0,0,0,43,0,0,0,399,18,41,1039,156
109,209,0,0,2,9,130,0,1,309,0,0,0,275,34,66,994,209
110,178,0,0,59,153,0,0,1,49,0,0,0,384,28,53,1017,178
111,212,0,0,15,15,184,0,1,343,0,0,0,213,22,35,974,212
112,205,0,0,1,14,42,0,0,376,0,0,0,376,18,39,1014,205
113,187,0,0,7,8,88,0,0,360,0,0,0,323,18,31,1031,187
114,170,0,0,8,11,44,0,0,339,0,0,0,342,34,54,1024,170
115,197,0,0,0,9,36,0,0,321,0,0,0,400,27,54,1003,197
116,182,0,0,69,163,0,0,0,11,0,0,0,376,24,48,1027,182
117,202,0,0,8,26,176,0,0,282,0,0,0,237,23,44,1010,202
118,205,0,0,0,30,64,0,0,331,0,0,0,345,24,49,1005,205
119,149,0,0,11,5,77,0,0,338,0,0,0,336,31,42,1070,149
