source_file,source_path,role,condition,run,fight_count,flee_count,cry_count,chase_count
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,DB,ACE,28,34.142647649375085,0.3486886515307148,-19.295235077851572,-15.19610122305423
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,DB,ACE,29,10.570089941339297,-17.237156247823545,-19.12403355443267,25.791099860916916
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,DB,ACE,30,32.188586144188726,-17.604946368955787,-18.868902693954418,4.285262918721468
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,DB,ACE,31,34.336683867507695,-15.893275542240712,-18.906721315843836,0.46331299057684916
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,DB,ACE,32,36.0752112855483,-5.46453817638367,-18.48422517326656,-12.126447935898073
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,DB,ACE,33,24.19672132227332,-17.21320401208681,-19.209034781254502,12.225517471067988
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,DB,ACE,34,31.25232860923939,-17.9854345909215,-19.371232649920387,6.1043386316024915
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,DB,ACE,35,7.3039091181975095,-13.664996384827697,-19.463286360597856,25.82437362722804
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,DB,ACE,36,45.51389873052316,-15.975130578778527,-18.832096377170558,-10.706671774574076
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,DB,ACE,37,26.951338860211465,-13.148330785100832,-17.962902262268685,4.159894187158049
