source_file,source_path,run,total_complex_behaviors,total_environment_count,learned_helplessness_pct,healthy_friendliness_pct,help_seeking_vulnerability_pct,ally_environment_pct,protective_behavior,community_trusting_vulnerability,healthy_friendliness,bully_behavior,aggressive_withdrawn_relationship,learned_helplessness,dangerous_trust,threat_count,ally_count,prey_count,threshold_from_figure7A_pct,latent_group
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,21,1010.0,1500.0,25.940594059405942,4.0594059405940595,0.09900990099009901,33.93333333333333,54.0,1.0,41.0,271.0,358.0,262.0,23.0,492.0,509.0,499.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,22,1237.0,1500.0,15.359741309620048,4.688763136620857,0.0,33.666666666666664,99.0,0.0,58.0,503.0,354.0,190.0,33.0,490.0,505.0,505.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,23,1048.0,1500.0,0.38167938931297707,36.354961832061065,0.0,34.66666666666667,307.0,0.0,381.0,295.0,30.0,4.0,31.0,480.0,520.0,500.0,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,24,961.0,1500.0,0.6243496357960457,29.76066597294485,0.0,31.066666666666663,317.0,0.0,286.0,253.0,74.0,6.0,25.0,501.0,466.0,533.0,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,25,897.0,1500.0,0.6688963210702341,40.91415830546266,0.0,32.6,343.0,0.0,367.0,137.0,14.0,6.0,30.0,528.0,489.0,483.0,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,26,901.0,1500.0,30.632630410654826,0.6659267480577136,0.0,30.866666666666664,50.0,0.0,6.0,186.0,357.0,276.0,26.0,494.0,463.0,543.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,27,904.0,1500.0,0.4424778761061947,37.5,0.0,35.733333333333334,273.0,0.0,339.0,157.0,89.0,4.0,42.0,476.0,536.0,488.0,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,28,1016.0,1500.0,23.4251968503937,0.7874015748031495,0.0,33.53333333333333,65.0,0.0,8.0,284.0,391.0,238.0,30.0,494.0,503.0,503.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,29,1050.0,1500.0,22.952380952380953,2.0,0.0,35.13333333333333,41.0,0.0,21.0,329.0,392.0,241.0,26.0,458.0,527.0,515.0,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,30,1007.0,1500.0,22.244289970208538,1.0923535253227408,0.0,32.93333333333333,48.0,0.0,11.0,314.0,383.0,224.0,27.0,469.0,494.0,537.0,2.037872954566788,vulnerable
