behavior,kruskal_h_stat,kruskal_p_value,kruskal_significant_alpha_0_05,median_no_ace,q1_no_ace,q3_no_ace,median_moderate_adversity,q1_moderate_adversity,q3_moderate_adversity,median_ace,q1_ace,q3_ace,n_no_ace,n_moderate_adversity,n_ace,No_ACE_vs_ACE_u_stat,No_ACE_vs_ACE_p_raw,No_ACE_vs_ACE_p_holm,No_ACE_vs_ACE_significant_alpha_0_05,Moderate_adversity_vs_ACE_u_stat,Moderate_adversity_vs_ACE_p_raw,Moderate_adversity_vs_ACE_p_holm,Moderate_adversity_vs_ACE_significant_alpha_0_05
Hypervigilant Withdrawal,44.45115934516993,2.2261447047249407e-10,True,0.8659337886745477,0.0,18.931176826770027,1.3994145943002358,0.0,18.73005319148936,0.09389671361502347,0.0,7.919901360056764,400,400,400,96474.0,1.8854162381754956e-07,1.8854162381754956e-07,True,100000.5,3.03741952297819e-10,6.07483904595638e-10,True
Dangerous Trust,22.8066207855455,1.1158484666827295e-05,True,2.8395554931193328,1.487621322414316,9.267211250063546,2.135042735042735,1.2079529899646047,6.7465310540194805,3.02678049816772,2.574808375992217,3.5283803896806782,400,400,400,79017.5,0.7638055858512983,0.7638055858512983,False,63473.5,4.261825735113357e-07,8.523651470226714e-07,True
Misdirected Aggression,106.65488436335788,6.921275338902637e-24,True,10.521235521235521,0.5914974696931293,38.730627701413496,10.229082708620961,0.5999250374812594,39.052413802797645,5.856301490326762,0.0,27.09878680504344,400,400,400,109841.0,2.73574170466405e-20,5.4714834093281e-20,True,108293.0,1.9164848514561813e-18,1.9164848514561813e-18,True
Relational Aggression,79.63238488235692,5.105606413518474e-18,True,19.136032239753995,2.075104880794024,29.671401489768584,18.41967070262337,2.8116258150393607,29.04761791967602,1.42426542032213,0.0,28.100421199926746,400,400,400,104540.5,5.260732859795394e-14,5.260732859795394e-14,True,105779.5,2.657428780971045e-15,5.31485756194209e-15,True
Learned Helplessness,398.0399867788372,3.6873561143352775e-87,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.87889404906558,400,400,400,45600.0,1.351831468910037e-48,2.703662937820074e-48,True,45600.0,1.351831468910037e-48,2.703662937820074e-48,True
Negative Expectancy Bias,338.19912244518497,3.6390973093869395e-74,True,12.797916004864334,10.45242125340024,16.10368434959965,13.054402447017697,10.092471311825507,17.710520118844226,18.794087136929463,15.951446479827947,36.510802469135804,400,400,400,25241.5,5.146902943882976e-63,1.0293805887765952e-62,True,30920.0,5.589813027594848e-51,5.589813027594848e-51,True
