source_file,source_path,data_group,condition,run,behavior,behavior_column,denominator_type,behavior_count,total_actions,percent_of_total_actions
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,5,Hypervigilant Withdrawal,fearful_withdrawn_relationship,total_complex_behaviors,0.0,950.0,0.0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,5,Dangerous Trust,dangerous_trust,total_complex_behaviors,31.0,950.0,3.263157894736842
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,5,Misdirected Aggression,bully_behavior,total_complex_behaviors,187.0,950.0,19.68421052631579
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,5,Relational Aggression,aggressive_withdrawn_relationship,total_complex_behaviors,38.0,950.0,4.0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,5,Learned Helplessness,learned_helplessness,total_complex_behaviors,0.0,950.0,0.0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,5,Negative Expectancy Bias,cynical,total_expectancies,268.0,1203.0,22.27763923524522
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,6,Hypervigilant Withdrawal,fearful_withdrawn_relationship,total_complex_behaviors,1.0,1090.0,0.09174311926605505
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,6,Dangerous Trust,dangerous_trust,total_complex_behaviors,28.0,1090.0,2.5688073394495414
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,6,Misdirected Aggression,bully_behavior,total_complex_behaviors,318.0,1090.0,29.174311926605505
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,6,Relational Aggression,aggressive_withdrawn_relationship,total_complex_behaviors,390.0,1090.0,35.77981651376147
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,6,Learned Helplessness,learned_helplessness,total_complex_behaviors,268.0,1090.0,24.587155963302752
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,6,Negative Expectancy Bias,cynical,total_expectancies,538.0,1186.0,45.362563237774026
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,7,Hypervigilant Withdrawal,fearful_withdrawn_relationship,total_complex_behaviors,0.0,1336.0,0.0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,7,Dangerous Trust,dangerous_trust,total_complex_behaviors,36.0,1336.0,2.694610778443114
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,7,Misdirected Aggression,bully_behavior,total_complex_behaviors,546.0,1336.0,40.86826347305389
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,7,Relational Aggression,aggressive_withdrawn_relationship,total_complex_behaviors,303.0,1336.0,22.679640718562872
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,7,Learned Helplessness,learned_helplessness,total_complex_behaviors,203.0,1336.0,15.194610778443113
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,7,Negative Expectancy Bias,cynical,total_expectancies,369.0,1212.0,30.445544554455445
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,8,Hypervigilant Withdrawal,fearful_withdrawn_relationship,total_complex_behaviors,1.0,1065.0,0.09389671361502347
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,8,Dangerous Trust,dangerous_trust,total_complex_behaviors,29.0,1065.0,2.7230046948356805
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,8,Misdirected Aggression,bully_behavior,total_complex_behaviors,326.0,1065.0,30.610328638497652
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,8,Relational Aggression,aggressive_withdrawn_relationship,total_complex_behaviors,400.0,1065.0,37.558685446009385
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,8,Learned Helplessness,learned_helplessness,total_complex_behaviors,221.0,1065.0,20.751173708920188
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,8,Negative Expectancy Bias,cynical,total_expectancies,458.0,1222.0,37.47954173486088
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,9,Hypervigilant Withdrawal,fearful_withdrawn_relationship,total_complex_behaviors,0.0,1272.0,0.0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,Observed,ACE,9,Dangerous Trust,dangerous_trust,total_complex_behaviors,21.0,1272.0,1.650943396226415
