source_file,condition,role,run,behavior,behavior_count,total_actions,percent_of_total_actions
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,197,Hypervigilant Withdrawal,113.0,457.0,24.72647702407002
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,198,Hypervigilant Withdrawal,4.0,591.0,0.676818950930626
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,199,Hypervigilant Withdrawal,54.0,480.0,11.25
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,200,Hypervigilant Withdrawal,144.0,434.0,33.17972350230415
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,Statistic,Hypervigilant Withdrawal,,0.0,0.0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,Total,Hypervigilant Withdrawal,15703.0,96530.0,16.267481611934116
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,Mean,Hypervigilant Withdrawal,78.52,482.66999999999996,16.26784345411979
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,Std,Hypervigilant Withdrawal,72.74,232.94999999999996,31.22558488946126
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,Min,Hypervigilant Withdrawal,0.0,61.0,0.0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,Max,Hypervigilant Withdrawal,327.0,1077.0,30.362116991643457
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,1,Hypervigilant Withdrawal,54.0,694.0,7.780979827089338
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,2,Hypervigilant Withdrawal,23.0,504.0,4.563492063492063
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,3,Hypervigilant Withdrawal,70.0,712.0,9.831460674157304
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,4,Hypervigilant Withdrawal,131.0,590.0,22.203389830508474
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,5,Hypervigilant Withdrawal,16.0,551.0,2.9038112522686026
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,6,Hypervigilant Withdrawal,169.0,504.0,33.53174603174603
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,7,Hypervigilant Withdrawal,60.0,716.0,8.379888268156424
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,8,Hypervigilant Withdrawal,122.0,472.0,25.847457627118644
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,9,Hypervigilant Withdrawal,185.0,623.0,29.69502407704655
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,10,Hypervigilant Withdrawal,254.0,601.0,42.26289517470882
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,11,Hypervigilant Withdrawal,47.0,607.0,7.742998352553541
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,12,Hypervigilant Withdrawal,86.0,515.0,16.699029126213592
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,13,Hypervigilant Withdrawal,195.0,477.0,40.88050314465409
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,14,Hypervigilant Withdrawal,148.0,571.0,25.91943957968476
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,15,Hypervigilant Withdrawal,106.0,639.0,16.588419405320813
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,16,Hypervigilant Withdrawal,143.0,619.0,23.101777059773827
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,17,Hypervigilant Withdrawal,164.0,708.0,23.163841807909606
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,18,Hypervigilant Withdrawal,201.0,688.0,29.21511627906977
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,19,Hypervigilant Withdrawal,130.0,507.0,25.64102564102564
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,20,Hypervigilant Withdrawal,40.0,486.0,8.23045267489712
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,21,Hypervigilant Withdrawal,50.0,458.0,10.91703056768559
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,22,Hypervigilant Withdrawal,140.0,637.0,21.978021978021978
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,23,Hypervigilant Withdrawal,256.0,502.0,50.99601593625498
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,24,Hypervigilant Withdrawal,154.0,624.0,24.679487179487182
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,25,Hypervigilant Withdrawal,224.0,605.0,37.02479338842975
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,26,Hypervigilant Withdrawal,229.0,437.0,52.40274599542334
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,27,Hypervigilant Withdrawal,88.0,529.0,16.6351606805293
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,28,Hypervigilant Withdrawal,213.0,523.0,40.72657743785851
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,29,Hypervigilant Withdrawal,14.0,483.0,2.898550724637681
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,30,Hypervigilant Withdrawal,48.0,679.0,7.069219440353461
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,31,Hypervigilant Withdrawal,103.0,464.0,22.198275862068968
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,32,Hypervigilant Withdrawal,35.0,733.0,4.774897680763983
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,33,Hypervigilant Withdrawal,144.0,575.0,25.043478260869566
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,34,Hypervigilant Withdrawal,96.0,488.0,19.672131147540984
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,35,Hypervigilant Withdrawal,108.0,484.0,22.31404958677686
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,36,Hypervigilant Withdrawal,289.0,489.0,59.100204498977504
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,37,Hypervigilant Withdrawal,32.0,624.0,5.128205128205128
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,38,Hypervigilant Withdrawal,54.0,533.0,10.131332082551594
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,39,Hypervigilant Withdrawal,128.0,472.0,27.11864406779661
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,40,Hypervigilant Withdrawal,106.0,705.0,15.035460992907801
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,41,Hypervigilant Withdrawal,140.0,516.0,27.131782945736433
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,42,Hypervigilant Withdrawal,262.0,519.0,50.481695568400774
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,43,Hypervigilant Withdrawal,237.0,659.0,35.96358118361153
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,44,Hypervigilant Withdrawal,160.0,477.0,33.542976939203356
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,45,Hypervigilant Withdrawal,288.0,432.0,66.66666666666666
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,46,Hypervigilant Withdrawal,119.0,602.0,19.767441860465116
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,47,Hypervigilant Withdrawal,65.0,647.0,10.046367851622875
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,48,Hypervigilant Withdrawal,169.0,723.0,23.374827109266942
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,49,Hypervigilant Withdrawal,320.0,491.0,65.17311608961303
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,50,Hypervigilant Withdrawal,148.0,666.0,22.22222222222222
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,51,Hypervigilant Withdrawal,38.0,682.0,5.571847507331378
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,52,Hypervigilant Withdrawal,53.0,485.0,10.927835051546392
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,53,Hypervigilant Withdrawal,181.0,673.0,26.894502228826152
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,54,Hypervigilant Withdrawal,66.0,534.0,12.359550561797752
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,55,Hypervigilant Withdrawal,108.0,467.0,23.126338329764454
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,56,Hypervigilant Withdrawal,180.0,563.0,31.97158081705151
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,57,Hypervigilant Withdrawal,169.0,625.0,27.04
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,58,Hypervigilant Withdrawal,147.0,459.0,32.02614379084967
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,59,Hypervigilant Withdrawal,57.0,553.0,10.30741410488246
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,60,Hypervigilant Withdrawal,20.0,491.0,4.0733197556008145
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,61,Hypervigilant Withdrawal,151.0,672.0,22.470238095238095
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,62,Hypervigilant Withdrawal,285.0,463.0,61.55507559395248
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,63,Hypervigilant Withdrawal,65.0,492.0,13.211382113821138
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,64,Hypervigilant Withdrawal,276.0,629.0,43.87917329093799
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,65,Hypervigilant Withdrawal,12.0,589.0,2.037351443123939
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,66,Hypervigilant Withdrawal,96.0,489.0,19.631901840490798
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,67,Hypervigilant Withdrawal,89.0,469.0,18.976545842217483
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,68,Hypervigilant Withdrawal,103.0,529.0,19.47069943289225
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,69,Hypervigilant Withdrawal,274.0,632.0,43.35443037974683
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,70,Hypervigilant Withdrawal,79.0,448.0,17.633928571428573
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,71,Hypervigilant Withdrawal,304.0,687.0,44.25036390101892
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,72,Hypervigilant Withdrawal,292.0,476.0,61.34453781512605
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,73,Hypervigilant Withdrawal,330.0,670.0,49.25373134328358
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,74,Hypervigilant Withdrawal,134.0,463.0,28.94168466522678
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,75,Hypervigilant Withdrawal,181.0,456.0,39.69298245614035
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,76,Hypervigilant Withdrawal,322.0,542.0,59.40959409594095
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,77,Hypervigilant Withdrawal,248.0,667.0,37.181409295352324
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,78,Hypervigilant Withdrawal,125.0,471.0,26.53927813163482
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,79,Hypervigilant Withdrawal,131.0,610.0,21.475409836065573
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,80,Hypervigilant Withdrawal,74.0,451.0,16.4079822616408
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,81,Hypervigilant Withdrawal,220.0,559.0,39.35599284436494
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,82,Hypervigilant Withdrawal,307.0,436.0,70.41284403669725
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,83,Hypervigilant Withdrawal,46.0,549.0,8.378870673952642
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,84,Hypervigilant Withdrawal,284.0,649.0,43.759630200308166
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,85,Hypervigilant Withdrawal,80.0,625.0,12.8
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,86,Hypervigilant Withdrawal,110.0,502.0,21.91235059760956
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,87,Hypervigilant Withdrawal,172.0,646.0,26.625386996904027
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,88,Hypervigilant Withdrawal,267.0,646.0,41.3312693498452
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,89,Hypervigilant Withdrawal,111.0,556.0,19.964028776978417
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,90,Hypervigilant Withdrawal,242.0,604.0,40.06622516556291
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,91,Hypervigilant Withdrawal,107.0,688.0,15.55232558139535
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,92,Hypervigilant Withdrawal,97.0,660.0,14.696969696969697
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,93,Hypervigilant Withdrawal,227.0,439.0,51.70842824601367
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,94,Hypervigilant Withdrawal,45.0,610.0,7.377049180327869
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,95,Hypervigilant Withdrawal,19.0,522.0,3.6398467432950192
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,96,Hypervigilant Withdrawal,43.0,665.0,6.466165413533835
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,97,Hypervigilant Withdrawal,235.0,461.0,50.97613882863341
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,98,Hypervigilant Withdrawal,187.0,673.0,27.786032689450224
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,99,Hypervigilant Withdrawal,105.0,585.0,17.94871794871795
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,100,Hypervigilant Withdrawal,64.0,683.0,9.370424597364568
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,101,Hypervigilant Withdrawal,56.0,595.0,9.411764705882353
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,102,Hypervigilant Withdrawal,170.0,559.0,30.41144901610018
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,103,Hypervigilant Withdrawal,7.0,575.0,1.2173913043478262
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,104,Hypervigilant Withdrawal,135.0,676.0,19.97041420118343
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,105,Hypervigilant Withdrawal,309.0,436.0,70.87155963302753
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,106,Hypervigilant Withdrawal,262.0,491.0,53.360488798370675
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,107,Hypervigilant Withdrawal,256.0,648.0,39.50617283950617
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,108,Hypervigilant Withdrawal,277.0,407.0,68.05896805896806
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,109,Hypervigilant Withdrawal,276.0,484.0,57.02479338842975
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,110,Hypervigilant Withdrawal,238.0,471.0,50.530785562632694
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,111,Hypervigilant Withdrawal,31.0,515.0,6.019417475728155
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,112,Hypervigilant Withdrawal,177.0,572.0,30.944055944055943
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,113,Hypervigilant Withdrawal,87.0,489.0,17.791411042944784
multiple_runs_NB_LowThreat_2_20260407_130133.csv,No ACE,NB,114,Hypervigilant Withdrawal,80.0,541.0,14.78743068391867
