agent_type,condition,behavior_key,behavior_label,category,denominator_type,n_runs,mean_pct,std_pct,sem_pct,min_pct,max_pct
DB,No ACE,healthy_friendliness,Healthy friendliness,adaptive,complex,400,7.64639268422447,4.768789748264463,0.23843948741322313,0.0,39.04761904761905
DB,No ACE,protective_behavior,Protective behavior,adaptive,complex,400,12.366046428334235,6.11580240492065,0.3057901202460325,0.0,32.475598935226266
DB,No ACE,hopefulness,Positive expectancy,adaptive,expectancy,400,81.61972777758021,5.617809225397559,0.28089046126987793,71.26666666666667,100.0
DB,No ACE,community_trusting_vulnerability,Help-seeking,adaptive,complex,400,2.4290777451017393,2.3419457319908856,0.11709728659954428,0.0,6.1010486177311725
DB,No ACE,willingness_to_flee,Adaptive avoidance,adaptive,complex,400,5.022111078439744,4.5357019522675,0.226785097613375,0.0,12.065637065637064
DB,No ACE,fearful_withdrawn_relationship,Hypervigilant withdrawal,maladaptive,complex,400,9.51648916033483,9.473856396015806,0.4736928198007903,0.0,22.201317027281277
DB,No ACE,bully_behavior,Misdirected aggression,maladaptive,complex,400,28.588135149487815,10.391676135820488,0.5195838067910243,14.285714285714285,55.78078078078078
DB,No ACE,aggressive_withdrawn_relationship,Relational aggression,maladaptive,complex,400,24.326148763380484,7.145046502744374,0.3572523251372187,0.4761904761904762,51.445783132530124
DB,No ACE,dangerous_trust,Dangerous trust,maladaptive,complex,400,10.105598990696679,6.810953685956489,0.34054768429782445,0.5627009646302251,38.095238095238095
DB,No ACE,cynical,Negative expectancy,maladaptive,expectancy,400,18.380272222419794,5.617809225397558,0.2808904612698779,0.0,28.733333333333334
DB,No ACE,learned_helplessness,Learned helplessness,maladaptive,complex,400,0.0,0.0,0.0,0.0,0.0
DB,Moderate adversity,healthy_friendliness,Healthy friendliness,adaptive,complex,400,7.75436331393778,4.8228925839911625,0.24114462919955812,0.0,31.229597388465724
DB,Moderate adversity,protective_behavior,Protective behavior,adaptive,complex,400,12.394017042177484,5.937269822873819,0.296863491143691,1.7061611374407581,31.87702265372168
DB,Moderate adversity,hopefulness,Positive expectancy,adaptive,expectancy,400,79.33719286104697,6.8704141861508745,0.34352070930754375,68.46666666666667,95.16263552960801
DB,Moderate adversity,community_trusting_vulnerability,Help-seeking,adaptive,complex,400,2.465247387444777,2.3381308945209733,0.11690654472604867,0.0,6.164383561643835
DB,Moderate adversity,willingness_to_flee,Adaptive avoidance,adaptive,complex,400,5.139534461968143,4.412922458674181,0.22064612293370905,0.0,12.260536398467432
DB,Moderate adversity,fearful_withdrawn_relationship,Hypervigilant withdrawal,maladaptive,complex,400,9.636594568862009,9.58170460270615,0.4790852301353075,0.0,22.126436781609197
DB,Moderate adversity,bully_behavior,Misdirected aggression,maladaptive,complex,400,28.33154372200717,10.346214749948446,0.5173107374974223,15.451577801958653,51.502732240437155
DB,Moderate adversity,aggressive_withdrawn_relationship,Relational aggression,maladaptive,complex,400,24.183139171530474,7.470992995824747,0.37354964979123734,12.078346028291621,51.34048257372654
DB,Moderate adversity,dangerous_trust,Dangerous trust,maladaptive,complex,400,10.095560332072166,7.554944556566513,0.37774722782832565,0.08090614886731393,37.323177366702936
DB,Moderate adversity,cynical,Negative expectancy,maladaptive,expectancy,400,20.662807138953035,6.8704141861508745,0.34352070930754375,4.837364470391994,31.533333333333335
DB,Moderate adversity,learned_helplessness,Learned helplessness,maladaptive,complex,400,0.0,0.0,0.0,0.0,0.0
DB,ACE,healthy_friendliness,Healthy friendliness,adaptive,complex,1400,13.380052678301524,14.784520647220717,0.3951329349256089,0.0,47.63636363636364
DB,ACE,protective_behavior,Protective behavior,adaptive,complex,1400,13.964438326856808,11.166200450846146,0.2984292599936214,1.6420361247947455,39.177750906892385
DB,ACE,hopefulness,Positive expectancy,adaptive,expectancy,1400,66.12618353438164,11.215543870033194,0.299748018342835,46.33333333333333,91.65289256198346
DB,ACE,community_trusting_vulnerability,Help-seeking,adaptive,complex,1400,0.018209590861733516,0.06102803915594221,0.0016310429536297178,0.0,0.522466039707419
DB,ACE,willingness_to_flee,Adaptive avoidance,adaptive,complex,1400,3.5263358935644575,3.18766566995407,0.0851939485753525,0.3894839337877313,35.78947368421053
DB,ACE,fearful_withdrawn_relationship,Hypervigilant withdrawal,maladaptive,complex,1400,2.921667004618421,7.0724910148484526,0.189020273204286,0.0,23.774765380604794
DB,ACE,bully_behavior,Misdirected aggression,maladaptive,complex,1400,27.3174379498613,8.61413734551986,0.23022250449678322,5.555555555555555,48.74005305039788
DB,ACE,aggressive_withdrawn_relationship,Relational aggression,maladaptive,complex,1400,22.944600610697584,13.33106556115372,0.3562877137889894,0.0,48.00936768149883
DB,ACE,dangerous_trust,Dangerous trust,maladaptive,complex,1400,4.008395921443165,2.6136904333956665,0.06985381512039485,1.0719754977029097,13.753877973112719
DB,ACE,cynical,Negative expectancy,maladaptive,expectancy,1400,33.87381646561836,11.215543870033192,0.29974801834283493,8.347107438016529,53.666666666666664
DB,ACE,learned_helplessness,Learned helplessness,maladaptive,complex,1400,11.91886202379501,10.950757451768627,0.2926713036441419,0.0,33.624454148471614
NB,No ACE,healthy_friendliness,Healthy friendliness,adaptive,complex,400,21.49906164818236,14.390597762257757,0.7195298881128879,7.352941176470589,79.74683544303798
NB,No ACE,protective_behavior,Protective behavior,adaptive,complex,400,6.078740061911179,4.930134172727765,0.24650670863638827,0.0,31.4873417721519
NB,No ACE,hopefulness,Positive expectancy,adaptive,expectancy,400,79.32227986953409,8.438988925616068,0.4219494462808034,62.26666666666667,96.25623960066557
NB,No ACE,community_trusting_vulnerability,Help-seeking,adaptive,complex,400,10.854745801329779,8.665593492546883,0.4332796746273441,0.0,40.48295454545455
NB,No ACE,willingness_to_flee,Adaptive avoidance,adaptive,complex,400,16.607269337952452,11.83385520693132,0.591692760346566,0.4491017964071856,47.54316069057105
NB,No ACE,fearful_withdrawn_relationship,Hypervigilant withdrawal,maladaptive,complex,400,20.662716523209447,9.414032782860975,0.47070163914304874,0.8739076154806492,63.1578947368421
NB,No ACE,bully_behavior,Misdirected aggression,maladaptive,complex,400,5.5273978471356955,4.810526978824131,0.24052634894120656,0.0,12.538226299694188
NB,No ACE,aggressive_withdrawn_relationship,Relational aggression,maladaptive,complex,400,12.090797509262986,9.573945628233036,0.4786972814116518,0.0,58.88077858880778
NB,No ACE,dangerous_trust,Dangerous trust,maladaptive,complex,400,6.679271271016098,4.6290329480763,0.231451647403815,0.0,26.180257510729614
NB,No ACE,cynical,Negative expectancy,maladaptive,expectancy,400,20.67772013046591,8.438988925616068,0.4219494462808034,3.743760399334443,37.733333333333334
NB,No ACE,learned_helplessness,Learned helplessness,maladaptive,complex,400,0.0,0.0,0.0,0.0,0.0
NB,Moderate adversity,healthy_friendliness,Healthy friendliness,adaptive,complex,400,20.760601723757617,12.642466210313401,0.6321233105156701,2.4566473988439306,58.69947275922671
NB,Moderate adversity,protective_behavior,Protective behavior,adaptive,complex,400,6.0481735981968665,5.056991325520517,0.25284956627602584,0.0,35.60283687943262
NB,Moderate adversity,hopefulness,Positive expectancy,adaptive,expectancy,400,76.77545285353891,11.20869603271219,0.5604348016356095,55.86666666666667,96.16026711185309
NB,Moderate adversity,community_trusting_vulnerability,Help-seeking,adaptive,complex,400,12.99830558073937,10.14646113691713,0.5073230568458565,0.35842293906810035,39.813374805598755
NB,Moderate adversity,willingness_to_flee,Adaptive avoidance,adaptive,complex,400,15.989291029158835,11.497692186819078,0.5748846093409539,0.0,47.854356306892065
NB,Moderate adversity,fearful_withdrawn_relationship,Hypervigilant withdrawal,maladaptive,complex,400,20.87555692638045,7.634182985268583,0.38170914926342914,1.9059720457433291,55.2
NB,Moderate adversity,bully_behavior,Misdirected aggression,maladaptive,complex,400,4.547205692401614,3.9891024593200806,0.19945512296600404,0.0,12.577962577962579
NB,Moderate adversity,aggressive_withdrawn_relationship,Relational aggression,maladaptive,complex,400,12.685757070630634,9.418749551641435,0.4709374775820717,0.0,45.56962025316456
NB,Moderate adversity,dangerous_trust,Dangerous trust,maladaptive,complex,400,6.095108378734613,4.48577185603093,0.2242885928015465,0.0,13.486842105263158
NB,Moderate adversity,cynical,Negative expectancy,maladaptive,expectancy,400,23.22454714646109,11.20869603271219,0.5604348016356095,3.8397328881469113,44.13333333333333
NB,Moderate adversity,learned_helplessness,Learned helplessness,maladaptive,complex,400,0.0,0.0,0.0,0.0,0.0
NB,ACE,healthy_friendliness,Healthy friendliness,adaptive,complex,400,28.162924499878617,19.059597287709376,0.9529798643854688,7.436918990703852,67.65676567656766
NB,ACE,protective_behavior,Protective behavior,adaptive,complex,400,5.734078913205915,5.782164927430129,0.28910824637150645,0.0,13.908872901678656
NB,ACE,hopefulness,Positive expectancy,adaptive,expectancy,400,65.15399751077665,18.47046932317794,0.923523466158897,38.733333333333334,89.10149750415974
NB,ACE,community_trusting_vulnerability,Help-seeking,adaptive,complex,400,6.824173013799657,7.0267558259512,0.35133779129756004,0.0,31.864406779661014
NB,ACE,willingness_to_flee,Adaptive avoidance,adaptive,complex,400,22.68344230249961,15.607087025330891,0.7803543512665445,0.4838709677419355,48.44559585492228
NB,ACE,fearful_withdrawn_relationship,Hypervigilant withdrawal,maladaptive,complex,400,16.813144349945926,9.370493026945903,0.46852465134729515,0.0,42.89508632138114
NB,ACE,bully_behavior,Misdirected aggression,maladaptive,complex,400,0.6144614625208527,0.7973131248862468,0.03986565624431234,0.0,3.567318757192175
NB,ACE,aggressive_withdrawn_relationship,Relational aggression,maladaptive,complex,400,11.790720462949201,11.590488218330373,0.5795244109165186,0.0,27.75881683731513
NB,ACE,dangerous_trust,Dangerous trust,maladaptive,complex,400,7.377054995200214,4.341349044768997,0.21706745223844984,0.7564296520423601,14.560770156438027
NB,ACE,cynical,Negative expectancy,maladaptive,expectancy,400,34.846002489223345,18.47046932317794,0.923523466158897,10.898502495840265,61.266666666666666
NB,ACE,learned_helplessness,Learned helplessness,maladaptive,complex,400,0.0,0.0,0.0,0.0,0.0
