analysis_type,cluster,comparison,group_label,predictor,dependent_variables,statistic,value,num_df,den_df,f_value,p_value
within_condition_agents,maladaptive,No ACE,agent_type,agent_type,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical,Roy's greatest root,2.519239480457478,5.0,794.0,400.05522949664754,4.161939689235768e-214
within_condition_agents,adaptive,Moderate adversity,agent_type,agent_type,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Wilks' lambda,0.3161489926007476,5.0,794.0,343.4948157881446,9.701557992622247e-196
within_condition_agents,adaptive,Moderate adversity,agent_type,agent_type,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Pillai's trace,0.6838510073992524,5.0,794.0,343.49481578814465,9.701557992621684e-196
within_condition_agents,adaptive,Moderate adversity,agent_type,agent_type,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Hotelling-Lawley trace,2.1630655906054446,5.0,793.9999999999958,343.4948157881446,9.70155799263205e-196
within_condition_agents,adaptive,Moderate adversity,agent_type,agent_type,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Roy's greatest root,2.1630655906054446,5.0,794.0,343.49481578814465,9.701557992621684e-196
within_condition_agents,maladaptive,Moderate adversity,agent_type,agent_type,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical,Wilks' lambda,0.2333575689682419,5.0,794.0,521.7007469957464,5.1129991278598265e-248
within_condition_agents,maladaptive,Moderate adversity,agent_type,agent_type,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical,Pillai's trace,0.7666424310317581,5.0,794.0,521.7007469957464,5.1129991278598265e-248
within_condition_agents,maladaptive,Moderate adversity,agent_type,agent_type,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical,Hotelling-Lawley trace,3.285269187630645,5.0,793.9999999999958,521.7007469957464,5.112999127866855e-248
within_condition_agents,maladaptive,Moderate adversity,agent_type,agent_type,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical,Roy's greatest root,3.285269187630645,5.0,794.0,521.7007469957464,5.1129991278598265e-248
within_condition_agents,adaptive,ACE,agent_type,agent_type,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Wilks' lambda,0.11755055645919676,5.0,1794.0,2693.503713462589,0.0
within_condition_agents,adaptive,ACE,agent_type,agent_type,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Pillai's trace,0.8824494435408032,5.0,1794.0,2693.503713462589,0.0
within_condition_agents,adaptive,ACE,agent_type,agent_type,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Hotelling-Lawley trace,7.506978019683916,5.0,1793.9999999999638,2693.5037134625895,0.0
within_condition_agents,adaptive,ACE,agent_type,agent_type,healthy_friendliness|protective_behavior|hopefulness|community_trusting_vulnerability|willingness_to_flee,Roy's greatest root,7.506978019683916,5.0,1794.0,2693.503713462589,0.0
within_condition_agents,maladaptive,ACE,agent_type,agent_type,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical|learned_helplessness,Wilks' lambda,0.2701567224670913,6.0,1793.0,807.3147225224125,0.0
within_condition_agents,maladaptive,ACE,agent_type,agent_type,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical|learned_helplessness,Pillai's trace,0.7298432775329087,6.0,1793.0,807.3147225224124,0.0
within_condition_agents,maladaptive,ACE,agent_type,agent_type,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical|learned_helplessness,Hotelling-Lawley trace,2.701555122774386,6.0,1793.0000000000325,807.3147225224125,0.0
within_condition_agents,maladaptive,ACE,agent_type,agent_type,fearful_withdrawn_relationship|bully_behavior|aggressive_withdrawn_relationship|dangerous_trust|cynical|learned_helplessness,Roy's greatest root,2.701555122774386,6.0,1793.0,807.3147225224124,0.0
