source_file,source_path,run,total_complex_behaviors,learned_helplessness_pct,protective_behavior,community_trusting_vulnerability,healthy_friendliness,bully_behavior,aggressive_withdrawn_relationship,learned_helplessness,dangerous_trust,latent_group
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,30,1007.0,22.244289970208538,48.0,0.0,11.0,314.0,383.0,224.0,27.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,31,920.0,29.02173913043478,36.0,0.0,5.0,183.0,398.0,267.0,31.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,32,970.0,25.15463917525773,57.0,0.0,21.0,228.0,388.0,244.0,32.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,33,1068.0,2.9962546816479403,299.0,0.0,338.0,294.0,64.0,32.0,41.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,34,1124.0,24.822064056939503,36.0,0.0,18.0,419.0,354.0,279.0,18.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,35,1099.0,9.918107370336669,184.0,0.0,174.0,375.0,227.0,109.0,30.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,36,1120.0,21.964285714285715,43.0,0.0,10.0,405.0,391.0,246.0,25.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,37,936.0,1.3888888888888888,295.0,0.0,378.0,211.0,4.0,13.0,35.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,38,1262.0,22.503961965134707,34.0,0.0,45.0,538.0,331.0,284.0,30.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,39,1051.0,5.613701236917222,233.0,0.0,234.0,330.0,155.0,59.0,40.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,40,1265.0,17.628458498023715,54.0,0.0,7.0,533.0,421.0,223.0,27.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,41,948.0,28.059071729957807,35.0,0.0,20.0,214.0,364.0,266.0,49.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,42,854.0,0.0,336.0,0.0,354.0,112.0,15.0,0.0,37.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,43,1000.0,1.4000000000000001,318.0,0.0,271.0,225.0,140.0,14.0,32.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,44,1148.0,21.602787456445995,60.0,0.0,10.0,387.0,411.0,248.0,32.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,45,1354.0,15.36189069423929,81.0,0.0,56.0,614.0,361.0,208.0,34.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,46,1015.0,21.87192118226601,51.0,0.0,14.0,277.0,425.0,222.0,26.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,47,1242.0,13.123993558776167,132.0,0.0,161.0,531.0,226.0,163.0,29.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,48,1039.0,0.0,316.0,0.0,381.0,288.0,19.0,0.0,35.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,49,963.0,27.31048805815161,63.0,0.0,4.0,220.0,383.0,263.0,30.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,50,992.0,25.0,59.0,0.0,5.0,250.0,401.0,248.0,29.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,51,972.0,0.0,308.0,0.0,393.0,220.0,13.0,0.0,38.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,52,1010.0,25.14851485148515,68.0,0.0,14.0,261.0,381.0,254.0,32.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,53,1079.0,21.872103799814642,58.0,0.0,1.0,344.0,407.0,236.0,33.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,54,868.0,31.797235023041477,26.0,0.0,0.0,127.0,404.0,276.0,35.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,55,976.0,0.0,297.0,0.0,274.0,261.0,106.0,0.0,38.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,56,962.0,0.0,330.0,0.0,391.0,216.0,2.0,0.0,23.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,57,930.0,33.11827956989247,25.0,0.0,16.0,182.0,374.0,308.0,25.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,58,1221.0,16.78951678951679,101.0,0.0,51.0,486.0,346.0,205.0,32.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,59,1002.0,27.644710578842314,68.0,0.0,7.0,232.0,382.0,277.0,36.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,60,1316.0,19.6048632218845,58.0,0.0,4.0,564.0,397.0,258.0,35.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,61,1268.0,16.798107255520506,85.0,0.0,88.0,564.0,287.0,213.0,31.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,62,1020.0,25.882352941176475,39.0,0.0,35.0,295.0,345.0,264.0,42.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,63,1019.0,0.0,321.0,0.0,349.0,257.0,51.0,0.0,41.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,64,1030.0,22.330097087378643,57.0,0.0,14.0,322.0,372.0,230.0,35.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,65,935.0,26.737967914438503,49.0,0.0,1.0,193.0,414.0,250.0,28.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,66,963.0,0.4153686396677051,296.0,0.0,336.0,222.0,71.0,4.0,34.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,67,1136.0,7.482394366197183,197.0,0.0,107.0,433.0,287.0,85.0,27.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,68,984.0,0.10162601626016261,331.0,0.0,351.0,240.0,35.0,1.0,26.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,69,928.0,0.3232758620689655,329.0,0.0,325.0,183.0,53.0,3.0,35.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,70,1039.0,21.751684311838307,47.0,1.0,20.0,350.0,361.0,226.0,34.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,71,890.0,0.6741573033707865,304.0,0.0,373.0,155.0,10.0,6.0,42.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,72,1023.0,20.332355816226784,84.0,0.0,2.0,274.0,430.0,208.0,25.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,73,1380.0,19.855072463768117,42.0,0.0,16.0,612.0,397.0,274.0,39.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,74,1385.0,16.24548736462094,64.0,0.0,17.0,673.0,381.0,225.0,25.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,75,796.0,16.331658291457288,50.0,0.0,98.0,283.0,195.0,130.0,40.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,76,1352.0,16.789940828402365,62.0,0.0,64.0,645.0,321.0,227.0,33.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,77,953.0,25.39349422875131,52.0,0.0,3.0,243.0,384.0,242.0,29.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,78,1029.0,25.364431486880466,56.0,0.0,3.0,277.0,400.0,261.0,32.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,79,952.0,0.7352941176470588,318.0,0.0,365.0,174.0,50.0,7.0,38.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,80,940.0,0.0,286.0,0.0,347.0,242.0,39.0,0.0,26.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,81,1007.0,28.897715988083416,40.0,0.0,8.0,260.0,382.0,291.0,26.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,82,923.0,30.985915492957744,40.0,0.0,1.0,189.0,382.0,286.0,25.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,83,1004.0,24.900398406374503,66.0,0.0,0.0,251.0,400.0,250.0,37.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,84,1423.0,19.04427266338721,50.0,0.0,0.0,675.0,408.0,271.0,19.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,85,848.0,0.8254716981132075,281.0,0.0,357.0,121.0,39.0,7.0,43.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,86,1107.0,17.88617886178862,82.0,0.0,36.0,407.0,353.0,198.0,31.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,87,1170.0,14.017094017094017,140.0,0.0,80.0,423.0,326.0,164.0,37.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,88,1035.0,26.08695652173913,45.0,0.0,2.0,293.0,399.0,270.0,26.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,89,1050.0,0.19047619047619047,342.0,0.0,349.0,292.0,42.0,2.0,23.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,90,1300.0,13.615384615384615,150.0,0.0,113.0,539.0,293.0,177.0,28.0,vulnerable
