source_file,source_path,run,total_complex_behaviors,total_expectancy,protective_behavior,community_trusting_vulnerability,healthy_friendliness,bully_behavior,aggressive_withdrawn_relationship,learned_helplessness,dangerous_trust,hopefulness,cynical,bully_behavior_pct,aggressive_withdrawn_relationship_pct,dangerous_trust_pct,learned_helplessness_pct,negative_expectancy_pct,threshold_from_figure7A_pct,latent_group
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,829,1028.0,1196.0,313.0,0.0,361.0,280.0,31.0,17.0,26.0,1020.0,159.0,27.237354085603112,3.0155642023346303,2.529182879377432,1.6536964980544748,14.715719063545151,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,830,1004.0,1207.0,298.0,0.0,376.0,250.0,39.0,5.0,36.0,1000.0,202.0,24.900398406374503,3.8844621513944224,3.5856573705179287,0.49800796812749004,17.149958574979287,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,831,1176.0,1184.0,85.0,0.0,21.0,508.0,389.0,145.0,28.0,814.0,225.0,43.197278911564624,33.07823129251701,2.380952380952381,12.329931972789115,31.25,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,832,1056.0,1230.0,325.0,0.0,361.0,258.0,69.0,0.0,43.0,1085.0,145.0,24.431818181818183,6.534090909090909,4.071969696969697,0.0,11.788617886178862,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,833,1069.0,1207.0,68.0,0.0,27.0,339.0,386.0,227.0,22.0,741.0,239.0,31.711880261927032,36.10851262862489,2.05799812909261,21.234798877455567,38.60811930405965,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,834,964.0,1205.0,57.0,0.0,3.0,242.0,387.0,241.0,34.0,718.0,246.0,25.103734439834025,40.14522821576764,3.5269709543568464,25.0,40.4149377593361,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,835,912.0,1223.0,41.0,0.0,0.0,198.0,384.0,268.0,21.0,709.0,246.0,21.710526315789476,42.10526315789473,2.302631578947368,29.385964912280706,42.027800490596896,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,836,873.0,1202.0,327.0,0.0,359.0,140.0,3.0,7.0,37.0,782.0,413.0,16.036655211912944,0.3436426116838488,4.238258877434135,0.8018327605956471,34.94176372712147,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,837,1052.0,1221.0,50.0,0.0,15.0,337.0,382.0,242.0,26.0,715.0,264.0,32.03422053231939,36.31178707224335,2.4714828897338403,23.00380228136882,41.44144144144144,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,838,977.0,1201.0,297.0,0.0,333.0,250.0,57.0,0.0,40.0,1017.0,184.0,25.588536335721596,5.834186284544525,4.094165813715456,0.0,15.320566194837633,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,839,1196.0,1203.0,26.0,0.0,136.0,498.0,231.0,269.0,36.0,721.0,213.0,41.63879598662207,19.31438127090301,3.0100334448160537,22.49163879598662,40.0665004156276,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,840,983.0,1182.0,226.0,0.0,209.0,256.0,149.0,106.0,37.0,749.0,327.0,26.042726347914545,15.15768056968464,3.7639877924720246,10.783316378433367,36.632825719120135,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,841,952.0,1201.0,28.0,0.0,0.0,285.0,396.0,204.0,39.0,704.0,293.0,29.936974789915965,41.596638655462186,4.0966386554621845,21.428571428571427,41.38218151540383,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,842,1114.0,1204.0,150.0,0.0,172.0,397.0,217.0,136.0,42.0,732.0,336.0,35.637342908438065,19.47935368043088,3.7701974865350087,12.208258527827647,39.202657807308974,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,843,937.0,1173.0,41.0,0.0,18.0,203.0,399.0,249.0,27.0,667.0,257.0,21.66488794023479,42.58271077908218,2.88153681963714,26.57417289220918,43.13725490196079,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,844,1268.0,1206.0,60.0,0.0,31.0,540.0,369.0,243.0,25.0,697.0,266.0,42.586750788643535,29.10094637223975,1.971608832807571,19.16403785488959,42.20563847429519,2.037872954566788,vulnerable
