source_file,source_path,run,total_complex_behaviors,total_expectancy,protective_behavior,community_trusting_vulnerability,healthy_friendliness,bully_behavior,aggressive_withdrawn_relationship,learned_helplessness,dangerous_trust,hopefulness,cynical,learned_helplessness_pct,protective_behavior_pct,positive_expectancy_pct,threshold_from_figure7A_pct,latent_group
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,396,984.0,1203.0,328.0,0.0,353.0,252.0,21.0,0.0,30.0,965.0,238.0,0.0,33.33333333333333,80.2161263507897,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,397,1049.0,1200.0,58.0,0.0,2.0,353.0,396.0,208.0,32.0,765.0,227.0,19.82840800762631,5.529075309818875,63.74999999999999,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,398,1007.0,1208.0,81.0,0.0,2.0,269.0,412.0,217.0,26.0,753.0,238.0,21.549155908639523,8.04369414101291,62.33443708609272,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,399,1207.0,1201.0,66.0,0.0,60.0,510.0,335.0,203.0,33.0,724.0,274.0,16.818558409279206,5.468102734051367,60.283097418817654,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,400,1198.0,1194.0,61.0,0.0,48.0,495.0,348.0,216.0,30.0,736.0,242.0,18.030050083472453,5.091819699499165,61.64154103852596,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,401,906.0,1202.0,302.0,0.0,378.0,140.0,47.0,5.0,34.0,966.0,231.0,0.5518763796909493,33.33333333333333,80.36605657237936,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,402,1181.0,1209.0,62.0,0.0,35.0,462.0,387.0,204.0,31.0,724.0,281.0,17.27349703640982,5.249788314987299,59.88420181968569,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,403,1001.0,1197.0,88.0,0.0,1.0,280.0,402.0,195.0,35.0,747.0,255.0,19.480519480519483,8.791208791208792,62.40601503759399,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,404,942.0,1184.0,320.0,0.0,321.0,211.0,54.0,6.0,30.0,1003.0,175.0,0.6369426751592357,33.97027600849257,84.71283783783784,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,405,992.0,1199.0,54.0,0.0,9.0,225.0,426.0,256.0,22.0,701.0,242.0,25.806451612903224,5.443548387096774,58.465387823185985,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,406,838.0,1197.0,297.0,0.0,338.0,121.0,36.0,2.0,44.0,900.0,295.0,0.23866348448687352,35.44152744630071,75.18796992481202,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,407,1182.0,1192.0,227.0,0.0,75.0,457.0,315.0,79.0,29.0,822.0,291.0,6.683587140439933,19.204737732656515,68.95973154362416,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,408,897.0,1200.0,265.0,0.0,323.0,173.0,74.0,14.0,48.0,947.0,239.0,1.560758082497213,29.54292084726867,78.91666666666667,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,409,980.0,1193.0,286.0,0.0,292.0,260.0,107.0,2.0,33.0,1013.0,178.0,0.20408163265306123,29.183673469387756,84.91198658843253,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,410,1061.0,1198.0,256.0,0.0,216.0,348.0,155.0,57.0,29.0,836.0,305.0,5.372290292177191,24.12818096135721,69.78297161936561,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,411,992.0,1203.0,50.0,0.0,23.0,301.0,356.0,227.0,35.0,762.0,214.0,22.883064516129032,5.040322580645161,63.34164588528678,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,412,887.0,1201.0,319.0,0.0,380.0,113.0,22.0,4.0,49.0,966.0,231.0,0.4509582863585118,35.963923337091316,80.43297252289759,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,413,956.0,1188.0,49.0,0.0,13.0,190.0,396.0,284.0,24.0,669.0,235.0,29.707112970711297,5.125523012552302,56.313131313131315,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,414,952.0,1198.0,304.0,0.0,406.0,196.0,10.0,9.0,27.0,994.0,195.0,0.9453781512605042,31.932773109243694,82.97161936560936,2.037872954566788,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,415,920.0,1198.0,34.0,0.0,5.0,146.0,394.0,309.0,32.0,635.0,254.0,33.58695652173913,3.6956521739130435,53.00500834724541,2.037872954566788,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,416,991.0,1197.0,37.0,0.0,0.0,268.0,404.0,254.0,28.0,684.0,259.0,25.630676084762865,3.733602421796166,57.14285714285714,2.037872954566788,vulnerable
