Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_HighThreat_2

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
48,734,93,157,323,68,499,494,507,244,125,0,21,0,0,0,355,32,136,486,178,44,27,44,820,244
49,445,84,114,500,64,518,490,492,181,293,0,0,0,0,0,382,20,7,335,48,7,26,48,717,181
50,706,85,427,200,77,535,493,472,151,5,0,2,0,0,0,83,33,50,319,311,302,33,67,1016,151
51,376,83,128,601,57,489,500,511,234,255,0,0,0,0,0,386,24,4,261,53,20,26,42,712,234
52,269,100,138,633,69,523,459,518,308,291,0,0,0,1,0,354,27,2,177,29,19,19,58,595,308
53,590,256,473,107,63,521,497,482,223,11,0,0,0,0,0,44,15,103,199,338,344,26,58,963,223
54,570,85,136,465,62,467,492,541,286,182,0,5,0,0,0,375,26,78,406,83,26,33,47,743,286
55,619,199,487,130,63,500,484,516,239,2,0,0,0,0,0,20,9,121,195,329,366,38,72,957,239
56,380,89,93,606,68,486,471,543,214,264,0,0,0,0,0,368,24,8,279,46,5,25,25,721,214
57,589,218,521,107,65,459,527,514,228,0,0,0,0,0,0,18,6,96,214,293,400,36,66,972,228
58,540,281,484,108,76,479,474,547,240,11,0,0,0,0,0,23,17,98,191,286,355,39,75,945,240
59,368,100,121,599,73,470,529,501,248,239,0,0,0,0,0,395,24,9,264,36,20,29,46,714,248
60,383,105,94,610,60,492,484,524,272,248,0,0,0,3,0,381,35,1,271,38,0,37,37,695,272
61,311,118,89,671,72,482,505,513,278,239,0,0,0,2,0,406,25,4,209,46,0,31,33,686,278
62,283,91,97,682,59,515,484,501,263,288,0,0,0,0,0,376,14,4,176,51,6,33,44,653,263
63,708,99,225,280,72,502,499,499,268,116,0,3,0,0,0,313,39,86,504,152,101,40,58,819,268
64,337,88,143,649,58,436,501,563,281,225,0,0,0,0,0,364,17,8,231,33,35,37,46,689,281
65,625,98,446,258,66,491,485,524,119,7,0,21,0,0,0,91,32,15,264,286,301,37,87,1085,119
66,656,76,99,355,70,483,493,524,190,244,0,0,0,0,0,379,29,32,514,57,2,31,36,768,190
67,531,70,133,429,61,516,487,497,163,276,0,0,0,0,0,349,17,8,407,52,22,27,44,747,163
68,576,82,99,386,59,513,490,497,156,298,0,0,0,0,0,389,16,5,471,39,1,25,26,731,156
69,747,81,220,304,62,517,479,504,248,86,0,20,0,1,0,287,24,124,470,206,99,28,62,876,248
70,778,148,174,106,58,492,489,519,173,236,0,0,0,0,0,359,22,77,599,46,37,27,78,789,173
71,684,119,497,129,67,486,496,518,200,4,0,0,0,0,0,34,16,97,301,299,345,42,83,989,200
72,404,82,98,602,67,500,495,505,221,247,0,0,0,2,0,392,30,4,260,64,7,38,40,735,221
73,625,93,266,349,78,476,501,523,315,89,0,2,0,0,0,226,34,151,368,194,167,37,41,784,315
74,421,90,108,562,60,493,485,522,216,259,0,0,0,0,0,377,34,2,327,39,14,37,37,733,216
