Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,random_NB_lowThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
47,313,280,311,303,293,484,493,523,308,0,0,20,53,199,0,183,71,1,208,104,111,93,200,1192,308
48,296,317,311,272,304,491,519,490,359,0,0,0,60,208,0,203,102,6,193,97,108,102,203,1141,359
49,332,297,276,297,298,498,503,499,320,0,0,23,47,187,0,210,112,6,223,103,106,92,170,1180,320
50,318,306,295,291,290,491,487,522,406,0,0,0,49,217,0,183,97,4,218,97,87,105,208,1094,406
51,291,285,325,291,308,469,509,522,315,0,0,23,44,202,0,194,88,2,196,93,113,100,212,1185,315
52,286,308,293,302,311,473,493,534,323,0,0,21,46,207,0,186,96,0,203,83,100,92,193,1177,323
53,301,284,301,301,313,496,516,488,380,0,0,0,57,205,0,203,94,2,191,108,108,91,193,1120,380
54,322,320,284,298,276,488,505,507,363,0,0,0,51,193,0,218,109,5,222,95,94,98,190,1137,363
55,298,293,299,279,331,462,505,533,345,0,0,2,47,214,0,200,80,0,198,100,91,102,208,1155,345
56,304,282,287,309,318,524,462,514,431,0,0,0,50,189,0,179,91,7,189,111,94,100,193,1069,431
57,277,304,308,315,296,522,491,487,360,0,0,26,64,188,0,209,117,2,183,92,94,102,214,1140,360
58,313,289,308,307,283,518,469,513,297,0,0,32,58,184,0,197,89,7,206,100,88,125,220,1203,297
59,271,309,311,296,313,487,504,509,354,0,0,0,58,208,0,188,100,0,179,92,108,94,203,1146,354
60,315,297,323,285,280,478,495,527,354,0,0,3,33,191,0,206,96,2,220,93,98,106,225,1146,354
61,311,288,305,303,293,485,490,525,333,0,0,20,47,196,0,201,89,7,209,95,93,109,212,1167,333
62,289,291,288,328,304,477,516,507,357,0,0,1,55,207,0,213,94,2,196,91,96,89,192,1143,357
63,312,290,297,315,286,505,490,505,348,0,0,1,43,185,0,198,94,3,209,100,107,98,190,1152,348
64,317,310,296,271,306,477,498,525,366,0,0,1,45,205,0,192,97,2,212,103,101,93,195,1134,366
65,310,271,283,329,307,509,497,494,356,0,0,18,49,196,0,228,99,4,207,99,73,103,210,1144,356
66,307,317,292,301,283,506,481,513,318,0,0,16,40,212,0,178,107,2,199,106,91,104,201,1182,318
67,318,289,289,284,320,517,506,477,375,0,0,6,48,190,0,230,97,6,202,110,86,101,203,1125,375
68,283,297,291,313,316,488,497,515,393,0,0,0,48,208,0,192,96,3,181,100,97,102,194,1107,393
69,292,323,295,314,276,471,496,533,340,0,0,16,34,191,0,218,100,3,209,80,87,106,208,1160,340
70,316,294,295,296,299,518,477,505,352,0,0,33,56,182,0,200,96,1,207,108,95,95,200,1148,352
71,292,312,310,280,306,506,500,494,334,0,0,18,46,196,0,194,113,1,188,104,110,106,200,1166,334
72,316,314,292,299,279,517,477,506,330,0,0,20,46,188,0,203,96,3,199,114,86,116,206,1170,330
73,295,289,278,312,326,498,499,503,337,0,0,2,55,197,0,205,103,1,193,102,97,90,181,1163,337
