Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,largerun_db_highthreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
40,694,311,90,115,67,622,240,39,43,16,458,537,505,246,223,0,0,0,11,0,421,14,52,533,54,7,27,32,714,246
41,312,100,120,634,68,249,44,74,579,1,498,490,512,249,266,0,0,0,1,0,364,23,0,214,35,20,49,54,698,249
42,501,327,494,116,62,450,254,431,65,6,521,467,512,218,0,0,0,0,0,0,15,11,70,112,336,354,37,77,988,218
43,596,88,388,340,74,543,23,327,283,9,510,518,472,162,14,0,24,0,0,0,140,23,71,225,318,271,32,56,1023,162
44,514,95,109,475,59,448,46,60,424,7,490,512,498,225,248,0,0,0,0,0,411,33,5,387,60,10,32,50,760,225
45,798,104,152,166,72,741,48,103,105,11,487,522,491,228,208,0,0,0,0,0,361,28,85,614,81,56,34,47,780,228
46,381,89,110,620,78,328,33,48,561,1,462,540,498,186,222,0,0,0,0,0,425,27,2,277,51,14,26,34,785,186
47,786,90,283,110,68,724,29,220,49,13,493,493,514,249,163,0,0,0,0,0,226,22,152,531,132,161,29,59,786,249
48,664,103,517,150,66,607,50,454,99,0,487,499,514,101,0,0,0,0,0,0,19,19,28,288,316,381,35,73,1109,101
49,342,90,97,645,63,286,23,34,573,7,523,474,503,224,263,0,0,0,0,0,383,21,6,220,63,4,30,30,699,224
50,363,75,98,648,68,309,13,35,580,7,485,506,509,197,248,0,0,0,0,0,401,13,5,250,59,5,29,30,747,197
51,617,77,512,220,74,564,29,465,152,1,488,502,510,338,0,0,4,0,0,0,13,22,247,220,308,393,38,72,873,338
52,401,82,137,563,63,336,23,81,504,1,525,497,478,267,254,0,0,0,0,0,381,18,21,261,68,14,32,67,678,267
53,469,90,102,541,62,404,38,34,487,1,476,510,514,251,236,0,0,0,2,0,407,33,9,344,58,1,33,33,713,251
54,232,81,91,757,63,153,30,35,704,1,495,499,506,296,276,0,0,0,0,0,404,27,0,127,26,0,35,35,627,296
55,622,78,408,322,70,558,20,345,269,11,487,491,522,108,0,0,25,0,0,0,106,20,12,261,297,274,38,71,1095,108
56,660,152,499,124,65,591,87,436,76,12,515,479,506,239,0,0,0,0,0,0,2,20,119,216,330,391,23,45,963,239
57,274,103,131,616,68,212,44,63,567,0,538,482,480,223,308,0,0,0,0,0,374,28,9,182,25,16,25,47,663,223
58,649,103,155,325,63,587,41,94,268,14,500,490,510,207,205,0,0,0,0,0,346,19,59,486,101,51,32,43,797,207
59,355,84,109,611,64,307,16,50,557,4,534,485,481,254,277,0,1,0,0,0,382,16,16,232,68,7,36,43,680,254
60,685,87,93,312,65,628,32,41,243,0,510,492,498,160,258,0,0,0,0,0,397,30,11,564,58,4,35,37,784,160
61,717,94,196,211,69,653,33,141,152,0,503,473,524,173,213,0,1,0,0,0,287,32,44,564,85,88,31,53,806,173
62,399,86,156,523,72,334,32,92,462,14,512,487,501,207,264,0,0,0,0,0,345,32,3,295,39,35,42,57,727,207
63,677,187,477,96,63,619,125,420,30,3,491,495,514,177,0,0,0,0,0,0,51,12,74,257,321,349,41,71,1020,177
64,444,99,125,533,69,380,39,68,467,3,484,484,532,234,230,0,0,0,0,0,372,39,20,322,57,14,35,54,723,234
65,295,97,86,708,64,242,31,29,640,9,473,508,519,252,250,0,0,0,0,0,414,27,0,193,49,1,28,28,699,252
66,573,118,466,267,72,519,59,405,205,0,495,503,502,116,4,0,8,0,2,0,71,22,26,222,296,336,34,69,1072,116
67,694,102,222,329,68,630,34,158,282,12,491,501,508,257,85,0,32,0,0,0,287,24,135,433,197,107,27,51,859,257
68,641,85,475,236,62,571,33,403,178,3,522,493,485,145,1,0,0,0,0,0,35,33,44,240,331,351,26,52,1043,145
69,580,296,454,105,62,512,228,396,45,4,521,484,495,216,3,0,0,0,0,0,53,10,59,183,329,325,35,71,969,216
70,462,129,138,479,66,406,55,83,421,1,491,480,529,277,226,0,1,1,0,0,361,39,14,350,47,20,34,63,689,277
71,528,230,523,147,66,467,174,469,100,0,513,475,512,304,6,0,0,0,0,0,10,21,165,155,304,373,42,96,906,304
72,403,92,104,627,66,358,28,36,572,0,458,538,504,224,208,0,8,0,0,0,430,28,14,274,84,2,25,34,770,224
73,808,111,128,114,65,730,56,65,53,0,521,528,451,174,274,0,0,0,0,0,397,34,83,612,42,16,39,49,730,174
74,861,100,120,130,64,794,56,65,56,5,463,490,547,201,225,0,0,0,0,0,381,24,76,673,64,17,25,48,775,201
75,753,149,208,195,65,333,86,151,133,4,512,522,466,160,130,0,6,0,0,0,195,30,18,283,50,98,40,53,547,160
76,805,100,159,136,73,751,29,108,67,11,493,488,519,177,227,0,0,0,0,0,321,26,72,645,62,64,33,44,789,177
77,356,91,89,664,58,295,31,33,602,1,487,499,514,215,242,0,2,0,0,0,384,31,4,243,52,3,29,30,747,215
78,391,86,95,604,63,333,25,42,529,6,485,515,500,221,261,0,0,0,0,0,400,22,4,277,56,3,32,39,714,221
79,552,271,501,106,63,497,209,442,48,4,518,513,469,228,7,0,0,0,0,0,50,15,77,174,318,365,38,77,972,228
80,584,91,499,257,69,531,48,424,211,0,511,467,522,223,0,0,0,0,0,0,39,48,76,242,286,347,26,77,991,223
81,363,78,99,597,72,301,20,45,545,0,518,477,505,213,291,0,0,0,0,0,382,19,8,260,40,8,26,37,698,213
82,286,84,95,689,60,229,20,36,616,0,516,469,515,203,286,0,0,0,0,0,382,20,0,189,40,1,25,35,698,203
83,383,85,87,625,70,317,33,40,566,0,505,512,483,266,250,0,0,0,4,0,400,21,5,251,66,0,37,40,690,266
84,857,79,85,138,70,801,16,21,80,2,509,492,499,151,271,0,0,0,0,0,408,16,76,675,50,0,19,21,769,151
85,465,352,489,112,75,402,283,424,48,12,476,514,510,218,7,0,0,0,0,0,39,7,73,121,281,357,43,67,951,218
86,573,309,142,210,68,518,251,81,149,0,455,498,547,296,198,0,0,0,0,0,353,19,48,407,82,36,31,45,703,296
87,617,98,214,342,65,565,32,170,279,0,498,515,487,258,164,0,20,0,0,0,326,27,105,423,140,80,37,90,788,258
88,388,84,85,595,78,338,27,28,545,0,505,485,510,197,270,0,0,0,0,0,399,27,3,293,45,2,26,26,741,197
89,691,101,460,183,63,636,47,399,121,0,519,478,503,125,2,0,1,0,0,0,42,16,43,292,342,349,23,50,1078,125
90,750,93,231,185,64,692,29,167,137,0,520,502,478,229,177,0,0,0,0,0,293,29,112,539,150,113,28,54,796,229
91,868,102,80,112,65,804,51,31,51,0,475,513,512,125,273,0,0,0,5,0,414,28,43,735,28,1,24,30,812,125
92,295,80,129,690,65,246,21,58,644,2,463,530,507,240,241,0,0,0,0,0,409,15,8,194,52,14,29,44,731,240
93,660,81,535,157,64,583,34,482,97,4,491,515,494,126,3,0,0,0,0,0,21,21,41,267,305,399,39,83,1074,126
94,290,91,95,704,66,231,27,17,639,8,484,494,522,217,254,0,0,0,0,0,381,18,0,189,42,4,13,13,705,217
95,488,91,129,462,60,425,20,69,410,1,524,470,506,159,270,0,2,0,0,0,356,20,5,350,75,16,29,53,766,159
96,361,91,107,626,63,302,23,53,564,9,471,518,511,212,252,0,0,0,0,0,401,9,6,251,49,9,34,44,739,212
97,166,114,486,451,66,113,55,423,393,7,477,505,518,177,217,0,4,0,0,0,86,49,0,78,35,323,33,100,814,177
98,320,87,94,674,67,251,22,43,612,6,487,497,516,245,258,0,0,0,0,0,399,22,7,200,50,0,28,43,689,245
99,343,99,104,631,69,270,39,38,565,16,499,504,497,258,254,0,0,0,0,0,394,31,9,232,37,5,22,33,670,258
