source_file,source_path,condition,run,behavior_key,behavior,behavior_count,total_actions,behavior_percent,threshold_percent,present
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,6,protective_behavior,Protective Behavior,52.0,2008.0,2.589641434262948,7.091133199926835,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,6,healthy_friendliness,Healthy Friendliness,7.0,2008.0,0.348605577689243,14.57509021484314,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,6,willingness_to_flee,Adaptive Avoidance,26.0,2008.0,1.294820717131474,10.929672899190141,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,6,community_trusting_vulnerability,Help-Seeking Vulnerability,0.0,2008.0,0.0,3.2508742608217043,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,6,hopefulness,Positive Expectancy,648.0,1186.0,54.63743676222597,88.61700772779747,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,7,protective_behavior,Protective Behavior,98.0,2345.0,4.179104477611941,7.091133199926835,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,7,healthy_friendliness,Healthy Friendliness,108.0,2345.0,4.605543710021322,14.57509021484314,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,7,willingness_to_flee,Adaptive Avoidance,42.0,2345.0,1.791044776119403,10.929672899190141,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,7,community_trusting_vulnerability,Help-Seeking Vulnerability,0.0,2345.0,0.0,3.2508742608217043,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,7,hopefulness,Positive Expectancy,843.0,1212.0,69.55445544554455,88.61700772779747,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,8,protective_behavior,Protective Behavior,63.0,2066.0,3.049370764762827,7.091133199926835,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,8,healthy_friendliness,Healthy Friendliness,1.0,2066.0,0.0484027105517909,14.57509021484314,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,8,willingness_to_flee,Adaptive Avoidance,24.0,2066.0,1.1616650532429817,10.929672899190141,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,8,community_trusting_vulnerability,Help-Seeking Vulnerability,0.0,2066.0,0.0,3.2508742608217043,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,8,hopefulness,Positive Expectancy,764.0,1222.0,62.52045826513911,88.61700772779747,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,9,protective_behavior,Protective Behavior,37.0,2188.0,1.6910420475319927,7.091133199926835,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,9,healthy_friendliness,Healthy Friendliness,41.0,2188.0,1.8738574040219378,14.57509021484314,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,9,willingness_to_flee,Adaptive Avoidance,34.0,2188.0,1.5539305301645339,10.929672899190141,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,9,community_trusting_vulnerability,Help-Seeking Vulnerability,0.0,2188.0,0.0,3.2508742608217043,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,9,hopefulness,Positive Expectancy,742.0,1199.0,61.88490408673894,88.61700772779747,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,10,protective_behavior,Protective Behavior,295.0,2210.0,13.34841628959276,7.091133199926835,1
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,10,healthy_friendliness,Healthy Friendliness,326.0,2210.0,14.751131221719458,14.57509021484314,1
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,10,willingness_to_flee,Adaptive Avoidance,20.0,2210.0,0.904977375565611,10.929672899190141,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,10,community_trusting_vulnerability,Help-Seeking Vulnerability,0.0,2210.0,0.0,3.2508742608217043,0
multiple_runs_DB_HighThreat_2_20260407_031225.csv,multiple_runs_DB_HighThreat_2_20260407_031225.csv,ACE,10,hopefulness,Positive Expectancy,973.0,1199.0,81.15095913261051,88.61700772779747,0
