Behavior,H_stat,p_kruskal_wallis,Significant_KW,No_ACE_Median,No_ACE_Q1,No_ACE_Q3,No_ACE_N,Moderate_Median,Moderate_Q1,Moderate_Q3,Moderate_N,ACE_Median,ACE_Q1,ACE_Q3,ACE_N,U_NoACE_vs_ACE,p_NoACE_vs_ACE_raw,p_NoACE_vs_ACE_holm,NoACE_vs_ACE_Sig,U_Moderate_vs_ACE,p_Moderate_vs_ACE_raw,p_Moderate_vs_ACE_holm,Moderate_vs_ACE_Sig
Protective Behavior,62.11042451917841,3.257561933190428e-14,Yes,3.7776184443175964,1.0829136631447285,15.936202458155286,412,3.6966220048259197,1.0079334113668879,15.788144577130046,412,0.15166546279110169,0.0,6.919475835846251,412,109405.0,4.463646317412687e-13,8.927292634825374e-13,Yes,106640.0,1.1539835865646052e-10,1.1539835865646052e-10,Yes
Healthy Friendliness,53.72026550393167,2.1616857647786183e-12,Yes,14.408205754359601,4.845692134181267,33.56202892468041,412,15.555910288131535,4.767662132820684,31.79963976569561,412,33.10065983212863,2.983175915356008,43.7336361582644,412,64545.0,2.663472717007996e-09,2.663472717007996e-09,Yes,61917.5,1.8180499371213045e-11,3.636099874242609e-11,Yes
Adaptive Avoidance,103.9483800664431,2.6785272386155774e-23,Yes,2.062454424770488,0.3021157209483094,23.826369770195285,412,1.9410473477095895,0.5890430062540898,20.98331718122664,412,3.372157515252357,2.0843810653863377,41.62338661588474,412,54250.5,3.083930555116639e-19,6.167861110233278e-19,Yes,55322.0,5.106095387754944e-18,5.106095387754944e-18,Yes
Help-Seeking Vulnerability,54.83219692197349,1.2397660034839749e-12,Yes,0.47071400085668286,0.0,11.240235304066553,412,0.8559587616788213,0.08950581757839103,17.80993350087496,412,0.07868932590094649,0.0,2.3675570221481586,412,103876.0,1.1128748754273227e-08,1.1128748754273227e-08,Yes,107898.0,5.00136664819836e-12,1.000273329639672e-11,Yes
Positive Expectancy,334.7754344326284,2.0157565263401272e-73,Yes,87.14185942266622,83.6781149532372,89.530207508764,412,86.88241311048739,82.20322374934037,89.89459066773868,412,81.1502893718843,63.39267856349171,83.99266133464425,412,141836.0,1.9954510230342662e-62,3.9909020460685325e-62,Yes,135896.0,1.919220172707357e-50,1.919220172707357e-50,Yes
