cry,flee,d,dominance_ratio,cry_dominant,flee_dominant,dominance_state
14,376,-362,-0.928205128181328,,376.0,flee_dominant
8,360,-352,-0.9565217391044423,,360.0,flee_dominant
11,339,-328,-0.9371428571160816,,339.0,flee_dominant
9,321,-312,-0.9454545454258952,,321.0,flee_dominant
163,11,152,0.8735632183405998,163.0,,cry_dominant
26,282,-256,-0.8311688311418451,,282.0,flee_dominant
30,331,-301,-0.8337950138273187,,331.0,flee_dominant
5,338,-333,-0.9708454810212581,,338.0,flee_dominant
173,12,161,0.8702702702232286,173.0,,cry_dominant
20,321,-301,-0.8826979471881906,,321.0,flee_dominant
9,342,-333,-0.9487179486909197,,342.0,flee_dominant
10,315,-305,-0.9384615384326627,,315.0,flee_dominant
173,27,146,0.7299999999635,173.0,,cry_dominant
135,68,67,0.3300492610674852,135.0,,cry_dominant
16,354,-338,-0.9135135134888239,,354.0,flee_dominant
18,317,-299,-0.8925373134061929,,317.0,flee_dominant
10,323,-313,-0.9399399399117135,,323.0,flee_dominant
15,338,-323,-0.9150141642800279,,338.0,flee_dominant
17,333,-316,-0.9028571428313469,,333.0,flee_dominant
5,340,-335,-0.9710144927254778,,340.0,flee_dominant
22,325,-303,-0.8731988472370836,,325.0,flee_dominant
179,14,165,0.8549222797484496,179.0,,cry_dominant
30,308,-278,-0.8224852070762578,,308.0,flee_dominant
70,195,-125,-0.47169811318974725,,195.0,flee_dominant
164,4,160,0.952380952324263,164.0,,cry_dominant
6,307,-301,-0.9616613418223111,,307.0,flee_dominant
162,11,151,0.8728323698917437,162.0,,cry_dominant
6,328,-322,-0.9640718562585607,,328.0,flee_dominant
89,146,-57,-0.24255319147904028,,146.0,flee_dominant
8,323,-315,-0.9516616313911884,,323.0,flee_dominant
17,321,-304,-0.8994082839970589,,321.0,flee_dominant
176,54,122,0.5304347825856333,176.0,,cry_dominant
156,18,138,0.7931034482302813,156.0,,cry_dominant
16,333,-317,-0.9083094555613664,,333.0,flee_dominant
6,323,-317,-0.9635258358369748,,323.0,flee_dominant
10,350,-340,-0.9444444444182098,,350.0,flee_dominant
157,20,137,0.7740112993912988,157.0,,cry_dominant
22,327,-305,-0.8739255014076239,,327.0,flee_dominant
10,334,-324,-0.9418604650888994,,334.0,flee_dominant
179,9,170,0.9042553191008375,179.0,,cry_dominant
159,19,140,0.7865168538883979,159.0,,cry_dominant
