action,role,condition,mean_delta,sem,ci_lower_95,ci_upper_95,t_statistic,p_value,significant_alpha_0_05,n_runs
fight_count,DB,No ACE,32.89117402651645,1.092248596048122,30.750366778262133,35.03198127477077,30.11326738758961,4.8338292355288814e-76,True,200
fight_count,DB,Moderate adversity,32.34976194909571,1.0834951140844595,30.226111525490168,34.47341237270125,29.85686001586714,1.9501145681579812e-75,True,200
fight_count,DB,ACE,24.80031415201117,1.0531524773020309,22.73613529649919,26.864493007523148,23.54864531634079,1.9127611487644099e-59,True,200
fight_count,NB,No ACE,-17.932324524611627,0.19363439329952445,-18.311847935478696,-17.552801113744557,-92.60919105870262,1.3721907914879573e-165,True,200
fight_count,NB,Moderate adversity,-18.30084498451744,0.17414617095853618,-18.642171479596172,-17.959518489438707,-105.08898865697616,2.6920205653840517e-176,True,200
fight_count,NB,ACE,-19.4135209352469,0.060379516495413885,-19.531864787577913,-19.295177082915888,-321.5249485596899,2.9474014259052148e-272,True,200
flee_count,DB,No ACE,-13.858918400476657,0.6002151440551785,-15.035340082824806,-12.682496718128508,-23.089917903175387,3.377158441440504e-58,True,200
flee_count,DB,Moderate adversity,-11.314908214547835,0.6895298024828201,-12.666386627414163,-9.963429801681507,-16.409599953193826,7.790672118182095e-39,True,200
flee_count,DB,ACE,-13.960413116296113,0.4243876031747157,-14.792212818518555,-13.128613414073671,-32.89543099718859,2.0858452835221014e-82,True,200
flee_count,NB,No ACE,3.5607589619870943,1.0636973070899158,1.4759122400908593,5.645605683883329,3.347530296686272,0.0009749304861638092,True,200
flee_count,NB,Moderate adversity,3.036078238445715,1.0275436054697176,1.0220927717250685,5.0500637051663615,2.954695277440652,0.0035072763840062362,True,200
flee_count,NB,ACE,32.670116020827805,1.4489505310423947,29.830172979984713,35.5100590616709,22.54743369142112,1.0420151830808454e-56,True,200
cry_count,DB,No ACE,-19.53469010121388,0.06575825395333852,-19.663576278962424,-19.405803923465335,-297.06826028372836,1.9615810075521336e-265,True,200
cry_count,DB,Moderate adversity,-19.366431999440252,0.07919630187272643,-19.521656751110797,-19.211207247769707,-244.53707485689617,1.1598454827067946e-248,True,200
cry_count,DB,ACE,-18.942384423838167,0.03773731939577479,-19.016349569853887,-18.868419277822447,-501.9536291165138,0.0,True,200
cry_count,NB,No ACE,-1.5371058133984754,0.8748685240831894,-3.251848120601527,0.1776364938045758,-1.7569563552526606,0.08046316322907761,False,200
cry_count,NB,Moderate adversity,0.40869525510888244,0.8871776347755755,-1.3301729090512455,2.1475634192690105,0.46066902397992465,0.6455391030948967,False,200
cry_count,NB,ACE,-9.024690373068026,0.888956272376648,-10.767044666926257,-7.282336079209796,-10.152007082350945,8.861944117001337e-20,True,200
chase_count,DB,No ACE,0.5024344751740767,1.1511482717901294,-1.753816137534577,2.7586850878827303,0.43646373580768194,0.662973474368763,False,200
chase_count,DB,Moderate adversity,-1.6684217351076205,1.0726425831439121,-3.7708011980696883,0.4339577278544473,-1.5554311951866404,0.1214323238722334,False,200
chase_count,DB,ACE,8.102483388123108,1.2329991936481057,5.685804968572821,10.519161807673395,6.571361465493004,4.271315723491836e-10,True,200
chase_count,NB,No ACE,15.908671376023003,0.884228166131755,14.175584170404763,17.64175858164124,17.991590842009575,1.3325461125416418e-43,True,200
chase_count,NB,Moderate adversity,14.856071490962837,0.7056492211090357,13.472999017589126,16.239143964336545,21.05305447317613,1.5926745460192117e-52,True,200
chase_count,NB,ACE,-4.231904712512883,0.768416002054523,-5.738000076539747,-2.7258093484860177,-5.507309453730777,1.1169050725826462e-07,True,200
