condition,role,n_runs,mean_maladaptive_pct,std_maladaptive_pct,sem_maladaptive_pct,min_maladaptive_pct,max_maladaptive_pct
No ACE,NB,200,18.44401144835924,6.174080040967957,0.43657338645569593,7.029245767060031,34.780249593054805
No ACE,DB,200,44.92282403344948,3.5825502560322104,0.2533245579981978,27.886710239651418,54.5004500450045
Moderate,NB,200,18.127810301288534,5.520478685810498,0.3903567914132403,6.687730384412848,31.952662721893493
Moderate,DB,200,45.34422239084048,3.7075516964749315,0.2621634946177112,33.088235294117645,53.649289099526065
ACE,NB,200,15.749509786956475,4.212511810525129,0.2978695667050739,8.860075634792004,31.6926167754897
ACE,DB,200,47.21151988147803,16.36972718052242,1.1575145095521147,16.838649155722326,66.60831509846827
