agent_type,allies_condition,n_runs,Affiliative_mean,Affiliative_std,Internalizing_mean,Internalizing_std,Externalizing_mean,Externalizing_std
DB,Standard Allies,206,21.059648343307558,6.286696734281585,0.657145491656255,0.6856730807756182,77.79776927183231,8.2105467465631
DB,Strong Allies,206,34.97202818549539,16.559634520840348,0.7514380335451118,0.8173028966052724,63.79109688775563,16.92993457164165
NB,Standard Allies,206,48.5977866190693,17.798643702531994,43.2934394188928,18.490147931710002,7.623337068834008,7.548137820473358
NB,Strong Allies,206,46.75171177419753,17.444769167571238,43.848436967965704,19.944734291096648,8.914414364632888,9.865996013010655
