action,comparison,role,condition,estimate_diff,std_err,z,p_value,p_holm,significant,n_runs,n_clusters
chase_count,Random_vs_DB,DB,No ACE,-0.5476279561241146,0.03075893019957036,-17.803868748717534,6.595139692208084e-71,6.595139692208084e-71,True,2400,12
chase_count,Random_vs_DB,DB,Moderate adversity,1.700258820194558,0.07392559806568899,22.99959506156092,4.7049721149757244e-117,9.409944229951449e-117,True,2400,12
chase_count,Random_vs_DB,DB,ACE,-8.089126992260011,0.037999157280107505,-212.87648388177956,0.0,0.0,True,2400,12
chase_count,Random_vs_NB,NB,No ACE,-15.953864856973043,0.030758930199570374,-518.6742436574038,0.0,0.0,True,2400,12
chase_count,Random_vs_NB,NB,Moderate adversity,-14.824234405875902,0.073925598065689,-200.5291102643951,0.0,0.0,True,2400,12
chase_count,Random_vs_NB,NB,ACE,4.245261108375972,0.03799915728010752,111.71987518255722,0.0,0.0,True,2400,12
chase_count,DB_vs_NB,both,No ACE,15.406236900848928,0.0,0.0,1.0,1.0,False,2400,12
chase_count,DB_vs_NB,both,Moderate adversity,16.52449322607046,1.3170890159654386e-09,12546223547.356709,0.0,0.0,True,2400,12
chase_count,DB_vs_NB,both,ACE,-12.334388100635984,4.656612873077393e-10,-26487896754.201553,0.0,0.0,True,2400,12
chase_count,DB_condition,DB,No_ACE_vs_Moderate_adversity,2.1708562102816975,nan,nan,nan,0.0,True,2400,12
chase_count,DB_condition,DB,No_ACE_vs_ACE,-7.600048912949028,0.0,-0.0,1.0,1.0,False,2400,12
chase_count,DB_condition,DB,Moderate_adversity_vs_ACE,-9.770905123230726,nan,nan,nan,1.0,False,2400,12
chase_count,NB_condition,NB,No_ACE_vs_Moderate_adversity,1.052599885060165,nan,nan,nan,0.0,True,2400,12
chase_count,NB_condition,NB,No_ACE_vs_ACE,20.140576088535884,nan,nan,nan,0.0,True,2400,12
chase_count,NB_condition,NB,Moderate_adversity_vs_ACE,19.087976203475723,nan,nan,nan,0.0,True,2400,12
