Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_ModerateThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
22,476,69,90,801,64,425,15,39,740,4,494,487,519,216,0,0,0,1,1,0,389,0,14,324,88,4,8,35,1007,216,35.49100611273571,29.015072809292004,98.85618047192865,20.421447320469383,86.40178834025784,39.9856060804673
23,645,345,112,325,73,570,280,52,282,3,487,516,497,214,0,0,0,3,3,0,381,8,10,431,129,16,15,36,973,214,53.45463574020623,32.495074769671135,144.5789178016144,28.44080847879572,114.32239468631779,61.783018228533386
24,521,118,133,658,70,453,55,83,598,1,495,472,533,186,0,0,1,1,7,0,341,6,2,371,80,26,29,57,1004,186,37.97492410007428,22.341054205609336,147.08076960246544,29.56461228762419,93.90173014909487,43.16448077413849
25,630,90,116,593,71,565,17,46,533,8,507,502,491,136,0,0,1,4,0,0,391,14,10,453,103,5,22,41,1033,136,72.46027988475497,45.43285942212767,190.62012716925074,35.58422037161832,107.78714129770621,56.797538718898466
26,575,108,522,224,71,530,49,464,144,5,526,486,488,138,0,0,0,0,2,0,277,0,76,405,90,118,314,346,1054,138,39.43092799342915,24.138372792331516,75.41082900652023,16.390941452021064,54.27702649393307,26.01171996611173
27,570,87,430,353,60,515,20,375,276,9,476,490,534,99,0,0,0,0,0,0,275,0,30,360,155,112,223,263,1096,99,39.796210792131774,29.13446898133645,84.4788374582851,18.5043291190931,101.34106322284453,34.73272615601116
28,783,132,441,85,59,727,70,383,26,3,521,471,508,190,0,0,0,0,0,0,278,4,151,465,167,101,253,282,1019,190,13.781925003347824,9.804322352404487,105.05052407897546,23.91944597521286,2178.110640325013,2482.2615774145256
29,750,335,112,234,69,698,270,44,159,9,492,490,518,269,0,0,0,0,1,0,383,12,97,455,240,2,22,42,911,269,76.7223753528035,35.528202580956936,173.2964874236725,33.70538567607076,58.83437007386771,29.514752698935094
30,743,80,443,168,66,695,13,384,99,0,533,447,520,196,0,0,0,0,0,0,246,2,171,412,196,113,223,271,995,196,32.71077522667232,18.31279116073843,85.27480291454998,20.433964734607343,268.6474672039906,58.85372692834052
31,928,59,380,74,59,878,0,324,9,0,480,473,547,202,0,0,0,0,0,0,270,0,200,561,227,123,159,201,1009,202,14.744358788071137,11.284909462348747,95.90546858118151,23.947633124000976,98.14023010801716,97.38765817595915
32,827,73,141,389,70,761,23,86,326,3,488,500,512,233,0,0,0,3,0,0,402,23,92,494,229,2,54,84,966,233,89.16952712476143,44.66924565458947,205.48077542407512,36.223032744933434,134.8059005590838,84.22398191411973
33,376,52,618,389,65,315,4,551,321,8,488,489,523,83,0,0,4,3,1,0,206,3,7,267,46,179,329,372,1116,83,17.587378384892396,14.392861218895215,89.75755990095195,22.442058256370355,19.9078615239165,11.808370663894072
34,941,162,115,215,67,883,96,45,155,5,512,488,500,235,0,0,1,1,5,0,386,14,133,471,374,10,9,35,949,235,44.962497624502724,25.83879703962426,169.92144030440875,33.844298573421334,61.47606160988158,26.08023109396881
35,611,63,380,381,65,541,4,329,320,3,503,474,523,140,0,0,1,1,0,0,258,3,70,321,220,111,172,218,1057,140,22.896893768212795,21.33260093032264,118.03254873456713,26.84039202032403,69.2877131588951,40.977556216321815
36,526,386,87,426,75,466,313,38,361,10,459,508,533,284,0,0,0,6,2,0,399,11,1,342,124,0,19,38,904,284,133.89864096619644,50.03229176433084,175.3062328675041,33.731854104379224,73.94765441224672,34.19242583850579
37,245,71,709,412,63,188,9,656,349,0,484,480,536,112,0,0,0,0,0,0,140,4,19,157,23,242,363,414,1090,112,21.43195888879672,12.09841052280546,100.64982677562837,25.534333108343816,16.305083567518626,6.689597395549271
38,552,84,143,652,69,497,21,86,575,15,512,496,492,166,0,0,0,3,0,0,357,21,0,399,98,43,11,43,1028,166,65.00096493166873,35.44901460183057,167.31252235074786,32.440703487119066,30.07107494751387,18.185903707854276
39,296,81,813,236,74,249,25,738,172,13,522,461,517,86,0,0,0,1,0,0,74,7,22,216,11,281,402,457,1111,86,66.27336337273394,41.91633088174779,118.44483931702582,27.858146614888174,24.671592862762655,7.990276059685839
40,692,358,99,282,69,638,294,48,218,11,468,503,529,225,0,0,0,5,3,0,399,15,2,494,143,6,20,42,984,225,72.57624495015935,35.72507840461299,195.19597026198196,36.473875901423106,627.6045326465909,893.6227257944054
41,623,195,127,490,65,560,130,75,428,7,494,465,541,185,0,0,0,4,0,0,359,16,0,388,172,20,26,55,1015,185,66.71040880568862,32.32286667164613,197.13350094220138,36.123053574579416,116.49650962394404,117.38544077780028
42,554,254,136,490,66,492,186,79,423,6,499,493,508,248,0,0,0,4,0,0,356,15,1,396,95,27,21,52,938,248,62.818847467043895,34.45030561131459,164.60619246110306,33.11830254884412,74.77001713779521,55.46725175431533
43,315,86,612,424,63,253,44,548,350,1,503,478,519,113,0,0,0,0,0,0,174,2,4,221,30,193,309,355,1083,113,28.226981202759575,19.34014443986542,80.47116654643128,20.086918901581257,63.64580071999369,65.02685569709274
44,837,86,137,370,70,771,20,78,303,18,499,501,500,138,0,0,1,2,6,0,368,11,57,442,305,34,28,44,1052,138,28.911468239275514,26.106429607630666,187.1350554519995,36.24520746676427,62.559927570262204,20.285707793100464
45,328,323,703,81,65,270,271,645,23,4,503,460,537,137,0,0,0,1,1,0,149,5,10,235,25,222,373,423,1076,137,20.911076700958574,10.461236795260563,99.92616277950327,25.564835598898625,36.423986514179205,13.217583649121359
46,1007,86,108,217,82,961,31,46,154,31,492,506,502,203,0,0,1,4,1,0,405,21,133,549,348,6,21,40,1020,203,52.41174607864223,38.90309736332334,205.09052932770632,38.443517250232205,58.49454529475475,30.85475597049879
47,748,295,267,121,69,694,231,202,65,7,493,501,506,156,0,0,1,0,0,0,362,5,61,447,241,32,150,170,1043,156,36.51371121037724,26.701745462460018,162.59592265350616,34.022350794362595,123.40299621490958,74.14844292183261
48,634,86,216,499,65,571,21,163,432,0,497,480,523,93,0,0,1,0,0,0,374,14,1,439,131,10,139,153,1094,93,19.50030484444662,14.060089057843795,187.46013478581685,35.656031524515036,65.68707031366463,22.84509711350911
49,767,248,124,291,70,705,181,72,228,15,492,505,503,205,0,0,0,7,0,0,377,5,19,551,138,24,20,48,996,205,53.94584253892199,28.61121145658675,145.07890687294054,29.771966793879045,1280.0939570483733,1096.469347881334
50,303,260,712,163,62,243,201,662,106,0,480,484,536,109,0,0,2,0,0,0,140,7,17,196,40,255,348,407,1103,109,29.343940764963808,15.790961381109796,113.09010853777896,26.952777838797036,17.17729492148261,4.551100670984677
51,595,244,193,392,76,536,186,123,340,20,495,487,518,227,0,0,0,1,14,0,377,24,1,457,78,14,90,109,978,227,133.06629483482243,49.00078932315049,210.48301778043265,36.60659157853568,27.166630572364806,18.67456269422482
