Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,NB_ModerateThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
22,81,110,370,559,380,28,37,307,509,315,506,494,500,111,0,0,34,193,60,0,33,33,4,23,1,295,6,12,1085,111,8.06435587444422,7.161172314181414,357.76458567719527,91.10575009795305,5.7558032356682025,2.36054224322483
23,74,393,297,533,203,16,330,245,465,139,472,499,529,101,0,0,35,18,139,0,36,308,0,16,0,228,17,17,1094,101,9.256958655667754,9.709959253519076,75.18778907416004,31.048598179509934,8.908146998341424,4.1526316619241594
24,106,291,397,555,151,33,230,346,506,93,537,473,490,104,0,0,37,56,38,0,63,212,13,7,17,276,28,70,1104,104,25.98686283971487,21.822391796588512,87.17152527668294,27.245625779345758,5.014864517622128,2.398677138645419
25,85,197,252,541,425,25,141,172,491,369,481,484,535,174,0,0,33,112,220,0,33,122,1,20,5,139,9,33,1024,174,14.0941546526191,8.003725074529118,1311.9440467900667,2158.4704937827596,5.221344378929767,3.0073796162877424
26,71,286,413,521,209,11,227,368,456,150,467,526,507,108,0,0,34,99,51,0,27,193,3,1,9,345,7,23,1104,108,19.887982404347195,15.695796495917895,123.90337054736061,32.68959974849649,4.176561932915196,1.5963146255138496
27,70,331,219,536,344,12,272,161,457,290,470,534,496,166,0,0,20,212,286,0,22,17,1,4,8,119,13,42,1026,166,8.456346877326316,2.5638900403701794,167.94523304714647,166.5270420009933,8.504322824468073,3.9213275970161368
28,52,537,330,370,211,1,486,275,311,143,474,476,550,159,0,0,13,17,131,0,12,325,0,0,1,234,8,41,1057,159,33.0851930935175,23.152075733495593,97.82944920183472,17.208784544411344,2.498507747416499,1.0684525788426775
29,94,343,402,490,171,27,273,353,429,112,502,478,520,85,0,0,30,47,60,0,30,271,0,4,23,294,24,59,1109,85,26.40626532121995,18.16674999025269,83.69397827662225,26.835658963937398,4.663400744843868,2.096933179610976
30,77,78,431,495,419,11,18,364,441,364,502,504,494,125,0,0,40,231,35,0,45,8,1,4,7,317,17,47,1073,125,21.024625271981222,14.09582046185889,293.1451451744233,59.286793510487165,4.566472076131757,2.4945406509119703
31,80,186,172,522,540,11,130,103,460,488,529,451,520,128,0,0,27,216,249,0,25,81,3,0,11,83,9,20,1064,128,22.99486326129249,17.375204347703114,3584.62520762089,5008.227460977578,5.36094202802496,2.3600825294150356
