Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,120
Parameter: aHigherSitL,140
Parameter: aLowerSitDB,120
Parameter: aHigherSitDB,140
Parameter: aLowerSitNB,120
Parameter: aHigherSitNB,140
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_StrongAllies_LowThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
22,603,324,249,257,67,543,269,181,200,6,491,500,509,145,0,0,0,2,2,0,349,6,4,456,83,55,102,126,1054,145,40.789592145021885,28.12419164522274,248.58110423000363,65.49113224663371,2618.3805937311568,3877.7733988552272
23,612,417,111,300,60,551,352,59,239,4,477,481,542,180,0,0,0,1,66,0,313,0,2,386,164,8,16,51,1025,180,41.36736929047801,24.236984617887195,220.8782933180762,57.38169900314488,31293.33262773126,51206.1326051596
24,928,252,143,107,70,869,189,83,41,18,511,495,494,188,0,0,0,7,0,0,370,18,100,536,333,25,9,58,1012,188,75.6382176757697,38.58280410730486,285.6163183460191,68.85312148310281,336.724543810535,354.34017051169656
25,994,63,309,71,63,933,7,253,1,6,495,466,539,255,0,0,0,0,0,0,247,0,253,502,309,116,92,137,945,255,10.324790034766579,3.9731107099260226,137.52917687549268,39.25145288923077,16.4896825773975,3.598408099497521
26,501,70,693,163,73,442,13,631,109,17,505,485,510,186,0,0,0,6,0,0,14,0,162,209,137,374,214,257,1026,186,9.958479963852035,3.300777627194196,131.150503655378,35.89814557074782,24.03254370348214,3.900823329886467
27,488,121,278,539,74,433,58,213,487,4,501,487,512,162,0,0,0,4,0,0,251,1,2,307,126,138,34,75,1033,162,50.03589856877177,29.329564035234483,197.73510594076683,52.73924763528674,30.674238313991857,8.975290809057595
28,151,54,604,625,66,90,2,545,563,7,469,502,529,113,0,0,0,0,2,0,62,2,3,69,19,340,152,205,1094,113,8.97624042528604,3.1374704827371875,135.98988244974845,46.63891329825188,10.885250304142707,2.945690673412391
29,800,61,159,417,63,730,4,95,360,8,506,462,532,176,0,0,8,5,0,0,351,0,104,404,326,28,57,67,1021,176,10.36084193214418,6.36449219768924,177.91836991535737,46.74543643981439,50.52249020622455,27.79705914917716
30,247,61,474,675,43,185,1,405,604,0,480,519,501,186,0,0,1,0,1,0,157,0,29,129,28,263,97,142,1009,186,9.12300012354535,3.2074091276516032,111.55889948023682,34.500522668788165,9.735312103219997,2.212335249105357
31,1137,77,126,99,61,1082,20,53,48,0,512,507,481,196,0,0,0,0,0,0,412,20,184,672,359,0,19,53,1007,196,32.30352289163733,25.850183485523953,327.56796649683514,76.26106494618102,63.527923598502426,38.47686183140727
32,590,62,157,621,70,519,4,99,564,10,495,507,498,128,0,0,5,4,4,0,332,0,5,361,158,59,14,40,1068,128,21.299662502115915,18.706007485862383,176.45195505130434,44.978582425098956,82.2560979092994,32.74950331326918
33,509,134,160,631,66,448,66,101,579,4,521,489,490,207,0,0,0,1,2,0,337,0,0,367,81,57,25,44,991,207,19.861879056973976,11.357476957080918,192.6945763358882,51.92532248948679,65.3867660861376,32.24185543392503
34,725,104,224,379,68,667,52,146,329,1,486,499,515,135,0,0,0,0,0,0,376,18,7,499,162,4,115,142,1060,135,37.399318386608165,30.78009318317472,307.74405618266655,66.36564478422375,1460.0892189769575,1791.3602833040347
35,730,51,139,508,72,663,7,94,455,0,486,510,504,57,0,0,7,0,0,0,357,6,5,420,243,51,36,43,1162,57,2.9666044625895,1.2244529681242973,208.24319421815196,64.10522362091679,133.52993770892613,71.56389593388363
36,152,241,589,458,60,108,182,523,392,4,483,528,489,174,0,0,0,1,0,0,64,0,8,85,17,362,122,161,1035,174,9.605633422844338,3.7886647691447437,132.4077130412362,41.965358498178205,10.8304646591801,2.0483022277434277
37,152,62,696,529,61,104,5,637,461,2,473,515,512,131,0,0,1,0,2,0,30,3,2,74,29,379,215,258,1078,131,9.47793137400385,3.4830120741398978,190.67206262130915,60.33983890288018,12.804701359941241,3.6610372294123548
38,811,311,157,155,66,744,254,97,99,3,444,500,556,134,0,0,2,0,0,0,376,11,24,470,272,18,53,79,1063,134,17.16699218586973,15.127801405523243,253.88319507046782,74.06608185978249,82.19317962492367,28.17963828797697
39,885,82,77,380,76,821,22,30,333,5,479,486,535,106,0,0,1,1,0,0,407,14,79,485,336,3,19,27,1105,106,21.350464569474024,21.140734652323303,277.2328466309943,69.09449022067125,72.2844209337325,34.37667718570373
40,261,204,832,137,66,205,139,779,75,6,492,505,503,179,0,0,0,0,0,0,0,6,71,96,57,403,326,376,1025,179,11.363250100791449,4.417981688397234,210.94556277187667,58.35034273814873,17.117532767835414,2.460484860894385
41,274,267,799,96,64,222,209,729,41,7,490,503,507,155,0,0,0,0,0,0,14,9,66,95,92,401,278,328,1053,155,10.469006850973951,3.423224521909186,242.80693596578342,69.83408426161319,16.116724440162656,2.599967751411047
42,238,61,639,504,58,179,4,575,438,8,477,485,538,129,0,0,0,3,0,0,21,2,13,75,102,379,152,196,1075,129,11.84824218010145,4.264699111923686,150.21205385038616,46.12335476603594,15.076433245913814,4.284630305640236
43,680,140,237,370,73,616,76,184,316,8,474,518,508,100,0,0,3,5,0,0,372,11,6,434,180,31,125,153,1100,100,27.923179873954588,21.70044058260759,255.17370701400895,65.2604611858104,53.604229469264226,27.68916931624572
44,507,62,284,585,62,446,5,220,526,4,531,461,508,134,0,0,3,2,1,0,254,4,0,342,104,116,66,104,1067,134,45.43005949320485,29.295968768694024,194.49619478056584,55.70437049543761,75.51847849975134,46.05052515904143
45,268,81,486,592,73,220,10,423,546,3,478,515,507,165,0,0,0,3,3,0,132,0,34,144,47,264,113,159,1037,165,10.947084470587,3.9662922999681514,141.22514388010038,44.22113243400542,12.588726997393612,2.96556259273221
46,747,111,106,477,59,683,28,53,428,2,520,472,508,227,0,0,0,1,0,0,376,0,22,476,203,2,17,51,967,227,46.660716408028684,27.779208765195452,249.6555583676385,69.74504667754158,80.62553177203554,72.51431155164559
47,504,75,667,192,62,456,7,597,122,5,488,471,541,193,0,0,0,4,0,0,12,4,167,188,182,367,193,230,994,193,10.427631622124174,4.013168616262387,171.87891461639654,50.455890765188165,30.00987085425611,4.519418287695891
48,167,62,710,491,70,97,10,645,434,10,473,505,522,193,0,0,0,2,0,0,7,0,7,41,51,403,197,242,1003,193,9.414197286838723,3.552576193073904,141.72292239833266,43.552387531917276,11.619812986052784,4.252447789204299
49,687,254,162,333,64,622,183,106,269,12,502,511,487,132,0,0,1,5,1,0,383,3,12,439,183,26,73,80,1060,132,22.14066573980989,20.838371694509835,289.80879643126696,72.84210604638925,33.96975709965894,9.928993336733473
50,229,324,710,165,72,184,259,643,109,4,484,494,522,138,0,0,0,0,0,0,53,8,5,152,28,328,278,315,1061,138,8.7910084602373,3.3667153030842814,206.03646571466632,60.150077567689266,22.19147875878723,5.415748263142283
51,198,168,794,287,53,137,95,734,218,5,485,500,515,79,0,0,2,0,0,0,1,6,35,47,75,384,308,350,1110,79,9.218229535572057,3.228503804497878,223.0219520165234,59.67555547053462,13.68021185318779,2.716760201016646
52,882,70,137,346,65,815,5,75,283,16,497,516,487,159,0,0,2,5,0,0,409,0,84,480,335,8,44,67,1035,159,15.694958026350813,12.12123424249666,193.9948723516424,51.082966820007094,90.7820702017256,47.10464708584343
53,264,162,732,280,62,208,99,680,216,3,503,487,510,163,0,0,0,0,0,0,1,7,62,34,174,406,219,274,1043,163,12.19737008398933,4.782607375842414,207.90195911587207,56.65058457698025,13.807661355628138,3.002594777830725
54,610,72,155,602,61,559,9,101,544,5,522,470,508,126,0,0,3,3,1,0,380,6,1,430,129,3,68,98,1092,126,30.352415045531192,22.72433640372789,181.90728802177713,51.46832754974174,1791.2273331719464,2110.9577725991176
55,776,170,178,303,73,709,101,118,256,11,455,511,534,104,0,0,0,1,0,0,366,5,1,594,114,41,25,77,1091,104,61.5683145170016,29.800790091881506,242.4561714967259,58.3230046784192,1347.6981656446258,1726.5469791218316
56,272,284,775,104,65,210,233,715,37,0,485,552,463,165,0,0,0,0,0,0,11,10,63,70,128,434,247,281,1030,165,8.544030821602332,3.168457524415985,233.50278285215367,67.86322665948725,19.046759584499753,3.9084486176602575
57,667,60,186,516,71,609,12,129,450,9,516,493,491,84,0,0,3,0,0,0,394,9,1,461,148,10,94,119,1125,84,43.26052827456578,34.14777610414813,264.81259593259847,69.68365031338418,105.71877134619855,85.6400729089756
58,438,151,750,96,65,371,101,691,17,10,476,522,502,150,0,0,0,2,0,0,30,6,88,207,104,384,261,307,1040,150,10.10100204418196,3.5238342402951424,204.5254247027461,62.15897611748045,101.55546151620685,82.06516931928665
59,573,52,184,623,68,515,0,131,573,1,509,478,513,143,0,0,0,0,0,0,305,0,3,367,146,88,18,43,1077,143,23.33249317450016,17.685077535298657,203.8496282482084,61.180715710067126,116.20623414151758,67.57516828810913
60,355,69,640,372,64,288,19,591,300,9,490,495,515,169,0,0,0,3,0,0,65,2,58,194,41,344,200,247,1038,169,11.337700153849966,4.749518688882482,150.5711071715202,45.974330420343435,22.05227865524364,4.20740890855666
61,668,287,400,77,68,613,234,335,14,8,449,529,522,231,0,0,0,5,0,0,229,0,153,329,247,201,94,134,973,231,9.453051088054384,3.4335165207787095,130.56196523369468,37.351584599724696,33.54566766071157,21.669639207345032
62,608,65,398,366,63,549,1,343,300,0,521,494,485,172,0,0,3,0,0,0,401,1,0,461,88,1,315,342,1021,172,32.124495753118296,23.80000532888964,238.58387312186557,61.9699669597082,148.28741013903522,105.54901799035517
63,206,95,642,488,69,154,15,593,428,19,520,503,477,130,0,0,0,1,2,0,69,0,5,125,25,335,209,258,1079,130,8.897267792336091,3.357553889887954,209.9065435780553,61.945168769303194,12.282165639517443,5.5066352205579765
64,253,76,812,307,52,193,18,753,237,1,494,483,523,83,0,0,0,0,0,0,15,15,33,132,38,380,324,373,1119,83,10.074828829397317,3.736360414071139,300.00885463347055,74.07488266242925,31.296434943703208,17.62202790594333
65,920,309,117,88,66,851,250,50,35,6,486,513,501,182,0,0,0,1,0,0,420,11,70,511,340,1,20,49,1010,182,51.884744351914414,33.87952421572138,248.51278964164874,63.43166632571006,261.36284585248313,363.3262434225823
66,738,62,272,363,65,666,0,214,307,9,523,487,490,118,0,0,0,5,0,0,367,0,48,541,77,9,181,205,1078,118,20.120393437902788,13.893255799883981,214.50154594323197,56.944383172637,2453.397168589943,2366.386627093416
67,837,273,155,162,73,778,217,94,96,0,503,477,520,139,0,0,3,0,0,0,341,13,39,424,354,33,28,61,1046,139,24.543913228285813,16.530001780564728,294.71939485268507,76.45456872864686,42.667089105875874,10.446235991800512
68,353,205,725,146,71,300,154,654,83,4,481,507,512,164,0,0,0,4,0,0,49,5,67,192,42,359,260,295,1031,164,9.477665297616271,3.577249538879198,178.67208689037702,58.52750121662917,18.018507853280756,4.315642398056877
69,475,370,195,392,68,411,310,140,330,9,491,479,530,200,0,0,0,4,14,0,309,30,0,281,130,45,28,95,1000,200,87.84558548672167,40.60277665910651,411.2157901757858,87.39865979676576,2765.434340770931,5326.12874935203
70,378,175,639,240,68,321,128,569,192,0,478,505,517,188,0,0,0,0,0,0,33,2,111,76,243,381,144,188,1022,188,11.611428582534883,4.146694106273693,139.2702907173376,44.4558001608504,16.339004055141384,4.214984463442859
71,803,69,332,227,69,745,3,276,163,1,507,475,518,248,0,0,0,1,0,0,263,0,199,472,134,129,92,147,940,248,11.49793799022437,4.0922910548023825,147.9669196058573,43.9129668335667,16.78111789187831,7.7117283066165125
72,161,64,751,454,70,122,10,687,393,0,503,518,479,91,0,0,0,0,0,0,29,7,5,95,22,382,251,305,1121,91,12.535537924926018,4.534141483970549,205.16445338232316,64.14035486004009,10.261550868874934,2.5112813382549612
73,486,269,619,64,62,418,207,556,9,7,488,463,549,127,0,0,0,0,0,0,18,9,50,151,227,346,159,210,1070,127,24.25729507493397,22.27387888227061,248.80006914313716,72.07302080452273,42.747379773327054,17.03754524682095
74,1037,67,272,66,58,988,10,210,14,0,471,515,514,216,0,0,0,0,0,0,341,3,207,579,276,78,91,132,1006,216,9.447089167277115,3.7900443072350534,203.9535335218591,61.23800110570711,94.23999891250669,43.41865783321028
