Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,random_DB_highThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
48,279,304,302,338,277,511,490,499,689,0,0,5,0,188,0,209,107,8,161,112,93,107,209,811,689
49,292,303,310,301,294,508,516,476,710,0,0,2,2,211,0,212,101,27,177,96,93,103,217,790,710
50,319,287,313,302,279,497,491,512,704,0,0,0,1,208,0,182,90,27,186,111,101,104,212,796,704
51,300,298,305,302,295,509,465,526,736,0,0,0,3,184,0,184,107,24,178,104,97,106,208,764,736
52,332,308,282,267,311,523,485,492,697,0,0,0,0,198,0,193,101,22,183,130,94,92,188,803,697
53,319,289,284,303,305,492,512,496,694,0,0,0,2,191,0,224,98,29,201,103,97,88,187,806,694
54,286,276,319,304,315,489,491,520,728,0,0,0,1,189,0,194,90,23,176,87,108,101,211,772,728
55,269,311,307,307,306,520,480,500,719,0,0,0,0,197,0,184,105,23,159,91,99,107,208,781,719
56,337,291,286,278,308,492,481,527,713,0,0,3,2,195,0,194,105,36,206,102,92,99,194,787,713
57,301,313,290,302,294,505,473,522,777,0,0,0,2,210,0,176,116,31,157,119,87,101,203,723,777
58,318,294,309,274,305,530,483,487,754,0,0,0,1,196,0,184,113,65,179,106,103,111,206,746,754
59,288,315,297,295,305,497,489,514,708,0,0,0,0,204,0,177,112,28,177,89,108,93,189,792,708
60,281,286,315,311,307,497,490,513,704,0,0,0,0,200,0,190,93,23,160,101,100,108,215,796,704
61,307,313,307,293,280,509,504,487,678,0,0,0,1,178,0,221,112,22,193,94,105,111,202,822,678
62,300,272,304,286,338,499,490,511,699,0,0,2,1,195,0,192,95,20,181,106,103,97,201,801,699
63,320,266,306,302,306,502,478,520,711,0,0,3,1,175,0,202,94,27,191,111,101,86,205,789,711
64,303,295,322,295,285,524,487,489,685,0,0,0,1,181,0,209,113,17,186,102,97,118,225,815,685
65,322,265,295,317,301,502,496,502,723,0,0,0,1,182,0,215,88,10,212,100,99,100,196,777,723
66,309,301,332,281,277,479,499,522,706,0,0,0,0,194,0,203,105,21,194,97,102,103,230,794,706
67,283,300,336,303,278,486,513,501,726,0,0,0,4,199,0,197,94,21,174,94,117,104,219,774,726
68,327,306,283,279,305,497,495,508,698,0,0,1,1,209,0,194,90,20,196,115,92,99,191,802,698
