Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,120
Parameter: aHigherSitL,140
Parameter: aLowerSitDB,120
Parameter: aHigherSitDB,140
Parameter: aLowerSitNB,120
Parameter: aHigherSitNB,140
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,NB_StrongAllies_LowThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
22,71,382,170,774,103,11,321,113,715,31,524,441,535,247,0,0,135,19,9,0,279,306,2,5,5,72,13,41,944,247,8.547623212456385,3.4524984816289015,93.2659796508791,29.683208732177587,5.588151612929895,2.3456493748945975
23,83,369,215,346,487,13,316,157,286,430,510,465,525,172,0,0,11,178,217,0,10,134,7,3,3,135,9,22,1030,172,7.085120971012518,3.0805012227578947,330.33363183012307,72.76757615726731,5.673930866193982,1.6663812369222404
24,73,519,206,465,237,19,462,139,409,182,524,481,495,144,0,0,21,109,252,0,14,227,1,6,12,117,22,22,1067,144,3.984950501038893,2.2452664243179514,315.1133847719246,157.71197087753748,7.165492783119433,2.731517323255942
25,77,449,489,156,329,24,404,436,82,252,478,514,508,134,0,0,0,180,46,0,6,35,8,9,8,349,52,87,1064,134,9.233393784789568,3.8403976870326186,249.55609500265928,66.83078222290435,4.801772025655527,1.408839787669231
26,83,636,507,170,104,12,581,441,114,40,497,489,514,131,0,0,0,16,30,0,2,227,2,4,7,367,32,74,1057,131,9.952243388519152,3.442602714113271,161.03116381057208,21.564556277286066,8.151365749089846,2.4324336206136614
27,73,461,302,348,316,14,408,227,288,264,496,518,486,139,0,0,22,143,193,0,4,144,2,3,10,207,11,20,1062,139,4.357621491145448,1.740257421894842,213.22917469312725,42.81149679786334,5.002867134945375,1.5697096376096977
28,85,216,292,521,386,27,152,235,468,328,519,484,497,150,0,0,26,169,170,0,10,83,9,0,27,203,13,32,1060,150,7.171943150475236,3.3023340489804216,314.92185301038404,257.23067132136265,4.366660235189383,1.4598533951081147
29,91,480,610,101,218,36,411,550,29,161,511,498,491,138,0,0,0,121,4,0,8,83,10,17,11,384,129,166,1049,138,8.925582982090935,3.2183564926314876,121.55381993897106,21.219052002154463,8.167932602067097,2.0934855461860624
30,90,272,342,293,503,22,211,280,235,451,494,514,492,213,0,0,3,98,189,0,15,60,1,9,13,221,19,59,986,213,17.548846836343564,11.578907033569697,160.1081774524657,31.892011926785496,10.80397045163985,3.110155863813515
31,63,748,256,290,143,10,699,196,224,80,522,485,493,195,0,0,14,53,215,0,0,254,2,0,10,180,8,16,1014,195,5.442725417992026,2.320161388072169,196.27381123242702,70.92397976655948,4.515707355858659,1.3528186727036176
32,71,199,263,461,506,22,140,198,404,448,503,495,502,147,0,0,11,179,238,0,6,80,5,4,16,149,21,49,1065,147,7.620472733515828,3.1234261680646513,82.7737633531607,19.24769902927184,5.515836940833571,2.5143066256117734
33,60,131,511,513,285,13,73,456,442,234,491,492,517,84,0,0,13,172,21,0,4,22,2,4,9,372,82,84,1134,84,3.049526606890376,1.018927781172628,141.44281206015975,39.364815051752196,3.691311054650414,1.13526912624617
34,90,285,200,640,285,15,222,141,582,223,533,445,522,179,0,0,14,22,241,0,5,147,1,0,15,99,12,42,1004,179,8.05520534215607,3.2843128502757954,206.80372163522006,210.20957769471968,5.919057893036117,1.6581892454209683
35,70,335,331,502,262,10,282,268,443,211,501,476,523,165,0,0,17,161,175,0,1,113,2,5,4,216,45,52,1049,165,5.084486703014683,2.5860613452323538,65.12333570720607,15.456373440346367,5.505452454868271,1.7240464605292116
36,83,160,249,476,532,9,92,186,431,476,521,490,489,150,0,0,17,213,211,0,12,92,2,4,5,158,16,28,1044,150,6.616869961581836,3.0151158389034567,271.38972282730646,191.49767403270496,4.327499964522786,1.693398918010224
37,190,387,338,502,83,136,335,277,442,30,496,474,530,155,0,0,85,20,9,0,140,329,64,68,4,253,13,24,1065,155,6.392540021203408,2.6193092806681766,259.2332741959978,49.21008371313361,5.494931152018062,1.6345086524222587
38,84,232,454,442,288,18,172,401,386,224,486,517,497,75,0,0,12,156,74,0,0,84,9,0,18,329,62,72,1126,75,3.646643817462221,1.8070749079208868,236.8638435759133,67.18105631706467,5.5418496184313675,1.8541952134228126
39,80,443,294,584,99,21,373,245,518,42,516,474,510,186,0,0,15,13,175,0,8,197,3,3,18,200,14,45,1013,186,8.400411333955661,3.784129757666545,207.7864431807682,213.22257841702447,5.668509578651699,1.9293801006869296
40,86,327,404,464,219,25,273,329,414,171,529,497,474,125,0,0,21,55,93,0,6,251,7,6,19,283,31,46,1087,125,5.07264872487315,2.0052991640814706,132.20535763083387,28.43153408649969,5.533411623197805,1.8401576335918548
41,59,162,226,514,539,14,95,171,454,470,508,483,509,151,0,0,16,215,230,0,5,36,1,5,8,157,5,14,1053,151,4.758115367625096,1.6719300436899207,948.3333575307475,698.722048545545,3.918431302506544,1.396104674670956
42,133,260,420,437,250,79,204,351,376,181,502,487,511,143,0,0,23,122,19,0,71,12,33,38,8,299,21,52,1048,143,10.12860625504767,4.2565376144810925,136.33681703779826,25.376626681000882,3.7953256533633692,1.1162469180248666
43,64,159,277,489,511,16,97,214,422,449,481,506,513,186,0,0,15,204,237,0,0,8,1,0,16,169,31,45,1012,186,6.41321263552415,2.495690307152516,1502.8990573274766,2674.944805160045,6.503455194589899,2.061223090834711
44,107,159,372,698,164,32,92,314,631,118,492,472,536,129,0,0,23,52,88,0,33,33,12,18,4,257,18,57,1058,129,10.736966398710997,4.293812046752098,129.29360535572008,36.72899975903795,5.541264822859282,1.7809771686802576
45,117,210,483,524,166,49,160,419,470,113,521,441,538,106,0,0,49,68,9,0,10,153,23,2,44,337,82,82,1105,106,3.2019416796393476,1.984073035575054,96.82515039932483,19.254363635033748,7.75895633080623,1.9502716132853348
46,68,163,221,500,548,13,97,158,447,488,516,508,476,191,0,0,16,171,268,0,0,78,0,2,11,121,10,37,1012,191,7.735001891900528,3.2713009082092133,239313.63942057343,468647.76828043617,4.480697599109015,1.6259073794583845
47,81,577,280,389,173,17,507,227,336,119,503,483,514,98,0,0,15,77,212,0,1,235,0,4,13,179,12,48,1108,98,10.1527231969215,3.8318136179924993,218.9033412361898,96.4754886068051,4.705794172168221,1.7616816181444959
48,78,230,246,568,378,15,180,187,505,307,503,484,513,132,0,0,14,72,220,0,5,167,2,3,12,161,10,26,1062,132,5.646233349173854,2.110302273740321,77.02510688403889,21.07719694181769,3.886229945924785,1.2679115733789894
49,65,453,414,154,414,13,399,367,96,359,459,492,549,218,0,0,3,179,122,0,12,37,0,7,6,272,62,95,1016,218,8.337931822767471,2.998778073356443,244.34354810380742,46.37142552401088,10.59540654648742,2.450027649291474
50,95,482,244,493,186,38,418,183,435,136,516,494,490,182,0,0,16,85,240,0,22,185,11,15,14,136,18,47,1028,182,8.07745433123254,3.369968130048908,131.17023289181975,79.22756844652088,5.442316517039663,1.5095107716368177
51,53,524,246,280,397,1,462,194,214,332,495,503,502,178,0,0,2,97,232,0,0,196,0,0,1,171,11,23,1025,178,4.524142039981596,1.7788776384817322,274.7674596572355,70.01533039983212,4.018701092093693,1.8496316628610823
52,75,270,372,529,254,25,208,305,471,177,497,485,518,66,0,0,15,130,80,0,5,130,8,4,17,296,4,9,1120,66,3.509222153230994,1.2611746601534968,189.12237221814567,55.057368628740406,6.548472977327337,2.1759639608141033
53,57,506,218,404,315,8,443,160,354,241,522,488,490,178,0,0,8,152,272,0,1,167,1,0,7,126,10,34,1028,178,8.386711401412656,3.4419551375514694,290.06041493684336,117.00437963573432,3.814588847977563,1.3490746996244005
