Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_ModerateThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
146,639,278,106,411,66,571,218,53,342,0,485,486,529,189,0,0,0,0,2,0,372,20,3,407,162,12,21,41,995,189
147,736,291,121,291,61,669,226,62,223,12,512,475,513,196,0,0,0,5,1,0,355,12,0,502,167,16,21,46,996,196
148,747,80,161,435,77,687,28,111,376,1,525,484,491,130,0,0,2,0,1,0,376,27,19,430,256,16,73,95,1073,130
149,665,74,106,588,67,604,7,50,536,4,488,504,508,156,0,0,0,2,2,0,399,5,1,417,187,9,20,41,1045,156
150,642,96,117,577,68,585,44,69,500,4,484,490,526,191,0,0,0,3,0,0,367,40,1,427,157,28,18,41,1011,191
151,976,66,296,86,76,929,4,240,27,0,482,514,504,197,0,0,0,0,0,0,329,3,195,551,267,78,119,162,1003,197
152,906,95,198,238,63,839,42,135,178,11,508,498,494,62,0,0,3,5,3,0,359,13,23,508,309,36,68,99,1143,62
153,793,96,106,443,62,740,36,53,384,0,510,469,521,95,0,0,5,0,2,0,365,31,41,416,317,26,3,27,1118,95
154,659,62,105,615,59,599,5,48,553,6,496,502,502,149,0,0,4,3,5,0,402,0,34,436,132,6,23,42,1062,149
155,534,198,509,183,76,481,134,440,114,6,487,492,521,112,0,0,0,2,0,0,292,6,39,382,79,91,303,349,1063,112
156,507,97,100,721,75,433,44,55,661,8,491,468,541,232,0,0,0,0,2,0,364,0,1,358,74,6,21,49,969,232
157,633,78,141,593,55,579,20,86,537,0,485,490,525,136,0,0,1,0,5,0,344,11,5,420,158,51,18,35,1086,136
158,846,222,309,66,57,778,160,254,1,0,471,519,510,208,0,0,0,0,0,0,326,7,127,474,253,92,113,162,985,208
159,654,265,111,401,69,592,219,42,337,7,504,489,507,248,0,0,0,2,2,0,384,17,2,430,161,5,20,37,949,248
160,703,95,138,499,65,629,43,74,451,18,510,488,502,230,0,0,0,2,0,0,406,17,1,500,129,1,57,73,985,230
161,703,293,115,321,68,636,222,56,262,23,527,468,505,224,0,0,0,7,0,0,370,18,1,471,165,0,33,56,975,224
162,640,333,170,291,66,578,273,105,232,8,483,486,531,220,0,0,0,0,3,0,337,13,3,425,152,51,16,54,976,220
163,595,163,128,540,74,524,105,74,473,22,490,523,487,249,0,0,0,9,0,0,422,23,0,403,121,0,48,74,949,249
164,869,79,413,79,60,812,27,350,9,8,467,489,544,181,0,0,0,0,0,0,270,4,167,519,190,115,188,235,1025,181
165,603,334,432,71,60,548,269,367,0,12,471,520,509,122,0,0,0,3,0,0,308,0,56,392,148,121,212,246,1074,122
166,542,75,170,650,63,486,9,115,585,0,490,473,537,119,0,0,6,0,4,0,323,5,2,363,122,52,35,63,1076,119
167,465,376,143,445,71,414,322,78,395,5,508,510,482,330,0,0,0,0,8,0,411,16,1,336,78,0,47,78,884,330
168,1016,69,293,61,61,962,10,229,0,7,518,499,483,232,0,0,0,0,0,0,317,0,225,560,310,86,105,143,976,232
169,638,282,105,403,72,568,235,43,346,0,485,506,509,229,0,0,0,0,1,0,388,15,2,466,101,12,11,31,963,229
170,861,236,93,235,75,810,179,39,175,20,487,473,540,196,0,0,0,10,3,0,384,24,17,602,194,4,33,35,1027,196
171,591,65,359,420,65,529,0,305,351,0,460,483,557,164,0,0,0,0,0,0,270,0,82,356,169,99,158,206,1021,164
172,802,72,389,159,78,754,5,325,89,0,511,499,490,231,0,0,0,0,0,0,281,0,182,460,219,115,174,210,942,231
173,592,349,120,371,68,523,290,61,314,15,490,505,505,229,0,0,0,3,3,0,387,13,1,423,99,19,17,42,974,229
174,867,74,399,101,59,812,12,336,32,8,507,478,515,178,0,0,0,0,0,0,296,0,174,532,200,101,190,235,1022,178
175,413,367,592,68,60,349,302,532,7,5,491,516,493,145,0,0,0,1,1,0,233,6,17,285,56,181,315,351,1050,145
176,872,97,92,374,65,811,34,34,321,12,514,483,503,323,0,0,0,3,0,0,388,15,205,447,364,0,16,34,889,323
177,818,95,127,395,65,758,33,68,348,5,503,484,513,119,0,0,0,4,0,0,374,33,1,620,138,16,28,52,1093,119
178,1061,61,210,112,56,994,2,160,43,0,497,467,536,263,0,0,0,0,0,0,303,2,262,528,322,62,74,98,936,263
179,306,284,678,151,81,249,225,615,105,11,523,464,513,109,0,0,0,0,2,0,171,5,16,204,42,200,364,415,1096,109
180,1027,62,284,61,66,964,3,225,0,0,515,467,518,225,0,0,0,0,0,0,306,3,225,565,293,61,122,164,967,225
181,284,83,501,558,74,233,10,452,506,0,504,485,511,122,0,0,0,0,1,0,212,0,6,195,32,178,233,274,1079,122
182,1033,228,103,66,70,976,168,38,18,0,460,516,524,258,0,0,0,0,0,0,418,20,164,603,327,2,14,36,942,258
183,958,63,361,51,67,888,0,294,6,5,523,490,487,234,0,0,0,0,0,0,272,0,230,493,281,124,135,170,959,234
184,381,50,433,573,63,308,5,359,522,7,520,468,512,125,0,0,0,1,0,0,282,4,9,270,32,102,225,257,1076,125
185,550,234,545,108,63,491,179,478,43,1,530,475,495,103,0,0,0,0,0,0,289,11,4,420,69,89,343,389,1089,103
186,796,70,182,390,62,734,8,121,327,0,505,468,527,195,0,0,2,0,0,0,312,8,115,384,335,54,65,67,995,195
187,680,82,429,237,72,629,18,376,161,6,517,505,478,159,0,0,0,2,0,0,307,0,109,425,165,99,232,277,1031,159
188,730,233,114,339,84,657,185,51,279,21,475,520,505,243,0,0,0,1,4,0,412,22,57,443,210,3,26,48,950,243
189,836,57,318,222,67,764,7,274,162,0,488,496,516,263,0,0,0,0,0,0,319,0,175,441,256,93,135,181,944,263
190,845,63,73,447,72,776,9,24,389,15,505,496,499,108,0,0,0,9,0,0,409,0,6,546,229,1,7,23,1105,108
191,667,79,610,87,57,610,34,535,32,3,480,509,511,118,0,0,0,0,0,0,233,7,97,473,45,188,318,347,1096,118
192,575,251,393,213,68,519,179,325,148,19,523,454,523,196,0,0,0,10,8,0,279,19,37,430,70,78,208,247,994,196
193,863,64,436,69,68,801,5,374,0,0,528,471,501,203,0,0,0,0,0,0,263,0,199,496,184,107,217,267,977,203
194,366,123,646,293,72,310,60,581,230,9,493,503,504,99,0,0,0,0,1,0,188,6,19,252,45,222,321,359,1091,99
195,527,81,549,276,67,485,19,487,224,3,506,500,494,95,0,0,0,2,1,0,265,16,29,386,95,138,295,349,1123,95
196,599,190,182,470,59,536,134,106,423,1,486,489,525,226,0,0,1,0,0,0,324,2,5,456,75,72,20,34,974,226
197,506,312,516,97,69,442,247,454,41,3,445,512,543,132,0,0,0,3,0,0,268,5,27,370,54,156,257,298,1055,132
198,886,388,96,61,69,828,316,56,0,3,455,527,518,282,0,0,0,0,0,0,428,8,152,486,342,0,13,56,921,282
199,703,404,145,184,64,625,346,95,128,12,473,503,524,237,0,0,0,4,2,0,393,14,5,448,177,7,72,88,969,237
200,953,72,161,247,67,890,11,93,190,5,480,515,505,158,0,0,5,3,0,0,422,0,151,541,292,0,91,93,1031,158

Statistic,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
Total,140093,32983,56215,57404,13305,127559,21045,44339,45348,1277,98712,99029,102259,36361,0,0,122,366,221,0,65472,1785,14522,86075,36121,13662,24054,30677,203207,36361
Mean,700.47,164.91,281.07,287.02,66.53,637.79,105.22,221.69,226.74,6.38,493.56,495.14,511.30,181.81,0.00,0.00,0.61,1.83,1.10,0.00,327.36,8.93,72.61,430.38,180.60,68.31,120.27,153.38,1016.03,181.81
Std,214.24,116.32,188.56,197.67,5.74,213.84,115.30,187.36,198.15,6.23,18.21,16.97,15.90,63.59,0.00,0.00,1.67,2.48,1.71,0.00,68.80,7.94,81.81,107.67,100.57,67.41,114.21,123.54,70.30,63.59
Min,255,47,57,50,54,191,0,7,0,0,445,454,471,58,0,0,0,0,0,0,111,0,0,142,18,0,1,7,641,58
Max,1183,417,727,812,84,1132,357,668,747,23,535,559,557,340,0,0,13,11,8,0,428,40,273,742,394,287,370,421,1143,340
