Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_HighThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
22,705,98,263,306,71,652,48,195,249,0,473,529,498,269,57,0,25,0,0,0,300,48,153,451,201,131,38,64,875,269,958.3895727055485,209.83300169211853,104.27746433249037,13.94207136621585,26.863216306571747,7.7998480505408345
23,720,82,374,144,72,656,30,311,86,0,499,507,494,312,108,0,1,0,0,0,163,30,217,398,194,236,38,75,771,312,861.1656646806416,201.40152016233122,85.47353861892029,12.581720156117743,65.6225732408632,19.736513537339068
24,321,97,97,636,68,255,32,43,581,7,524,488,488,225,281,0,0,0,1,0,376,21,0,205,50,3,33,40,693,225,966.608274035817,222.2982728857536,82.56569882632478,12.017953075539406,5.187722559268768,2.472143646677027
25,828,148,99,114,61,754,88,47,55,5,471,523,506,240,250,0,0,0,4,0,412,16,112,614,29,7,38,40,709,240,1039.3323215208227,226.65155575381746,87.60836972054915,13.531390258980936,6.7370200002930005,3.954771076910548
26,307,103,89,683,67,241,52,38,629,2,481,497,522,273,251,0,0,0,1,0,414,23,3,200,41,0,33,38,689,273,1054.0752345992798,229.9544100202756,90.74624827348462,14.07040345649417,1.7399437958201909,1.3565833528994709
27,489,89,131,480,60,421,28,85,429,3,498,486,516,208,251,0,0,0,0,0,359,28,16,367,54,37,35,48,758,208,914.1413549826736,202.48790528919176,89.81355261645831,13.823719878209838,9.963855831845644,13.829532389216368
28,650,152,504,117,68,593,90,434,55,6,475,511,514,160,9,0,0,0,0,0,32,17,70,294,287,380,29,54,1018,160,948.1689712700203,223.60022709064322,75.89817461737584,11.93697592997481,33.78674933191938,12.191126278983711
29,299,88,114,676,69,240,26,54,617,11,503,482,515,244,254,0,0,0,1,0,369,25,1,191,48,10,28,44,704,244,1004.388010118895,215.70393072101396,96.93910262149805,14.731762140595388,2.6988196081887077,1.377527271005836
30,408,88,96,660,70,356,23,48,590,0,469,525,506,207,178,0,16,0,0,0,428,23,33,266,90,2,45,46,810,207,1142.025195578677,243.3783979744824,96.91439097009928,15.928066528530152,10.041950251713748,3.882675946387119
31,471,82,97,548,71,421,27,31,475,14,487,480,533,242,231,0,0,0,0,0,387,27,14,359,59,0,30,31,726,242,1016.4749355469831,227.86124082944357,92.67066440196946,13.559518389084355,13.225016016598238,7.235511542801156
32,377,84,133,576,65,314,14,74,519,3,483,513,504,198,265,0,0,0,0,0,388,14,14,264,50,17,20,57,726,198,903.2674807365814,202.365543651696,86.24804064845584,12.681180358476007,23.757900487559425,21.663237688848778
33,723,105,508,86,65,664,46,451,31,1,516,483,501,218,13,0,0,0,0,0,13,25,163,266,314,370,36,81,975,218,877.6261038448131,207.81515951019955,76.08917430812397,12.434825945709816,36.1373664660431,10.057795225352304
34,571,274,452,95,68,512,212,385,21,18,533,483,484,195,40,0,0,0,0,0,40,12,78,205,304,345,23,40,953,195,924.4020971614336,222.956911441606,84.08389577536427,13.116251006546127,28.02770745448182,13.000172945005867
35,389,99,93,617,66,341,37,24,554,9,497,483,520,233,236,0,0,0,0,0,404,37,4,290,51,0,24,24,732,233,1049.2190822172724,232.22577859116777,100.0522761973126,15.163491743330084,12.723318163391333,3.8834810239444817
36,368,91,118,581,63,310,30,43,530,1,524,470,506,224,279,0,0,0,0,0,363,25,15,254,55,10,24,33,690,224,1007.8266601110644,228.6312727310378,73.12306077018815,12.022923552372633,9.082374373074924,2.8059498586231797
37,675,103,146,331,78,614,49,83,275,1,492,502,506,237,167,0,8,0,0,0,370,46,70,502,108,43,32,40,785,237,1065.50319325913,227.60128764793012,121.09010765530346,16.334228867045052,176.54666045950296,147.28580871107275
38,656,236,176,191,67,596,184,111,119,15,482,489,529,272,174,0,0,0,2,0,328,30,69,478,117,61,35,50,753,272,896.8584825116851,201.4433268011372,99.69043470924274,14.210592115618608,2334.9246712247614,4427.201830359002
39,321,100,99,677,62,258,26,36,613,14,478,484,538,267,241,0,0,0,0,0,374,26,6,216,42,2,23,34,680,267,1005.2861422567656,219.8876897505166,87.59993417279529,13.368960820002277,11.567919004746932,19.486179330167236
40,292,102,132,638,67,232,37,90,576,0,502,476,522,249,269,0,0,0,0,0,352,25,3,184,46,23,37,67,686,249,1133.886592781777,241.35557065909714,87.97074432187888,13.930979259676283,5.818523891642271,5.392815679236372
41,615,233,471,125,56,549,163,410,70,6,482,496,522,281,0,0,0,0,0,0,60,13,151,234,309,336,28,74,917,281,805.1034771460916,202.38388615711378,71.94260996702829,12.06602578093567,32.70226499121364,12.551647800183266
42,860,71,85,124,61,794,26,26,57,10,520,482,498,161,299,0,0,0,2,0,390,24,71,714,24,1,25,25,752,161,1118.539088158196,242.07271190904012,90.03519225565742,14.29125244735241,8.12556511566013,4.128973326948343
43,624,114,152,274,70,571,54,96,212,0,518,503,479,162,266,0,0,0,0,0,353,46,16,523,48,44,35,52,771,162,815.8126220611122,184.74786802032966,88.92734422157379,13.17461674148278,17.62538679208476,8.259523781195426
44,451,247,119,390,68,395,196,54,317,6,479,526,495,252,225,0,0,0,0,0,403,19,11,312,77,23,19,31,716,252,974.5836593443427,224.20045866249353,87.79562453227712,12.96440073810496,45.853454257998564,30.41112948991116
45,773,104,92,208,63,714,32,39,141,8,460,492,548,194,260,0,0,0,2,0,379,22,53,630,31,3,31,36,740,194,926.1519923819565,208.3126302077784,81.61271724908772,12.959967909744252,11.986281850156923,15.658793258975782
46,145,400,483,240,68,75,343,446,180,0,538,485,477,272,164,0,0,0,2,0,45,154,0,50,25,351,37,95,772,272,1033.9679514581046,236.56585151160942,76.74230680493307,12.392534106036141,1.2494493082334095,0.34554461902649863
47,696,100,542,100,61,643,38,475,37,0,524,502,474,227,1,0,0,0,0,0,0,26,166,248,322,394,36,81,966,227,986.1682287747828,225.03130073979779,62.23359886826438,10.017766013220688,32.48067882892024,7.61560146732508
48,334,95,94,669,71,277,24,36,610,0,478,482,540,226,237,0,3,0,0,0,364,24,2,225,51,5,31,31,721,226,1125.5367231408393,248.79274028298778,103.05765320533979,15.98854655261689,8.771715348021301,3.1500922845037533
