Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,NB_HighThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
22,56,882,394,54,114,0,823,330,0,51,495,492,513,236,0,0,0,27,120,0,0,312,0,0,0,287,22,43,968,236,557.4960401718128,176.2660831953733,55.0364251642922,13.423104185957241,25.95943902687191,28.34230913034074
23,61,298,539,215,387,0,234,478,152,328,471,528,501,210,0,0,14,151,4,0,0,10,0,0,0,423,26,55,982,210,727.9792206226027,192.7550222106395,191.18013202297382,42.297148902691646,21.774901999832416,22.42247525884755
24,60,357,508,183,392,0,298,451,113,327,512,496,492,239,0,0,9,169,1,0,0,30,0,0,0,406,24,45,950,239,604.0597061266351,163.91842771173347,203.51279027524342,44.86285158666966,49.439463890423,39.68577561719588
25,64,685,440,229,82,0,626,392,164,33,485,521,494,174,0,0,17,17,78,0,0,313,0,0,0,344,31,48,1041,174,602.221652461111,175.2964354950368,41.148905617355254,10.428217892389164,15.745604862887928,10.562481928064425
26,53,806,487,61,93,0,751,427,0,31,529,486,485,213,0,0,0,13,13,0,0,393,0,0,0,372,21,55,996,213,353.36833450052734,120.356929783022,40.328578878894334,9.19985845505195,17.898798945374907,27.03237045443361
27,58,320,521,228,373,0,252,457,160,315,483,493,524,231,0,0,4,154,0,0,2,8,0,0,0,398,29,59,953,231,795.8667766663082,201.86196040252744,184.93604039385798,42.57167133378814,52.74923331437416,49.475263671109566
28,61,405,526,92,416,1,336,461,42,353,516,489,495,271,0,0,0,149,0,0,0,29,0,0,1,399,22,62,922,271,864.8955005569699,205.22618299515366,171.1374421238169,46.45497759566801,62.26075050436318,48.12211167730089
29,54,60,515,471,400,1,10,449,419,337,491,494,515,172,0,0,53,171,1,0,1,7,0,1,0,405,16,44,1044,172,510.7057774492464,150.50491778618724,258.1097012851362,53.76660284797637,27.300132079551908,33.88055689180833
30,60,704,435,214,87,0,645,372,147,26,505,463,532,175,0,0,12,14,48,0,1,342,0,0,0,332,17,40,1015,175,638.1988694817853,172.0801868893836,40.59675700883967,15.05567308109175,18.65149907972611,19.719256906312317
31,73,106,490,453,378,0,48,446,387,336,476,520,504,177,0,0,60,166,1,0,0,27,0,0,0,414,16,32,1040,177,416.92848655956504,143.1919418740721,241.13853290005827,60.145268341340575,29.315953142761476,35.362088283861
32,61,79,493,403,464,0,24,424,343,394,503,487,510,189,0,0,51,176,0,0,0,8,0,0,0,389,19,35,996,189,557.1658304496092,156.12854215585816,274.41434862699055,57.46035946992096,18.91757030064038,17.31998309423764
33,49,360,490,345,256,1,289,431,286,193,517,482,501,176,0,0,25,100,13,0,1,155,0,1,0,387,23,44,1024,176,691.3428491011259,185.1438518251764,214.0614050310095,50.694301182317886,15.153360272086577,10.317169672213462
34,56,79,478,492,395,0,22,411,430,326,461,507,532,173,0,0,77,155,7,0,23,17,0,0,0,361,24,50,1016,173,472.3036276069801,141.15749214260347,321.4960878078996,98.16014088522431,23.061937463694942,15.862783100491768
35,62,686,429,263,60,0,635,356,188,17,473,511,516,161,0,0,12,12,68,0,0,332,0,0,0,321,19,35,1035,161,593.4858732992687,182.23960751602633,32.329438126456466,10.137152366853638,14.106410167399032,15.46124841042132
36,55,68,509,464,404,0,12,441,409,349,513,496,491,176,0,0,64,178,0,0,1,3,0,0,0,405,18,36,1035,176,618.2865262890127,177.43877683155142,282.5752947396727,63.102358878228756,24.640297760490213,27.919859856942615
37,55,487,448,442,68,0,420,385,370,7,480,502,518,138,0,0,10,6,66,0,0,313,0,0,0,343,22,42,1044,138,708.5100462286755,192.17636952330375,27.904351954016555,6.58396681652323,63.19985135448293,55.464801641565195
38,66,455,527,91,361,0,391,466,39,322,502,515,483,255,0,0,0,154,0,0,0,36,0,0,0,409,28,57,963,255,779.5892378248012,199.07222471023795,219.36913566831328,69.46094207966719,44.79608831408014,40.252622334589766
39,70,111,518,399,402,0,46,461,351,347,510,491,499,187,0,0,51,173,0,0,0,8,0,0,0,405,28,56,1018,187,763.5154241772744,192.19328941972,227.73775352111906,55.44826542253691,12.534858107382242,7.193594233698522
40,70,450,488,81,411,0,396,440,21,341,500,489,511,272,0,0,0,152,23,0,0,19,0,0,0,368,43,72,926,272,714.7438767108302,191.0776524515963,262.94414771073144,64.8294780919583,24.75540645272414,30.431536445952617
41,61,752,457,163,67,0,690,398,91,20,474,487,539,213,0,0,8,15,51,0,0,316,0,0,0,343,27,55,986,213,647.9204966033898,175.85392527860043,24.849327732929993,5.277621557974898,18.75862787029504,16.294852898002098
42,63,663,436,233,105,0,600,367,171,61,517,508,475,199,0,0,20,17,71,0,0,338,0,0,0,336,23,31,1000,199,557.0578023465534,159.63276450918505,61.014136356336735,18.48477845111534,51.292211285191044,47.578309211176034
43,61,73,483,504,379,0,14,420,447,331,457,515,528,191,0,0,66,142,17,0,1,11,0,0,0,390,21,30,1021,191,482.00860161658875,153.32005710670538,284.4732161679712,61.51639185265895,7.280854263428817,4.72671219320185
44,51,159,481,480,329,0,107,423,420,259,497,487,516,143,0,0,60,135,0,0,2,97,0,0,0,404,17,19,1066,143,575.0496410317916,171.20950067132017,231.79350558013837,45.876765729411275,6.292949270039266,2.0994033609313694
45,58,847,311,82,202,0,779,251,23,148,512,487,501,259,0,0,1,21,210,0,0,314,0,0,0,192,24,59,942,259,676.8187943967298,175.18813705929432,65.75863612765976,16.5703754498264,32.74243342193942,37.94166061856329
46,52,723,426,223,76,0,672,366,171,21,489,502,509,181,0,0,17,16,87,0,5,330,0,0,0,328,19,38,1049,181,658.118486825221,186.9286919797995,42.52954659745419,12.795730681680755,27.881676916744787,24.747525921376457
47,70,104,498,425,403,0,30,448,376,340,494,508,498,167,0,0,52,177,1,0,0,16,0,0,0,418,12,30,1027,167,453.1468483030628,149.677808696417,290.6457274255749,61.334722640708726,25.835448268267573,34.28251738226737
48,65,606,411,265,153,0,558,343,217,93,492,491,517,238,0,0,4,30,95,0,0,290,0,0,0,294,21,49,973,238,609.072521659509,173.3672905402809,72.79340692728641,21.32548934570853,16.627319612571917,13.398007956500733
49,60,920,355,70,95,0,863,301,6,22,508,462,530,241,0,0,0,7,115,0,0,367,0,0,0,247,23,54,951,241,571.3895948751292,164.02752115211575,30.278819908548346,7.1517950213082795,11.158361947366783,9.192992508024428
50,58,89,506,449,398,0,26,447,388,342,511,482,507,169,0,0,50,178,3,0,0,15,0,0,0,399,26,48,1034,169,762.1761409500702,194.5840616109683,308.63855573888947,74.01041003794907,28.317556193897097,29.23202524100679
