Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_LowThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
22,834,96,115,386,69,768,37,50,340,0,510,497,493,239,0,0,0,0,0,0,385,15,70,453,315,5,16,45,956,239,20.046956115443344,16.086341685168023,243.8704332677204,61.835323225854935,92.17009780831015,103.96193571130208
23,486,70,402,480,62,428,11,346,414,8,489,509,502,119,0,0,0,2,2,0,330,3,20,379,29,77,227,269,1088,119,8.597314024894064,2.5299687225781593,214.01672454483327,62.05778829560834,79.58291385964118,24.913333721097974
24,758,70,222,384,66,676,17,167,325,4,454,502,544,142,0,0,0,0,0,0,386,12,34,494,180,14,120,153,1047,142,15.519259757105496,11.83020272600947,237.5879558318943,55.454563103405974,629.6453089537447,717.1728213758477
25,650,70,130,587,63,584,8,69,530,1,493,498,509,186,0,0,0,0,0,0,386,5,4,455,129,2,33,67,1006,186,23.165065625446363,16.582768039190746,214.35602928947563,52.665552342543265,851.2274714700923,991.4527675680088
26,1156,79,113,95,57,1104,23,62,21,0,496,486,518,240,0,0,0,0,0,0,401,6,222,659,340,1,30,61,970,240,16.070146289689976,13.150910984253487,224.87111819376008,59.50680090139558,91.50311528804252,127.73848620554024
27,502,341,327,267,63,438,290,251,222,0,541,472,487,203,0,0,0,0,1,0,301,4,1,338,99,80,144,171,998,203,16.32736904748294,11.089146810896246,197.512612288096,49.94471789702662,70.7807113088366,52.74944192529475
28,1000,65,303,69,63,941,5,255,8,0,479,476,545,257,0,0,0,0,0,0,301,0,257,553,257,88,117,167,952,257,11.146383281410962,6.033188626940004,152.79424255030378,45.22950292319158,51.53584973207456,24.82751465687624
29,897,343,101,94,65,841,278,44,31,4,526,500,474,255,0,0,0,0,0,0,400,12,135,472,368,0,17,44,943,255,21.151896442610614,15.900279996739277,266.45808655557903,62.61053169364832,97.39354746713451,120.39330380055384
30,912,82,108,328,70,848,23,47,272,10,497,507,496,187,0,0,0,8,2,0,392,20,40,531,315,13,12,34,1013,187,17.918776946545623,14.338079790410852,280.8142416776934,62.101411346875025,41.22653379901704,16.65008084902674
31,956,51,304,137,52,890,0,236,85,5,495,492,513,225,0,0,0,3,0,0,331,0,221,515,259,68,137,168,991,225,7.8279005437886795,2.252290617495863,115.33812995988065,32.15847442951605,77.8157649587242,38.397394491623174
32,1004,93,289,55,59,935,35,238,0,0,487,523,490,185,0,0,0,0,0,0,327,27,169,578,262,95,100,143,1023,185,7.974240102753589,2.411662274544053,233.56360496402567,58.967607026798994,33.513606399562946,15.240281573466719
33,661,165,210,389,75,609,106,149,334,3,473,531,496,132,0,0,0,3,0,0,378,18,5,505,100,56,59,93,1069,132,18.209574332190677,12.901263612018909,309.7268043451625,74.60078552745009,185.685478426692,112.02924018824596
34,475,73,539,348,65,410,6,476,290,6,533,473,494,97,0,0,0,0,1,0,233,0,52,281,129,154,280,322,1091,97,7.703773062786245,2.3315558140237247,140.22155583794313,38.035877810577205,20.150224770024952,5.995719097449037
35,616,327,309,178,70,557,268,258,118,0,483,528,489,243,0,0,0,0,1,0,323,2,69,371,182,106,112,152,958,243,7.78898369244295,2.3263118484409033,135.5140144536498,39.03557590920243,22.116018627009552,7.315689937653993
36,552,371,417,82,78,501,305,364,28,5,470,506,524,198,0,0,0,0,0,0,297,4,62,343,151,107,211,257,1005,198,9.00532077602735,2.593532487177244,161.06740859196162,45.44816294375695,15.588827448618911,4.755537088508333
37,421,78,103,843,55,376,11,33,784,0,507,477,516,185,0,0,0,0,0,0,383,3,0,282,94,0,19,33,1019,185,12.316869089814393,14.183975155481363,203.008976274912,51.73733902110951,162.6448374202381,154.99417812504092
38,532,325,206,377,60,472,260,147,317,8,487,473,540,181,0,0,1,5,3,0,300,4,2,369,101,77,43,70,1023,181,18.46425189193222,15.320808694654533,173.54186420910594,45.22549722293605,83.69516917398703,46.86209363563091
39,377,42,464,544,73,315,3,403,501,0,496,489,515,97,0,0,1,0,2,0,254,0,0,293,22,143,225,260,1125,97,10.591846756391236,5.903034615735213,92.17366487433408,26.53449426126498,25.371882200990722,9.994921657317848
40,730,70,101,544,55,672,7,40,483,7,477,496,527,127,0,0,1,2,6,0,393,0,6,487,182,3,17,37,1082,127,15.020360161377884,13.236644804242438,162.2042924130018,49.90855893541978,55.30625771402897,21.609970609558257
41,711,321,113,283,72,662,261,58,224,1,484,502,514,264,0,0,0,0,1,0,388,12,75,426,236,7,14,51,942,264,22.65297584670619,16.32998862853915,244.51632773183965,59.40051416416252,149.0310343389558,89.44860844122759
42,774,91,446,126,63,721,30,385,65,12,499,494,507,142,0,0,1,0,0,0,251,3,119,440,199,150,184,235,1071,142,9.622673768332554,2.726281358827818,187.52270500535457,54.74795269387166,34.104491225970555,16.851463621295817
43,648,77,77,629,69,578,22,34,557,4,517,495,488,113,0,0,1,2,1,0,394,3,14,411,153,3,16,31,1082,113,13.240720713356287,13.291059689411949,164.5580812699843,44.733697349979636,82.0026880384554,47.24596551054796
44,622,158,125,538,57,576,85,61,475,0,481,505,514,154,0,0,0,0,5,0,361,13,6,428,145,32,16,29,1043,154,9.600404977141194,8.360226492649776,246.84647583817892,60.52455507482848,315.6239429752397,257.8174726370354
45,631,86,101,607,75,555,24,56,553,0,480,525,495,145,0,0,0,0,0,0,408,24,10,392,160,15,20,41,1043,145,15.319891940912193,12.514363053864788,358.9313475955543,77.0818316153005,127.26844606186111,66.189526343681
46,779,90,382,178,71,732,26,334,120,0,505,491,504,139,0,0,0,0,0,0,306,10,112,457,205,91,197,243,1073,139,8.28047893071726,2.3194132774418024,216.7969001573108,61.28777181277894,111.98907297886423,32.347337598412054
47,605,71,480,281,63,549,6,416,224,5,528,461,511,179,0,0,0,2,0,0,262,5,71,401,101,108,259,308,1021,179,8.380499115187357,2.473268657949996,212.76351950582108,59.998254019775516,96.61236360649795,73.51340399809979
48,1040,68,253,66,73,977,3,185,18,0,475,511,514,235,0,0,0,0,0,0,334,1,232,588,282,68,84,117,948,235,7.217737402818047,2.1778918094162862,161.05306089766034,45.890836375348464,35.10321699550101,23.270515059689355
49,684,375,312,56,73,624,319,249,6,0,487,468,545,262,0,0,0,0,0,0,278,0,148,329,295,96,104,153,936,262,8.130871472940441,2.2623844334776533,95.89027775205166,30.407829424958884,46.342349749704006,37.61289767044796
50,924,73,381,56,66,878,10,313,1,1,481,501,518,183,0,0,0,1,0,0,318,4,181,568,189,91,179,222,1020,183,11.111693582680305,5.32428078863894,140.35982983986025,37.45544790140625,3040.0260060263126,3352.677930135901
51,629,198,409,208,56,573,130,344,145,8,511,500,489,146,0,0,1,1,0,0,282,2,100,344,207,119,179,225,1054,146,7.484372641586082,2.17427910219332,166.90476044308676,49.32278314424601,71.80629940996089,23.195826092410194
52,526,73,303,528,70,473,7,250,464,0,523,474,503,140,0,0,1,0,0,0,344,4,2,391,80,21,210,229,1054,140,9.371874131081968,6.594572392215199,197.51245781106067,50.21879428444673,96.93196105935401,79.03955185022434
53,713,242,106,366,73,653,181,56,299,3,487,504,509,256,0,0,0,2,0,0,399,22,48,466,187,7,15,49,936,256,18.2049559553445,15.400827164766154,263.75809119389106,60.03103293468582,253.548825042289,236.06968492874736
54,455,235,531,206,73,394,172,466,157,9,463,498,539,136,0,0,1,2,0,0,218,2,42,256,137,171,241,295,1062,136,9.939578639949499,2.5722037813107477,135.6744600285796,36.04191886337445,35.653372929370676,13.558736405143554
55,757,85,228,362,68,700,25,170,302,10,517,503,480,115,0,0,1,2,1,0,368,24,17,447,252,27,131,143,1092,115,8.54723249025211,6.258335155023301,360.1531769958155,78.8477760667387,132.1446942762322,86.06385301550485
56,374,50,341,670,65,318,0,269,604,6,481,496,523,114,0,0,1,2,0,0,265,0,8,249,63,131,101,138,1083,114,16.210349221925135,11.982479429659449,117.85768822491012,39.53908710168403,65.98527536246013,37.74744038730341
57,638,64,126,605,67,583,1,59,533,8,495,485,520,209,0,0,0,0,0,0,386,0,4,463,118,2,27,57,975,209,20.507302202607463,16.225071933097215,177.8737538057738,45.95783166125069,64.60570677350312,22.04890623967513
58,900,324,79,131,66,844,257,30,77,4,470,508,522,244,0,0,0,0,0,0,408,11,103,493,350,2,11,28,968,244,14.6295923847011,11.309740892586225,269.4983872430735,64.31056296105592,64.38647958198496,36.884775758286445
59,814,93,434,88,71,766,24,361,34,0,513,486,501,154,0,0,0,0,0,0,278,5,142,485,183,100,213,261,1031,154,8.618469541471587,2.26564266222727,186.95625242135156,52.356281485846665,51.348612989962234,26.58678679266165
60,1000,103,276,57,64,949,35,206,0,8,462,519,519,231,0,0,0,1,0,0,334,0,209,567,279,86,82,120,967,231,9.65469381002698,2.815229740074523,136.0775821741117,38.32458187716201,27.959485763080313,16.607279486199513
61,918,110,244,161,67,861,45,184,106,8,521,487,492,101,0,0,1,5,0,0,381,10,51,619,203,1,150,183,1103,101,18.28996786562712,14.799551569979863,270.43005231460603,57.159081557419945,425.2973713752592,348.3167850269164
62,601,64,116,658,61,540,7,48,601,4,483,495,522,206,0,0,0,1,0,0,389,0,0,457,83,2,23,46,994,206,18.8836401536086,14.39224833198974,141.57076163437895,38.20720321299519,64668.34732746265,104950.17628432138
63,816,256,170,211,47,755,190,109,151,1,461,533,506,197,0,0,4,0,7,0,394,7,86,440,307,33,55,76,1009,197,8.247720126255247,6.176536219636877,239.44000409576486,60.64553765470026,109.56985455315896,43.0541410866361
64,768,320,123,223,66,711,257,61,154,11,500,464,536,187,0,0,0,5,0,0,374,5,96,424,287,1,41,60,1007,187,16.055750136279354,13.721327509971744,223.34163246783163,61.94607001818243,160.98546778909153,120.77847756810218
65,485,56,141,751,67,428,12,80,684,5,498,484,518,177,0,0,0,3,1,0,363,5,3,332,93,21,30,59,1032,177,16.187104453005453,12.185722059900431,179.89462187806444,46.177756546437685,112.72474173781681,56.12699144234308
66,497,56,184,712,51,424,2,117,656,0,544,462,494,182,0,0,2,0,0,0,264,0,34,295,97,107,9,10,1017,182,4.158819540997459,1.8130342935489632,138.35682309159085,36.96118878869725,225.87472149123508,148.94856034994461
67,735,87,116,497,65,685,29,56,437,3,495,505,500,144,0,0,0,3,1,0,408,24,7,503,176,6,14,50,1066,144,16.48276211328538,11.422769761765016,360.92568447635733,81.40035765087954,244.75512937074453,175.45835304739612
68,700,79,221,433,67,635,14,159,373,13,486,494,520,123,0,0,0,4,0,0,387,13,50,461,170,4,129,155,1071,123,12.717092403472787,9.423832594753481,264.82831392924237,64.2445613750445,467.53836430095555,460.7542395556561
69,647,332,181,267,73,583,268,124,198,12,489,506,505,175,0,0,0,3,1,0,338,21,4,456,125,57,38,67,1010,175,17.526001175547524,11.870325448600404,353.0210078288731,72.15328391027735,144.62589777989058,90.13900110675206
70,675,55,289,406,75,609,11,223,341,12,498,476,526,132,0,0,3,6,1,0,360,3,57,421,188,15,187,208,1064,132,8.487321557605604,5.429193699133003,178.47617295238513,47.77006052290984,115.56847039946766,69.74255462262654
71,485,65,194,688,68,431,4,125,629,15,477,497,526,178,0,0,0,1,0,0,310,0,1,308,122,81,13,44,1026,178,24.192244419646613,18.06985699871915,194.77935899459493,54.23063342472127,146.81862490220811,92.38394992642678
72,618,284,428,107,63,557,226,366,39,22,500,499,501,196,0,0,0,3,0,0,257,0,97,319,230,147,168,219,1014,196,10.393667878193629,2.9139022180187415,122.7436081108382,37.66632815978407,23.508916192958285,13.3623631424111
73,723,72,165,465,75,645,16,100,414,22,482,498,520,174,0,0,0,0,0,0,344,16,17,488,142,53,21,47,1023,174,21.225266161381033,16.360626273826107,278.192285936844,64.58057815572829,154.95074868238996,65.41015231682604
74,722,215,407,91,65,664,159,354,25,0,504,499,497,143,0,0,0,0,0,0,318,11,63,456,159,79,239,275,1059,143,7.605878191131012,2.369447896144006,235.82625379741654,64.2677947789644,38.76773370440629,16.145681098918004
75,840,72,243,282,63,774,18,180,225,3,480,476,544,137,0,0,4,3,2,0,322,13,113,465,256,51,110,129,1063,137,13.884632745091045,12.776460023492719,300.2484091697877,76.25046443094105,67.4890138330409,31.972703258861507
76,803,335,216,78,68,738,280,145,30,0,503,519,478,217,0,0,1,0,0,0,409,6,76,470,266,0,124,145,976,217,10.447295617804759,9.71181387352496,184.93957776214182,47.357040113831715,85.61584499303062,51.52763198173417
77,869,227,276,57,71,805,170,218,5,0,490,487,523,235,0,0,0,0,0,0,298,0,176,440,310,82,96,136,963,235,8.0729554688514,2.4920380237089823,148.35555968580306,50.122044856092195,435.4842119285292,497.3894003098452
78,864,77,399,97,63,815,21,334,27,8,515,518,467,199,0,0,0,0,0,0,307,0,187,505,223,109,186,225,1006,199,7.31547449486314,2.076476005774243,171.84917013528607,49.661285045024876,31.955535897638818,9.894830144530072
79,730,75,311,321,63,683,12,247,242,0,490,497,513,205,0,0,0,0,1,0,315,0,131,516,38,80,111,167,979,205,9.690850531117464,2.588170380780429,135.25183810041887,40.090050919917836,1755.7118879631253,2348.285984955673
80,796,164,412,65,63,740,97,350,3,13,489,506,505,236,0,0,0,4,1,0,355,1,113,530,129,61,256,289,967,236,8.465554789758537,2.642121145532401,160.16814138749203,46.915174690913084,32.41803218655204,18.139892696626177
81,527,74,499,348,52,465,0,431,293,8,522,503,475,109,0,0,0,0,0,0,312,0,45,350,109,81,312,350,1088,109,7.568063567195157,2.3738152409163225,172.88158477783136,51.37255125742987,26.966782064243798,10.10994262979991
82,688,399,82,275,56,617,331,40,204,6,475,511,514,223,0,0,0,0,2,0,407,11,47,424,147,0,15,40,975,223,11.877689851477767,10.175646513725619,255.85504267794056,59.59688686094195,452.4916073876596,571.7433055940821
83,640,308,229,245,78,584,253,167,182,19,495,501,504,183,0,0,0,7,0,0,320,11,40,400,177,71,55,96,1022,183,14.54509904240222,10.772459375927738,285.2552284935513,69.45685091035133,85.01523772344326,47.485964834233094
84,851,194,124,264,67,802,142,65,211,0,479,507,514,239,0,0,0,0,2,0,393,18,94,476,315,20,17,45,981,239,25.442100175173895,18.01558428726238,298.32591827052056,70.94135928815773,263.22653756397534,200.56304172143132
85,701,69,92,566,72,645,4,40,503,16,480,504,516,113,0,0,0,9,0,0,416,0,4,502,141,2,19,38,1095,113,11.033994459684735,9.042027225266756,167.4577624223414,46.63905948818569,338.17209326685645,249.52299117962912
86,581,85,102,671,61,515,27,43,598,2,494,496,510,215,0,0,0,0,0,0,390,0,0,441,74,1,23,42,970,215,16.771152110267685,14.3699655190649,142.76611941731028,41.59455107142588,1717543.501411677,3365697.911318393
87,647,70,163,544,76,591,14,101,489,9,503,510,487,176,0,0,0,1,0,0,361,6,5,443,143,50,24,51,1028,176,18.806959559009403,14.287252514971765,174.91089715049296,45.94891711045787,46.47477880431843,24.488695867898763
88,820,129,110,375,66,756,63,54,307,20,496,492,512,136,0,0,0,10,0,0,394,31,27,527,227,8,22,46,1064,136,19.378441871256552,16.404599986128954,410.4278092795473,80.54238382991772,342.6292891800087,375.6084775566677
89,581,51,179,631,58,526,2,128,560,3,505,496,499,146,0,0,0,0,0,0,308,2,4,395,128,98,8,30,1073,146,14.128572207218697,13.733028852441823,136.03278941902647,38.6126186720889,98.5428144582968,57.02422641872012
90,1140,79,105,112,64,1068,19,47,55,13,501,473,526,213,0,0,0,2,0,0,378,18,176,666,300,2,22,45,989,213,11.386504374622634,9.50640631133151,304.4873633877702,68.96640680651454,88.8655952644748,43.685251915004315
91,1133,130,105,69,63,1067,69,44,12,1,499,485,516,236,0,0,0,0,1,0,384,17,197,598,361,0,18,44,957,236,18.7313645641186,15.800114469590648,321.6551877768847,74.1254575384229,188.49676325696126,121.7023009742553
92,500,58,525,350,67,430,7,474,310,0,498,514,488,85,0,0,0,0,1,0,282,2,48,310,116,147,286,327,1136,85,7.661626270270241,2.075982160468411,114.62164912131647,33.74796814105026,35.199046355805656,18.664640311133866
