Category,Subcategory,Tags,Advice,Conditions
Protective Role,Natural Tendencies,"['Sustainer', 'High_Value']","Your protective role is naturally a Sustainer and your environment heavily lets you be who you want to be known for. A sustainer nurtures others, provides positivity, and looks to better those around them. Your surrounding allows you to be who you are.",pr_sustainer >= pr_guardian * 2 and belonging_type == 'NB'
Relational Style,Mistrusting Tendencies,"['Withdrawn', 'Low_Value']",Your Relational Style tested very withdrawn. You do no trust others and have closed off many healthy relationships due to this. It is difficult for you to make friends and form deep relationships due to your mistrusting tendencies. A crucial next step will be to address some concerns that leads to mistrust in others.,relationship_engaging < relationship_withdrawn * 0.5
