Category,Subcategory,Tags,Advice,Conditions
Protective Role,Mild Unnatural Tendencies,"['Guardian', 'High_Medium_Value']","Your protective role is naturally a Guardian and your environment lets you be who you want to be known for most of the time.  A guardian protects, confronts threats, and defends his loved ones. Your surrounding allows you to be who you are majority of the time. However, there are times when you feel like you can't be a Guardian and may feel weak in your ability to protect others or fight off threatening scenarios.",pr_guardian < pr_sustainer * 2 and pr_guardian >= pr_sustainer and belonging_type == 'DB'
Relational Style,Very Trusting Tendencies,"['Engaging', 'High_Value']","Your Relational Style tested very high. You have Very Trusting Tendencies. You love to make friends and form relationships with others! With Very Trusting Tendencies, there may be times when you can be too trusting and that could lead to the wrong relationships. Be wary of over-extending yourself to these types of relationships!",relationship_engaging >= relationship_withdrawn * 3
Drive Preference,Indifferent Tendencies,"['Productive and Destructive', 'Medium_Value']","Your Drive Preference is Indifferent. An Indifferent Drive Preference means that you are neutral whether you believe your actions will result in something positive or negative. There's neither a huge preference for being optimistic or pessimistic. Instead, it may come off as either an indifference or a balanced view. However, you may still cut yourself off from acting on endeavors that would be beneficial for you.",drive_productive >= drive_destructive and drive_productive < drive_destructive * 2
