Category,Subcategory,Tags,Advice,Conditions
Protective Role,Severe Unnatural Tendencies,"['Guardian', 'Low_Value']","Your protective role is naturally a Guardian and your environment does not let you be who you are majority of the time.  A guardian protects, confronts threats, and defends his loved ones. Your surrounding does not allow you to be who you are. You feel like you can't be a Guardian and may feel weak in your ability to protect others or fight off threatening scenarios.","pr_guardian < pr_sustainer * 0.5 and belonging_type == ""DB"""
Relational Style,Very Trusting Tendencies,"['Engaging', 'High_Value']","Your Relational Style tested very high. You have Very Trusting Tendencies. You love to make friends and form relationships with others! With Very Trusting Tendencies, there may be times when you can be too trusting and that could lead to the wrong relationships. Be wary of over-extending yourself to these types of relationships!",relationship_engaging >= relationship_withdrawn * 3
Drive Preference,Productive Tendencies,"['Productive', 'High_Value']","Your Drive Preference is very Productive. A Productive Drive Preference means that you believe a majority of your behavior will result in something positive and meaningful. This Productive Attitude means you are optimistic and hopeful for many of your endeavors and believe you will gain something out of any situation. However, you may not deal well with scenarios where it is lose-lose situation.",drive_productive >= drive_destructive * 3
