Category,Subcategory,Tags,Advice,Conditions
Protective Role,Natural Tendencies,"['Guardian', 'High_Value']","Your protective role is naturally a Guardian and your environment heavily lets you be who you want to be known for. A guardian protects, confronts threats, and defends his loved ones. Your surrounding allows you to be who you are.",pr_guardian >= pr_sustainer * 2 and belonging_type == 'DB'
Relational Style,Skeptical Tendencies,"['Withdrawn', 'Low_Medium_Value']",Your Relational Style tested moderatly withdrawn. You have difficulties trusting others and am very selective with who you open up to. You being closed off has and can shut down many healthy relationships. Developing trust in others or putting yourself in environments that you can trust would be a beneficial next step for your relationships.,relationship_engaging >= relationship_withdrawn * 0.5 and relationship_engaging < relationship_withdrawn
Drive Preference,Moderate Destructive Tendencies,"['Destructive', 'Low_Medium_Value']","Your Drive Preference is Moderately Destructive. A Moderately Destructive Drive Preference means that you believe that a good amount of time your actions will result in something negative and not worthwhile. This Moderately Destructive Attitude means you are pessimistic and cynical for a lot of your endeavors and beleive you will lose something out of the situation. However, you still have instances where you feel that something positive will happen. This view can make decisions feel hopeless.",drive_productive >= drive_destructive * 0.5 and drive_productive < drive_destructive
