source_file,source_path,condition,role,run,adaptive_count,maladaptive_count,total_complex_behaviors,adaptive_pct,maladaptive_pct
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,36,1718,280,1998,85.98598598598599,14.014014014014014
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,37,1678,275,1953,85.91909882232463,14.08090117767537
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,38,1557,268,1825,85.31506849315068,14.684931506849317
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,39,1498,282,1780,84.15730337078652,15.842696629213481
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,40,1681,301,1982,84.81331987891019,15.186680121089807
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,41,1595,205,1800,88.61111111111111,11.38888888888889
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,42,1604,246,1850,86.70270270270271,13.297297297297298
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,43,1638,325,1963,83.44370860927152,16.55629139072848
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,44,1550,376,1926,80.47767393561787,19.52232606438214
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,45,1360,631,1991,68.3073832245103,31.6926167754897
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,46,1682,260,1942,86.61174047373842,13.388259526261587
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,47,1600,214,1814,88.20286659316427,11.797133406835721
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,48,1728,254,1982,87.18466195761857,12.815338042381432
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,49,1747,236,1983,88.0988401412002,11.901159858799797
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,50,1705,261,1966,86.72431332655137,13.275686673448629
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,51,1636,298,1934,84.59152016546018,15.408479834539815
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,52,1682,266,1948,86.34496919917865,13.655030800821354
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,53,1584,344,1928,82.15767634854771,17.842323651452283
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,54,1635,203,1838,88.95538628944504,11.044613710554952
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,55,1592,387,1979,80.44466902475999,19.55533097524002
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,56,1689,284,1973,85.60567663456665,14.394323365433351
